,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Av Santa Cruz 830,Piso 4 Of. 401 Miraflores,Lima,18,Peru,511 418 1230,https://www.minera-irl.com,Gold,Basic Materials,"Minera IRL Limited, together with its subsidiaries, engages in the exploration, development, mining, and extraction of precious metals in Latin America. The company primarily explores for gold. Its flagship project is the Ollachea Gold project located in the Puno Region of Southern Peru. The company was formerly known as Goldmin Holdings and changed its name to Minera IRL Limited in October 2006. Minera IRL Limited was incorporated in 2003 is headquartered in Lima, Peru.",379,"{'maxAge': 1, 'name': 'Mr. Gerardo  Perez Delgado', 'age': 52, 'title': 'Exec. Chairman', 'yearBorn': 1970, 'fiscalYear': 2021, 'totalPay': 180000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.220744,65000,65000,26817,15000,15000,3467025,0.0039,0.1,0.10570843,0.013543,0.02684955,0.0,0.0,USD,106498024,-0.63922,226510016,231135008,0.21108,0.00903,0.231,0.06493506,1672444800,1703980800,1688083200,-20965000,-0.09,3.247,-10.012,PNK,EQUITY,MRLLF,MRLLF,MINERA IRL LTD,Minera IRL Limited,1361370600,America/New_York,EDT,-14400000,0.015,none,1566000,0.007,-10637000,104597000,0.067,0.101,32798000,195.633,0.142,-0.03195,-0.32801998,533000,4995750,5910000,-0.233,-0.08939999,-0.32432,-0.28351998,USD,
1,Av Santa Cruz 830,Piso 4 Of. 401 Miraflores,Lima,18,Peru,511 418 1230,https://www.minera-irl.com,Gold,Basic Materials,"Minera IRL Limited, together with its subsidiaries, engages in the exploration, development, mining, and extraction of precious metals in Latin America. The company primarily explores for gold. Its flagship project is the Ollachea Gold project located in the Puno Region of Southern Peru. The company was formerly known as Goldmin Holdings and changed its name to Minera IRL Limited in October 2006. Minera IRL Limited was incorporated in 2003 is headquartered in Lima, Peru.",379,"{'maxAge': 1, 'name': 'Dr. Diego Francisco Helge Pablo Christian  Benavides Norlander', 'age': 69, 'title': 'CEO & Exec. Director', 'yearBorn': 1953, 'fiscalYear': 2021, 'totalPay': 526000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.220744,65000,65000,26817,15000,15000,3467025,0.0039,0.1,0.10570843,0.013543,0.02684955,0.0,0.0,USD,106498024,-0.63922,226510016,231135008,0.21108,0.00903,0.231,0.06493506,1672444800,1703980800,1688083200,-20965000,-0.09,3.247,-10.012,PNK,EQUITY,MRLLF,MRLLF,MINERA IRL LTD,Minera IRL Limited,1361370600,America/New_York,EDT,-14400000,0.015,none,1566000,0.007,-10637000,104597000,0.067,0.101,32798000,195.633,0.142,-0.03195,-0.32801998,533000,4995750,5910000,-0.233,-0.08939999,-0.32432,-0.28351998,USD,
2,Av Santa Cruz 830,Piso 4 Of. 401 Miraflores,Lima,18,Peru,511 418 1230,https://www.minera-irl.com,Gold,Basic Materials,"Minera IRL Limited, together with its subsidiaries, engages in the exploration, development, mining, and extraction of precious metals in Latin America. The company primarily explores for gold. Its flagship project is the Ollachea Gold project located in the Puno Region of Southern Peru. The company was formerly known as Goldmin Holdings and changed its name to Minera IRL Limited in October 2006. Minera IRL Limited was incorporated in 2003 is headquartered in Lima, Peru.",379,"{'maxAge': 1, 'name': 'Mr. Jorge  Armas', 'title': 'Interim CFO and Corp. & Fin. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.220744,65000,65000,26817,15000,15000,3467025,0.0039,0.1,0.10570843,0.013543,0.02684955,0.0,0.0,USD,106498024,-0.63922,226510016,231135008,0.21108,0.00903,0.231,0.06493506,1672444800,1703980800,1688083200,-20965000,-0.09,3.247,-10.012,PNK,EQUITY,MRLLF,MRLLF,MINERA IRL LTD,Minera IRL Limited,1361370600,America/New_York,EDT,-14400000,0.015,none,1566000,0.007,-10637000,104597000,0.067,0.101,32798000,195.633,0.142,-0.03195,-0.32801998,533000,4995750,5910000,-0.233,-0.08939999,-0.32432,-0.28351998,USD,
3,Av Santa Cruz 830,Piso 4 Of. 401 Miraflores,Lima,18,Peru,511 418 1230,https://www.minera-irl.com,Gold,Basic Materials,"Minera IRL Limited, together with its subsidiaries, engages in the exploration, development, mining, and extraction of precious metals in Latin America. The company primarily explores for gold. Its flagship project is the Ollachea Gold project located in the Puno Region of Southern Peru. The company was formerly known as Goldmin Holdings and changed its name to Minera IRL Limited in October 2006. Minera IRL Limited was incorporated in 2003 is headquartered in Lima, Peru.",379,"{'maxAge': 1, 'name': 'Mr. Pedro  Valdez', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.220744,65000,65000,26817,15000,15000,3467025,0.0039,0.1,0.10570843,0.013543,0.02684955,0.0,0.0,USD,106498024,-0.63922,226510016,231135008,0.21108,0.00903,0.231,0.06493506,1672444800,1703980800,1688083200,-20965000,-0.09,3.247,-10.012,PNK,EQUITY,MRLLF,MRLLF,MINERA IRL LTD,Minera IRL Limited,1361370600,America/New_York,EDT,-14400000,0.015,none,1566000,0.007,-10637000,104597000,0.067,0.101,32798000,195.633,0.142,-0.03195,-0.32801998,533000,4995750,5910000,-0.233,-0.08939999,-0.32432,-0.28351998,USD,
4,Av Santa Cruz 830,Piso 4 Of. 401 Miraflores,Lima,18,Peru,511 418 1230,https://www.minera-irl.com,Gold,Basic Materials,"Minera IRL Limited, together with its subsidiaries, engages in the exploration, development, mining, and extraction of precious metals in Latin America. The company primarily explores for gold. Its flagship project is the Ollachea Gold project located in the Puno Region of Southern Peru. The company was formerly known as Goldmin Holdings and changed its name to Minera IRL Limited in October 2006. Minera IRL Limited was incorporated in 2003 is headquartered in Lima, Peru.",379,"{'maxAge': 1, 'name': 'Marco  Arevalo Garland', 'title': 'Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.220744,65000,65000,26817,15000,15000,3467025,0.0039,0.1,0.10570843,0.013543,0.02684955,0.0,0.0,USD,106498024,-0.63922,226510016,231135008,0.21108,0.00903,0.231,0.06493506,1672444800,1703980800,1688083200,-20965000,-0.09,3.247,-10.012,PNK,EQUITY,MRLLF,MRLLF,MINERA IRL LTD,Minera IRL Limited,1361370600,America/New_York,EDT,-14400000,0.015,none,1566000,0.007,-10637000,104597000,0.067,0.101,32798000,195.633,0.142,-0.03195,-0.32801998,533000,4995750,5910000,-0.233,-0.08939999,-0.32432,-0.28351998,USD,
5,Av Santa Cruz 830,Piso 4 Of. 401 Miraflores,Lima,18,Peru,511 418 1230,https://www.minera-irl.com,Gold,Basic Materials,"Minera IRL Limited, together with its subsidiaries, engages in the exploration, development, mining, and extraction of precious metals in Latin America. The company primarily explores for gold. Its flagship project is the Ollachea Gold project located in the Puno Region of Southern Peru. The company was formerly known as Goldmin Holdings and changed its name to Minera IRL Limited in October 2006. Minera IRL Limited was incorporated in 2003 is headquartered in Lima, Peru.",379,"{'maxAge': 1, 'name': 'Ms. Susan  Gabbie', 'title': 'Corp. Communications & Media Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.220744,65000,65000,26817,15000,15000,3467025,0.0039,0.1,0.10570843,0.013543,0.02684955,0.0,0.0,USD,106498024,-0.63922,226510016,231135008,0.21108,0.00903,0.231,0.06493506,1672444800,1703980800,1688083200,-20965000,-0.09,3.247,-10.012,PNK,EQUITY,MRLLF,MRLLF,MINERA IRL LTD,Minera IRL Limited,1361370600,America/New_York,EDT,-14400000,0.015,none,1566000,0.007,-10637000,104597000,0.067,0.101,32798000,195.633,0.142,-0.03195,-0.32801998,533000,4995750,5910000,-0.233,-0.08939999,-0.32432,-0.28351998,USD,
