,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Ms. Robin Ann Stelmach', 'age': 61, 'title': 'Pres and Trustee', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
1,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. J. Kevin Connaughton', 'age': 58, 'title': 'Chief Financial Officer and Sr. VP', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
2,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. Michael G. Clarke', 'age': 53, 'title': 'Chief Accounting Officer', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
3,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. James Richard Bordewick Jr., Esq.', 'age': 63, 'title': 'Chief Legal Officer and Sr. VP', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
4,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. Frank L. Tarantino', 'age': 78, 'title': 'Independent Sr. Officer', 'yearBorn': 1944, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
5,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. Robyn L. Griffin', 'age': 47, 'title': 'Assistant Independent Chief Compliance Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
6,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. Richard S. Weitzel', 'age': 52, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
7,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. Kasey L. Philips', 'age': 51, 'title': 'Assistant Treasurer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
8,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. Brian E. Langenfeld', 'age': 49, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
9,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html#tab-overview,Asset Management,Financial Services,"MFS Intermediate High Income Fund is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in high income debt instruments. The fund benchmarks the performance of its portfolio against Barclays U.S. High-Yield Corporate 2% Issuer Capped Index. It was formerly known as Colonial Intermediate High Income Fund. MFS Intermediate High Income Fund was founded in July 21, 1988 and is domiciled in United States.","{'maxAge': 1, 'name': 'Ms. Susan A. Pereira', 'age': 51, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.635,1.64,1.63,1.64,1.635,1.64,1.63,1.64,0.17,0.106000006,1694476800,9.77,0.791493,24712,24712,42130,24290,24290,1.61,1.64,1000,1400,31207358,1.59,1.89,10.14563,1.659,1.70895,0.176,0.10764526,USD,46207220,-0.26541,19137400,7024,3577,1690761600,1693440000,0.0004,0.0,0.085030004,0.15,1.802,0.90493894,1669766400,1701302400,1685491200,-816402,-0.04,15.022,NYQ,EQUITY,CIF,CIF,MFS Intermediate High Income Fu,MFS Intermediate High Income Fund,585581400,America/New_York,EDT,-14400000,1.6307,none,108,0.0,15000000,0.066,0.069,3075941,43.502,0.161,0.03051,-0.022179998,3031259,1399903,6326706,0.029,1.0,0.0,0.84442,USD,
