,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Two High Ridge Park,Suite Two,Stamford,CT,06905-1325,United States,203 322 0189,203 968 6082,https://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=JPS,Asset Management,Financial Services,"Nuveen Preferred Securities Income Fund is a closed-ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Spectrum Asset Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade preferred debt securities, convertible debt securities, and convertible preferred securities that are rated BBB/Baa or better by S&P, Moody's, or Fitch. It was formerly known as Nuveen Quality Preferred Income Fund 2. Nuveen Preferred Securities Income Fund was formed on June 24, 2002 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Mark Alan Lieb', 'age': 72, 'title': 'Portfolio Mang.', 'yearBorn': 1950, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,6.26,6.23,6.21,6.255,6.26,6.23,6.21,6.255,0.46,0.0726,1694649600,7.29,0.852697,439674,439674,557056,554000,554000,6.21,6.45,1800,3100,1281579520,5.85,7.71,8.2499895,6.3928,6.6429,0.545,0.087060705,USD,2291996672,-0.87227,205711008,229774,22629,1690761600,1693440000,0.0011,4.0000003e-05,0.24819,0.36,0.0011,8.222,0.75772315,1659225600,1690761600,1675123200,-135501056,-0.66,14.754,NYQ,EQUITY,JPS,JPS,Nuveen Preferred & Income Secur,Nuveen Preferred Securities Income Fund,1032874200,America/New_York,EDT,-14400000,6.23,none,166468,0.001,1004412608,0.045,0.136,155343168,59.384,0.755,0.02784,-0.074650005,157602354,61412656,231363392,-0.028,1.0,0.0,0.84036005,USD,
1,Two High Ridge Park,Suite Two,Stamford,CT,06905-1325,United States,203 322 0189,203 968 6082,https://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=JPS,Asset Management,Financial Services,"Nuveen Preferred Securities Income Fund is a closed-ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Spectrum Asset Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade preferred debt securities, convertible debt securities, and convertible preferred securities that are rated BBB/Baa or better by S&P, Moody's, or Fitch. It was formerly known as Nuveen Quality Preferred Income Fund 2. Nuveen Preferred Securities Income Fund was formed on June 24, 2002 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Lewis Phillip Jacoby IV', 'age': 63, 'title': 'Portfolio Mang.', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,6.26,6.23,6.21,6.255,6.26,6.23,6.21,6.255,0.46,0.0726,1694649600,7.29,0.852697,439674,439674,557056,554000,554000,6.21,6.45,1800,3100,1281579520,5.85,7.71,8.2499895,6.3928,6.6429,0.545,0.087060705,USD,2291996672,-0.87227,205711008,229774,22629,1690761600,1693440000,0.0011,4.0000003e-05,0.24819,0.36,0.0011,8.222,0.75772315,1659225600,1690761600,1675123200,-135501056,-0.66,14.754,NYQ,EQUITY,JPS,JPS,Nuveen Preferred & Income Secur,Nuveen Preferred Securities Income Fund,1032874200,America/New_York,EDT,-14400000,6.23,none,166468,0.001,1004412608,0.045,0.136,155343168,59.384,0.755,0.02784,-0.074650005,157602354,61412656,231363392,-0.028,1.0,0.0,0.84036005,USD,
