,address1,city,zip,country,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,35 Berkeley Square,London,W1J 5BF,United Kingdom,https://www.pathfinderminerals.com,Other Industrial Metals & Mining,Other Industrial Metals & Mining,Basic Materials,Basic Materials,"Pathfinder Minerals Plc, a natural resource company, focuses on mining heavy mineral sands in Mozambique, southern Africa. Pathfinder Minerals Plc was incorporated in 1991 and is headquartered in London, the United Kingdom.",5,"{'maxAge': 1, 'name': 'Mr. Paul Anthony Barratt', 'age': 64, 'title': 'Exec. Director', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.325,0.3275,0.3275,0.35,0.325,0.3275,0.3275,0.35,1060128000,0.0,0.898273,2616053,2616053,2809109,5642228,5642228,0.3,0.0,0,0,4237707,0.3,0.95,0.4804,0.467675,0.0,0.0,GBp,3495216,0.0,892163145,632494976,0.27736,0.056479998,1303910016,-0.0,1672444800,1703980800,1672444800,-376000,-0.0,1000:10000,1441670400,-0.38095236,0.14113986,25.0,1060128000,LSE,EQUITY,PFP.L,PFP.L,PATHFINDER MINERALS PLC ORD 0.1,Pathfinder Minerals plc,859276800,Europe/London,BST,7e337ea6-1ac9-31fc-8045-e11d201d8b63,finmb_82099908,3600000,0.325,none,46000,0.0,80000,0.304,0.304,-1.06095,-7.52,-264000,-405000,0.0,0.0,0.0,GBP,
1,35 Berkeley Square,London,W1J 5BF,United Kingdom,https://www.pathfinderminerals.com,Other Industrial Metals & Mining,Other Industrial Metals & Mining,Basic Materials,Basic Materials,"Pathfinder Minerals Plc, a natural resource company, focuses on mining heavy mineral sands in Mozambique, southern Africa. Pathfinder Minerals Plc was incorporated in 1991 and is headquartered in London, the United Kingdom.",5,"{'maxAge': 1, 'name': 'Mr. David Harvey Taylor', 'title': 'Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.325,0.3275,0.3275,0.35,0.325,0.3275,0.3275,0.35,1060128000,0.0,0.898273,2616053,2616053,2809109,5642228,5642228,0.3,0.0,0,0,4237707,0.3,0.95,0.4804,0.467675,0.0,0.0,GBp,3495216,0.0,892163145,632494976,0.27736,0.056479998,1303910016,-0.0,1672444800,1703980800,1672444800,-376000,-0.0,1000:10000,1441670400,-0.38095236,0.14113986,25.0,1060128000,LSE,EQUITY,PFP.L,PFP.L,PATHFINDER MINERALS PLC ORD 0.1,Pathfinder Minerals plc,859276800,Europe/London,BST,7e337ea6-1ac9-31fc-8045-e11d201d8b63,finmb_82099908,3600000,0.325,none,46000,0.0,80000,0.304,0.304,-1.06095,-7.52,-264000,-405000,0.0,0.0,0.0,GBP,
