,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,grossProfits,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Mr. Chi Tung Pun', 'age': 44, 'title': 'Head of Wave Money, CEO & Exec. Director', 'yearBorn': 1978, 'fiscalYear': 2023, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
1,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Mr. Serge  Pun', 'age': 70, 'title': 'Exec. Chairman & Head of Yoma Land', 'yearBorn': 1952, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
2,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Mr. J. R. Ching', 'age': 43, 'title': 'Chief Financial Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
3,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Mr. Phyo Thet Khine', 'title': 'Head of Group Technology', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
4,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Ms. Jane  Kwa', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
5,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Mr. Chin Yeh  See', 'title': 'Group Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
6,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Ms. Thandar  Shwe', 'title': 'Head of Group HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
7,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Mr. Michael  Rudenmark', 'title': 'Head of Passenger Vehicles', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
8,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Mr. Stephen  Purvis', 'title': 'Head of Yoma Land', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
9,"No. 02-14, 63 Mohamed Sultan Road",Sultan-Link,Singapore,239002,Singapore,65 6223 2262,65 6223 1990,https://www.yomastrategic.com,Conglomerates,Industrials,"Yoma Strategic Holdings Ltd., an investment holding company, engages in the real estate, automotive and heavy, leasing, mobile financial, food and beverages, and investment businesses in Singapore, Myanmar, and the People's Republic of China. The company's Real Estate Development segment develops and sells land and properties. Its Real Estate Services segment provides project management, design, and estate management services, as well as property leasing services and operates golf estate. The company's Automotive & Heavy Equipment segment supplies and sells agriculture and construction equipment, passenger and commercial vehicles, and related parts, as well as offers maintenance services. Its Central segment engages in the sale of properties, leasing of retail and commercial properties, and operates hotel and service apartments. The company's Leasing segment provides non-banking financing services. Its Investments segment invests in the infrastructure, tourism, solar power, agricultural, and other sectors. The Mobile Financial Service segment offers mobile payments, remittances through a nationwide agent network, e-wallet functionality, and other digital financial products. Its Food & Beverage segment involved in the operation of restaurants. The company was formerly known as Sea View Hotel Limited. Yoma Strategic Holdings Ltd. was incorporated in 1962 and is based in Singapore.",5432,"{'maxAge': 1, 'name': 'Mr. Gerhard  Hartzenberg', 'title': 'Head of Heavy Equipment', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1470355200,0.0,0.999624,17032,17032,4093,0,0,0.0,0.0,0,0,154738016,0.069,0.1054,1.4487938,0.07503,0.08269,0.0,0.0,USD,648830016,-0.34948003,1233070591,2242579968,0.4465,0.104370005,0.164,0.4207317,1680220800,1711843200,1664496000,-37926020,-0.01,1122:1000,1421020800,6.075,28.891,PNK,EQUITY,YMAIF,YMAIF,YOMA STRATEGIC HOLDINGS LIMITED,Yoma Strategic Holdings Ltd.,1352212200,America/New_York,EDT,-14400000,0.069,none,31159000,0.014,22458012,337921984,0.78,1.372,106804720,51.341,0.048,52610026,13954007,-0.057,0.49666,0.21027,0.124560006,USD,
