,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,AEroparc de Strasbourg,3 rue PEgase,Entzheim,67960,France,33 3 88 15 40 60,https://www.stradim.fr,Real Estate Services,Real Estate,"Stradim Espace Finances SA develops real estate properties in France. The company develops and sells lands and apartments. It also provides real estate leasing, real estate transaction, and other services. The company was incorporated in 1990 and is headquartered in Entzheim, France.",140,"{'maxAge': 1, 'name': 'Mr. Francis  Ebel', 'title': 'CEO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,0.38,0.052399997,1692748800,0.32459998,0.448198,6.1965814,8944,8944,1325,1277,1277,0.0,0.0,0,0,24938260,5.7,8.4,0.15964328,7.407,7.11075,0.38,0.05241379,EUR,74119472,0.031889997,689844,3439760,0.79945,0.0,9.337,0.7764807,1640908800,1672444800,1656547200,0.584,4982001,1.17,2:1,1347494400,0.474,9.646,PAR,EQUITY,ALSAS.PA,ALSAS.PA,STRADIM,Stradim Espace Finances SA,948700800,Europe/Paris,CEST,7200000,7.25,none,17039496,4.954,7684201,65485960,0.743,1.613,156212400,199.343,45.414,0.01914,0.18786,27000556,6076550,9911000,0.584,0.226,0.19760999,0.04919,0.047119997,EUR,
1,AEroparc de Strasbourg,3 rue PEgase,Entzheim,67960,France,33 3 88 15 40 60,https://www.stradim.fr,Real Estate Services,Real Estate,"Stradim Espace Finances SA develops real estate properties in France. The company develops and sells lands and apartments. It also provides real estate leasing, real estate transaction, and other services. The company was incorporated in 1990 and is headquartered in Entzheim, France.",140,"{'maxAge': 1, 'name': 'Mr. Alexandre  Ahuir', 'title': 'Chief Financial Officer and Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,0.38,0.052399997,1692748800,0.32459998,0.448198,6.1965814,8944,8944,1325,1277,1277,0.0,0.0,0,0,24938260,5.7,8.4,0.15964328,7.407,7.11075,0.38,0.05241379,EUR,74119472,0.031889997,689844,3439760,0.79945,0.0,9.337,0.7764807,1640908800,1672444800,1656547200,0.584,4982001,1.17,2:1,1347494400,0.474,9.646,PAR,EQUITY,ALSAS.PA,ALSAS.PA,STRADIM,Stradim Espace Finances SA,948700800,Europe/Paris,CEST,7200000,7.25,none,17039496,4.954,7684201,65485960,0.743,1.613,156212400,199.343,45.414,0.01914,0.18786,27000556,6076550,9911000,0.584,0.226,0.19760999,0.04919,0.047119997,EUR,
