,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Dr. Raghupati  Singhania B.Sc.', 'age': 76, 'title': 'Chairman & MD', 'yearBorn': 1946, 'fiscalYear': 2023, 'totalPay': 143900000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
1,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Mr. Anshuman  Singhania', 'age': 42, 'title': 'MD & Whole-Time Director', 'yearBorn': 1980, 'fiscalYear': 2023, 'totalPay': 107300000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
2,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Mr. Arun Kumar Bajoria', 'age': 76, 'title': 'Pres of International & Exec. Director', 'yearBorn': 1946, 'fiscalYear': 2023, 'totalPay': 54640000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
3,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Mr. Sanjeev  Aggarwal', 'title': 'Chief Financial Officer', 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
4,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Mr. Sanjiv  Saxena', 'title': 'Sr. VP of Corp. Accounts', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
5,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Mr. Virendra Kumar Misra', 'age': 71, 'title': 'Technical Director', 'yearBorn': 1951, 'fiscalYear': 2007, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
6,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Mr. Pawan Kumar Rustagi', 'age': 66, 'title': 'VP of Legal, Company Sec. & Compliance Officer', 'yearBorn': 1956, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
7,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Mr. Sanjay  Sharma', 'title': 'Head of Corp. Communications and Motor Sport', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
8,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Mr. Srinivasu  Allaphan', 'title': 'Director of  Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
9,Patriot House 3,Bahadur Shah Zafar Marg,New Delhi,110 002,India,91 11 6600 1112,91 11 2332 2059,https://www.jktyre.com,Auto Parts,Consumer Cyclical,"JK Tyre & Industries Limited develops, manufactures, markets, and distributes automotive tyres, tubes, flaps, and retreads in India, Mexico, and internationally. The company offers truck/bus bias and radial, light and small commercial vehicle, farm, passenger car radial, off the road and industrial, military/defense, specialty, two- and three-wheeler, motorcycle and scooter, and racing car tyres, as well as retreads. It operates tyre care centers that are involved in the repair, inflation pressure check, wheel alignment and balancing, rotation, and servicing of tyres. In addition, it provides its products under JK Tyre, Vikrant, and Tornel brands. The company markets its products and services through a network of Steel Wheels, Xpress Wheels, Truck Wheels, and Retread centers, as well as brand shops. JK Tyre & Industries Limited was incorporated in 1951 and is headquartered in New Delhi, India.",5827,"{'maxAge': 1, 'name': 'Mr. Bharat  Aggarwal', 'title': 'Head of International Trade', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,260.65,261.85,257.45,267.7,260.65,261.85,257.45,267.7,2.0,0.0077,1690416000,0.099700004,1.47,0.938164,17.200798,9.581482,1075323,1075323,1964358,745472,745472,0.0,0.0,0,0,63699963904,141.65,286.15,0.43274462,260.593,197.92975,0.0,0.0,INR,111677431808,0.02576,67949874,246231008,0.65927005,0.04086,137.926,1.8756436,1680220800,1711843200,1688083200,3.136,3791500032,15.04,27.0,0.66,5:1,1418860800,0.759,7.835,NSI,EQUITY,JKTYRE.NS,JKTYRE.NS,JK TYRE&INDUSTRIES,JK Tyre & Industries Limited,1087184700,Asia/Kolkata,IST,19800000,258.7,320.0,180.0,236.67,210.0,4.0,underperform,3,1843200000,7.486,14253450240,48823500800,147199901696,139.66,588.826,45677100000,12241899520,2.914,0.021,0.33115003,0.096829996,0.07201,INR,
