,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,220 St Georges Terrace,Level 4,Perth,WA,6000,Australia,61 8 6381 7250,61 8 6381 7299,https://www.widgienickel.com.au,Other Industrial Metals & Mining,Basic Materials,"Widgie Nickel Limited operates as a mineral exploration and development company in Australia. Its flagship project is the 100% owned Mt Edwards nickel and lithium project that covers an area of 240 square kilometers located in Western Australia. The company was incorporated in 2021 and is based in Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Johannes Stig Norregaard B Eng (WASM), M.A.I.C.D., MAICD, MAusiMM', 'title': 'MD, CEO & Exec. Director', 'fiscalYear': 2022, 'totalPay': 383480, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.22,0.215,0.2,0.215,0.22,0.215,0.2,0.215,282031,282031,342844,533382,533382,0.2,0.205,65453632,0.185,0.58,300.87122,0.21655,0.2879375,0.0,0.0,AUD,49424480,0.0,227722238,297516992,0.18989,0.00242,0.144,1.4236112,1688083200,1719705600,1688083200,-2056459,227.19,-24.64,ASX,EQUITY,WIN.AX,WIN.AX,WIDGIE FPO,Widgie Nickel Limited,1632268800,Australia/Sydney,AEST,36000000,0.205,none,11844806,0.04,-2005840,278366,3.382,3.419,217547,0.649,0.001,-0.03374,-0.05402,-1291021,-14922272,1.0,0.0,-10.3876295,AUD,
1,220 St Georges Terrace,Level 4,Perth,WA,6000,Australia,61 8 6381 7250,61 8 6381 7299,https://www.widgienickel.com.au,Other Industrial Metals & Mining,Basic Materials,"Widgie Nickel Limited operates as a mineral exploration and development company in Australia. Its flagship project is the 100% owned Mt Edwards nickel and lithium project that covers an area of 240 square kilometers located in Western Australia. The company was incorporated in 2021 and is based in Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Andrew Graeme Scott FCCA', 'title': 'CFO & Company Sec.', 'fiscalYear': 2022, 'totalPay': 234548, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.22,0.215,0.2,0.215,0.22,0.215,0.2,0.215,282031,282031,342844,533382,533382,0.2,0.205,65453632,0.185,0.58,300.87122,0.21655,0.2879375,0.0,0.0,AUD,49424480,0.0,227722238,297516992,0.18989,0.00242,0.144,1.4236112,1688083200,1719705600,1688083200,-2056459,227.19,-24.64,ASX,EQUITY,WIN.AX,WIN.AX,WIDGIE FPO,Widgie Nickel Limited,1632268800,Australia/Sydney,AEST,36000000,0.205,none,11844806,0.04,-2005840,278366,3.382,3.419,217547,0.649,0.001,-0.03374,-0.05402,-1291021,-14922272,1.0,0.0,-10.3876295,AUD,
