,address1,address2,city,state,zip,country,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,800 West Pender Street,Suite 615,Vancouver,BC,V6C 2V6,Canada,Other Industrial Metals & Mining,Basic Materials,"Napier Ventures Inc. engages in the acquisition and exploration of mineral properties in the United States. The company was incorporated in 2007 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Rob  Cohoe', 'title': 'Chairman & CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,1.010373,475,475,0,0,0,1512960,0.0001,0.0003,0.0001,0.000148,0.0,0.0,USD,2908,0.0,23494553,29666300,0.22472,0.0,-0.035,1553990400,1585612800,1577750400,-1041905,-0.01,PNK,EQUITY,NPRVF,NPRVF,NAPIER VENTURES INC,Napier Ventures Inc.,1457101800,America/New_York,EDT,-14400000,0.0001,none,58,0.0,0,0.002,0.004,-3.71961,437135,-252996,0.0,0.0,0.0,CAD,
1,800 West Pender Street,Suite 615,Vancouver,BC,V6C 2V6,Canada,Other Industrial Metals & Mining,Basic Materials,"Napier Ventures Inc. engages in the acquisition and exploration of mineral properties in the United States. The company was incorporated in 2007 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Earl Wilfred Hope', 'title': 'Interim CFO & Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,1.010373,475,475,0,0,0,1512960,0.0001,0.0003,0.0001,0.000148,0.0,0.0,USD,2908,0.0,23494553,29666300,0.22472,0.0,-0.035,1553990400,1585612800,1577750400,-1041905,-0.01,PNK,EQUITY,NPRVF,NPRVF,NAPIER VENTURES INC,Napier Ventures Inc.,1457101800,America/New_York,EDT,-14400000,0.0001,none,58,0.0,0,0.002,0.004,-3.71961,437135,-252996,0.0,0.0,0.0,CAD,
