,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,shortRatio,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,7400 Baymeadows Way,Suite 101,Jacksonville,FL,32256,United States,904-731-1289,https://www.aspyra.com,Health Information Services,Health Information Services,Healthcare,Healthcare,"Aspyra Inc. provides health care products and services for the laboratory and imaging marketplaces. It offers engineered workflow solutions that include software, interfaces, hardware, and professional services to various markets comprising specialty labs, reference labs, clinics, hospitals, imaging centers, and orthopedic practices. The company was formerly known as Creative Computer Applications Inc. and changed its name to Aspyra Inc. in November 2005. Aspyra Inc. was founded in 1978 and is headquartered in Jacksonville, Florida.",69,"{'maxAge': 1, 'name': 'Mr. Gary W. Bennett', 'title': 'Pres', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0,-14770.149,90,90,27,0,0,0.0,0.0,0,0,24695,0.0002,0.05,0.0031875514,0.0002,0.02012,0.0,0.0,USD,4033801,-0.857,170310,49,74,1254268800,1256860800,0.00029999999,0.2,123475000,24.659,8.110629e-06,1230681600,1262217600,1254268800,-6864771,-0.07,1:101,1272326400,0.521,-1.102,-0.996,0.14113986,PNK,EQUITY,APYI,APYI,ASPYRA INC,Aspyra Inc.,433085400,America/New_York,EDT,c036de39-49e9-3510-a87f-6c3f988a49a8,finmb_264948,-14400000,0.0002,none,564862,3.317,-3658931,4598629,0.165,0.191,7747326,109.511,58.482,-0.18343,-1.02542,3916499,-1205894,-1938895,-0.169,0.42918998,-0.47228,-0.59583,USD,
1,7400 Baymeadows Way,Suite 101,Jacksonville,FL,32256,United States,904-731-1289,https://www.aspyra.com,Health Information Services,Health Information Services,Healthcare,Healthcare,"Aspyra Inc. provides health care products and services for the laboratory and imaging marketplaces. It offers engineered workflow solutions that include software, interfaces, hardware, and professional services to various markets comprising specialty labs, reference labs, clinics, hospitals, imaging centers, and orthopedic practices. The company was formerly known as Creative Computer Applications Inc. and changed its name to Aspyra Inc. in November 2005. Aspyra Inc. was founded in 1978 and is headquartered in Jacksonville, Florida.",69,"{'maxAge': 1, 'name': 'Mr. Danny  Chin', 'title': 'VP of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0,-14770.149,90,90,27,0,0,0.0,0.0,0,0,24695,0.0002,0.05,0.0031875514,0.0002,0.02012,0.0,0.0,USD,4033801,-0.857,170310,49,74,1254268800,1256860800,0.00029999999,0.2,123475000,24.659,8.110629e-06,1230681600,1262217600,1254268800,-6864771,-0.07,1:101,1272326400,0.521,-1.102,-0.996,0.14113986,PNK,EQUITY,APYI,APYI,ASPYRA INC,Aspyra Inc.,433085400,America/New_York,EDT,c036de39-49e9-3510-a87f-6c3f988a49a8,finmb_264948,-14400000,0.0002,none,564862,3.317,-3658931,4598629,0.165,0.191,7747326,109.511,58.482,-0.18343,-1.02542,3916499,-1205894,-1938895,-0.169,0.42918998,-0.47228,-0.59583,USD,
