,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Mr. Martin  Muller-Elschner', 'age': 54, 'title': 'CEO, CFO & Chairman of Management Board', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
1,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Mr. Leon  Struijk', 'age': 52, 'title': 'Chief Customer Officer & Vice Chairman of Exec. Board', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
2,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Mr. Matthias  Rust', 'age': 54, 'title': 'CTO & Member of Management Board', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
3,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Mr. Felix  Bialdyga', 'title': 'Head of Law', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
4,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Linda  Schekiera', 'title': 'Head of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
5,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Oliver  Grzegorski', 'title': 'Managing Director of Rail', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
6,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Mr. Perry  Prust', 'title': 'Managing Director of Rail', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
7,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Mr. Steffen  Voith', 'title': 'Head of Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
8,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Mr. Martin  Stiel', 'title': 'Head of Devel. Planning', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
9,Bundesallee 88,Berlin,12161,Germany,49 30 8 59 06 0,49 30 8 59 06 111,https://www.ivu.com,Software—Application,Technology,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. It also provides integration, implementation, support, and cloud hosting and maintenance services. The company was founded in 1976 and is headquartered in Berlin, Germany.",945,"{'maxAge': 1, 'name': 'Dr. Falko  Hagebolling', 'title': 'Head of Devel. Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.04,14.2,13.62,14.2,14.04,14.2,13.62,14.2,0.24,0.0171,1685059200,0.42110002,1.24,1.203828,24.035088,18.266666,7118,7118,5948,8019,8019,13.6,13.8,10000,43900,239215696,12.02,17.98,2.0467653,14.6352,16.0193,0.24,0.017094016,EUR,235314480,0.08472,10997970,17461000,0.37729,0.13427,3.993,3.4310043,1672444800,1703980800,1688083200,-0.372,9902000,0.57,0.75,2.013,13.708,GER,EQUITY,IVU.DE,IVU.DE,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,962953200,Europe/Berlin,CEST,7200000,13.7,22.0,22.0,22.0,22.0,none,1,21639000,1.231,17166000,9413000,1.244,1.99,116875000,13.41,6.675,0.06766,0.14611,89372000,6177625,10776000,-0.372,0.028,0.80133003,0.14687,0.12106,EUR,
