,address1,address2,city,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Bijan  Mossavar-Rahmani', 'age': 70, 'title': 'Exec. Chairman', 'yearBorn': 1952, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
1,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Christopher  Spencer', 'title': 'MD & COO', 'fiscalYear': 2022, 'totalPay': 750100, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
2,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Haakon  Sandborg', 'age': 64, 'title': 'Chief Financial Officer', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 523300, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
3,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Geir Arne Skau', 'title': 'Chief HR & Corp. Services Officer', 'fiscalYear': 2022, 'totalPay': 503400, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
4,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Bjorn  Dale', 'title': 'Exec. Officer', 'fiscalYear': 2022, 'totalPay': 998700, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
5,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Orjan  Gjerde', 'age': 52, 'title': 'Gen. Mang. DNO North Sea', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 488400, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
6,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Sameh  Hanna', 'title': 'Gen. Mang. of Kurdistan Region of Iraq', 'fiscalYear': 2022, 'totalPay': 260500, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
7,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Jostein  Løvås', 'title': 'Communication Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
8,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Kenneth  Myhrvold', 'title': 'Chief Petroleum Engineer & Petroleum Technology Department Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
9,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Oil & Gas E&P,Energy,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Ms. Tonje Pareli Gormley', 'title': 'Gen. Counsel of Middle East', 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,2,10.45,10.5,10.49,10.82,10.45,10.5,10.49,10.82,1.0,0.095699996,1692835200,0.4039,2.047297,3.9925373,3.9338233,3433706,3433706,2181470,1703290,1703290,10.71,10.72,162000,728400,10432499712,9.3,15.13,10.388866,10.3495,11.021725,0.097,0.009282297,NOK,10264399872,0.23999001,294879000,975000000,0.45769,0.16674,975000000,1.35,7.9259257,1672444800,1703980800,1688083200,241000000,2.68,2.72,0.0,4:1,1150416000,10.221,15.611,-0.17054266,0.14113986,0.25,1692835200,OSL,EQUITY,DNO.OL,DNO.OL,DNO,DNO ASA,946886400,Europe/Oslo,CEST,243e677a-d689-3b3b-b6cb-8fa169d06e42,finmb_878127,7200000,10.7,21.06,12.03,14.83,13.0,1.6,buy,4,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
