,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,185 Hudson Street,Floor 25,Jersey City,NJ,07302,United States,(929) 264-7944,https://equatorbeverage.com,Beverages—Brewers,Consumer Defensive,"Equator Beverage Company engages in developing, producing, distributing, and marketing beverage products. It offers nonalcoholic and ready-to-drink alcoholic options. The company also provides a line of energy beverages targeted towards female consumers. Its flagship product is MOJO coconut water. The company also produces coconut water + pineapple juice, sparkling coconut water + citrus, sparkling coconut water + blood orange, sparkling coconut water + pink grapefruit, sparkling coconut water energy + citrus, sparkling coconut water energy + blood orange, sparkling coconut water energy + pink grapefruit, cubano blue agave tequila organic sparkling coconut water + citrus, cubano blue agave tequila organic sparkling coconut water + blood orange, and organic coconut water. It offers its products through its hybrid distribution network, third party partners, and broker network. The company sells its beverages in North America, the Caribbean, and Bermuda. The company was formerly known as MOJO Organics, Inc. and changed its name to Equator Beverage Company in July 2022. Equator Beverage Company is headquartered in Jersey City, New Jersey.",2,"{'maxAge': 1, 'name': 'Mr. Glenn  Simpson', 'age': 70, 'title': 'Chairman & CEO', 'yearBorn': 1952, 'fiscalYear': 2022, 'totalPay': 72000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.5825,0.58,0.5825,0.5825,0.5825,0.58,0.5825,0.5825,0.0,0.718879,5,5,10038,1850,1850,0.0,0.0,0,0,9510827,0.051,0.7,4.743919,0.456,0.178585,0.0,0.0,USD,9765762,-0.04522,8013094,16327600,0.51347,0.0,0.01,58.25,1672444800,1703980800,1688083200,-90659,-0.01,1:10,1364860800,4.871,PNK,EQUITY,MOJO,MOJO,EQUATOR BEVERAGE CO,Equator Beverage Company,1328279400,America/New_York,EDT,-14400000,0.5825,none,35063,0.002,290000,0.501,1.469,2004846,169.188,0.122,-0.07469,-0.4873,41361,4339,0.088,0.38830003,0.0,-0.03216,USD,
1,185 Hudson Street,Floor 25,Jersey City,NJ,07302,United States,(929) 264-7944,https://equatorbeverage.com,Beverages—Brewers,Consumer Defensive,"Equator Beverage Company engages in developing, producing, distributing, and marketing beverage products. It offers nonalcoholic and ready-to-drink alcoholic options. The company also provides a line of energy beverages targeted towards female consumers. Its flagship product is MOJO coconut water. The company also produces coconut water + pineapple juice, sparkling coconut water + citrus, sparkling coconut water + blood orange, sparkling coconut water + pink grapefruit, sparkling coconut water energy + citrus, sparkling coconut water energy + blood orange, sparkling coconut water energy + pink grapefruit, cubano blue agave tequila organic sparkling coconut water + citrus, cubano blue agave tequila organic sparkling coconut water + blood orange, and organic coconut water. It offers its products through its hybrid distribution network, third party partners, and broker network. The company sells its beverages in North America, the Caribbean, and Bermuda. The company was formerly known as MOJO Organics, Inc. and changed its name to Equator Beverage Company in July 2022. Equator Beverage Company is headquartered in Jersey City, New Jersey.",2,"{'maxAge': 1, 'name': 'Ms. Diane  Cudia', 'title': 'Corp. Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.5825,0.58,0.5825,0.5825,0.5825,0.58,0.5825,0.5825,0.0,0.718879,5,5,10038,1850,1850,0.0,0.0,0,0,9510827,0.051,0.7,4.743919,0.456,0.178585,0.0,0.0,USD,9765762,-0.04522,8013094,16327600,0.51347,0.0,0.01,58.25,1672444800,1703980800,1688083200,-90659,-0.01,1:10,1364860800,4.871,PNK,EQUITY,MOJO,MOJO,EQUATOR BEVERAGE CO,Equator Beverage Company,1328279400,America/New_York,EDT,-14400000,0.5825,none,35063,0.002,290000,0.501,1.469,2004846,169.188,0.122,-0.07469,-0.4873,41361,4339,0.088,0.38830003,0.0,-0.03216,USD,
