,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,EisenhUettenstrasse 99,Salzgitter,38239,Germany,49 5341 21 01,49 5341 21 2727,https://www.salzgitter-ag.com,Steel,Basic Materials,"Salzgitter AG, together with its subsidiaries, engages in steel and technology businesses worldwide. It operates through four segments: Steel Production, Steel Processing, Trading, and Technology. The Steel Production segment manufactures steel and special steels, such as hot-rolled wide strip, steel sheet, sections, tailored blanks, as well as scrap trading. The Steel Processing segment produces various high-grade heavy plates; and manufactures line pipes, HFI-welded tubes, and precision and stainless-steel tubes. The Trading segment operates a European sales network, as well as trading companies and agencies worldwide. The Technology segment engages in the provision of machinery and plants for the filling and packaging of beverages, as well as special machinery engineering for shoe manufacturing and elastomer production. The company also provides IT, facility management, logistics, automotive engineering, and research and development services, as well as supplies raw materials. Salzgitter AG was founded in 1858 and is headquartered in Salzgitter, Germany.",23855,"{'maxAge': 1, 'name': 'Mr. Gunnar  Groebler', 'age': 50, 'title': 'Chairman of the Group Management Board & CEO', 'yearBorn': 1972, 'fiscalYear': 2021, 'totalPay': 1688000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,1,1,4,1693526400,1640908800,86400,2,25.08,25.38,24.84,25.62,25.08,25.38,24.84,25.62,1.0,0.0399,1685059200,0.1099,2.154654,2.7494504,5.223382,131116,131116,80677,79126,79126,24.9,24.94,18500,2300,1353264256,18.99,41.64,0.11514693,28.784,32.8934,1.0,0.039872408,EUR,2137143424,0.041890003,26192634,54087300,0.51528,0.11765,90.904,0.2752354,1672444800,1703980800,1688083200,-0.879,492300000,9.1,4.79,-0.09,0.182,4.937,GER,EQUITY,SZG.DE,SZG.DE,SALZGITTER AG O.N.,Salzgitter AG,910598400,Europe/Berlin,CEST,7200000,25.02,45.0,19.6,27.03,26.0,3.0,hold,14,927600000,17.136,432900000,1700400000,0.98,1.93,11752500224,34.486,217.136,0.00829,0.102919996,4163800000,78737504,961800000,-0.879,-0.132,0.31216,0.03683,0.012519999,EUR,
1,EisenhUettenstrasse 99,Salzgitter,38239,Germany,49 5341 21 01,49 5341 21 2727,https://www.salzgitter-ag.com,Steel,Basic Materials,"Salzgitter AG, together with its subsidiaries, engages in steel and technology businesses worldwide. It operates through four segments: Steel Production, Steel Processing, Trading, and Technology. The Steel Production segment manufactures steel and special steels, such as hot-rolled wide strip, steel sheet, sections, tailored blanks, as well as scrap trading. The Steel Processing segment produces various high-grade heavy plates; and manufactures line pipes, HFI-welded tubes, and precision and stainless-steel tubes. The Trading segment operates a European sales network, as well as trading companies and agencies worldwide. The Technology segment engages in the provision of machinery and plants for the filling and packaging of beverages, as well as special machinery engineering for shoe manufacturing and elastomer production. The company also provides IT, facility management, logistics, automotive engineering, and research and development services, as well as supplies raw materials. Salzgitter AG was founded in 1858 and is headquartered in Salzgitter, Germany.",23855,"{'maxAge': 1, 'name': 'Mr. Burkhard  Becker', 'age': 62, 'title': 'CFO & Member of the Group Management Board', 'yearBorn': 1960, 'fiscalYear': 2021, 'totalPay': 1391000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,1,1,4,1693526400,1640908800,86400,2,25.08,25.38,24.84,25.62,25.08,25.38,24.84,25.62,1.0,0.0399,1685059200,0.1099,2.154654,2.7494504,5.223382,131116,131116,80677,79126,79126,24.9,24.94,18500,2300,1353264256,18.99,41.64,0.11514693,28.784,32.8934,1.0,0.039872408,EUR,2137143424,0.041890003,26192634,54087300,0.51528,0.11765,90.904,0.2752354,1672444800,1703980800,1688083200,-0.879,492300000,9.1,4.79,-0.09,0.182,4.937,GER,EQUITY,SZG.DE,SZG.DE,SALZGITTER AG O.N.,Salzgitter AG,910598400,Europe/Berlin,CEST,7200000,25.02,45.0,19.6,27.03,26.0,3.0,hold,14,927600000,17.136,432900000,1700400000,0.98,1.93,11752500224,34.486,217.136,0.00829,0.102919996,4163800000,78737504,961800000,-0.879,-0.132,0.31216,0.03683,0.012519999,EUR,
2,EisenhUettenstrasse 99,Salzgitter,38239,Germany,49 5341 21 01,49 5341 21 2727,https://www.salzgitter-ag.com,Steel,Basic Materials,"Salzgitter AG, together with its subsidiaries, engages in steel and technology businesses worldwide. It operates through four segments: Steel Production, Steel Processing, Trading, and Technology. The Steel Production segment manufactures steel and special steels, such as hot-rolled wide strip, steel sheet, sections, tailored blanks, as well as scrap trading. The Steel Processing segment produces various high-grade heavy plates; and manufactures line pipes, HFI-welded tubes, and precision and stainless-steel tubes. The Trading segment operates a European sales network, as well as trading companies and agencies worldwide. The Technology segment engages in the provision of machinery and plants for the filling and packaging of beverages, as well as special machinery engineering for shoe manufacturing and elastomer production. The company also provides IT, facility management, logistics, automotive engineering, and research and development services, as well as supplies raw materials. Salzgitter AG was founded in 1858 and is headquartered in Salzgitter, Germany.",23855,"{'maxAge': 1, 'name': 'Mr. Michael  Kieckbusch', 'age': 61, 'title': 'Chief Personnel Officer & Member of the Group Management Board', 'yearBorn': 1961, 'fiscalYear': 2021, 'totalPay': 1400000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,1,1,4,1693526400,1640908800,86400,2,25.08,25.38,24.84,25.62,25.08,25.38,24.84,25.62,1.0,0.0399,1685059200,0.1099,2.154654,2.7494504,5.223382,131116,131116,80677,79126,79126,24.9,24.94,18500,2300,1353264256,18.99,41.64,0.11514693,28.784,32.8934,1.0,0.039872408,EUR,2137143424,0.041890003,26192634,54087300,0.51528,0.11765,90.904,0.2752354,1672444800,1703980800,1688083200,-0.879,492300000,9.1,4.79,-0.09,0.182,4.937,GER,EQUITY,SZG.DE,SZG.DE,SALZGITTER AG O.N.,Salzgitter AG,910598400,Europe/Berlin,CEST,7200000,25.02,45.0,19.6,27.03,26.0,3.0,hold,14,927600000,17.136,432900000,1700400000,0.98,1.93,11752500224,34.486,217.136,0.00829,0.102919996,4163800000,78737504,961800000,-0.879,-0.132,0.31216,0.03683,0.012519999,EUR,
3,EisenhUettenstrasse 99,Salzgitter,38239,Germany,49 5341 21 01,49 5341 21 2727,https://www.salzgitter-ag.com,Steel,Basic Materials,"Salzgitter AG, together with its subsidiaries, engages in steel and technology businesses worldwide. It operates through four segments: Steel Production, Steel Processing, Trading, and Technology. The Steel Production segment manufactures steel and special steels, such as hot-rolled wide strip, steel sheet, sections, tailored blanks, as well as scrap trading. The Steel Processing segment produces various high-grade heavy plates; and manufactures line pipes, HFI-welded tubes, and precision and stainless-steel tubes. The Trading segment operates a European sales network, as well as trading companies and agencies worldwide. The Technology segment engages in the provision of machinery and plants for the filling and packaging of beverages, as well as special machinery engineering for shoe manufacturing and elastomer production. The company also provides IT, facility management, logistics, automotive engineering, and research and development services, as well as supplies raw materials. Salzgitter AG was founded in 1858 and is headquartered in Salzgitter, Germany.",23855,"{'maxAge': 1, 'name': 'Mr. Ulrich  Grethe', 'title': 'Head of the Strip Steel Bus. Unit & Member of the Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,1,1,4,1693526400,1640908800,86400,2,25.08,25.38,24.84,25.62,25.08,25.38,24.84,25.62,1.0,0.0399,1685059200,0.1099,2.154654,2.7494504,5.223382,131116,131116,80677,79126,79126,24.9,24.94,18500,2300,1353264256,18.99,41.64,0.11514693,28.784,32.8934,1.0,0.039872408,EUR,2137143424,0.041890003,26192634,54087300,0.51528,0.11765,90.904,0.2752354,1672444800,1703980800,1688083200,-0.879,492300000,9.1,4.79,-0.09,0.182,4.937,GER,EQUITY,SZG.DE,SZG.DE,SALZGITTER AG O.N.,Salzgitter AG,910598400,Europe/Berlin,CEST,7200000,25.02,45.0,19.6,27.03,26.0,3.0,hold,14,927600000,17.136,432900000,1700400000,0.98,1.93,11752500224,34.486,217.136,0.00829,0.102919996,4163800000,78737504,961800000,-0.879,-0.132,0.31216,0.03683,0.012519999,EUR,
4,EisenhUettenstrasse 99,Salzgitter,38239,Germany,49 5341 21 01,49 5341 21 2727,https://www.salzgitter-ag.com,Steel,Basic Materials,"Salzgitter AG, together with its subsidiaries, engages in steel and technology businesses worldwide. It operates through four segments: Steel Production, Steel Processing, Trading, and Technology. The Steel Production segment manufactures steel and special steels, such as hot-rolled wide strip, steel sheet, sections, tailored blanks, as well as scrap trading. The Steel Processing segment produces various high-grade heavy plates; and manufactures line pipes, HFI-welded tubes, and precision and stainless-steel tubes. The Trading segment operates a European sales network, as well as trading companies and agencies worldwide. The Technology segment engages in the provision of machinery and plants for the filling and packaging of beverages, as well as special machinery engineering for shoe manufacturing and elastomer production. The company also provides IT, facility management, logistics, automotive engineering, and research and development services, as well as supplies raw materials. Salzgitter AG was founded in 1858 and is headquartered in Salzgitter, Germany.",23855,"{'maxAge': 1, 'name': 'Mr. Kai  Acker', 'title': 'Head of the Group Technology Bus. Unit & Member of Group Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,1,1,4,1693526400,1640908800,86400,2,25.08,25.38,24.84,25.62,25.08,25.38,24.84,25.62,1.0,0.0399,1685059200,0.1099,2.154654,2.7494504,5.223382,131116,131116,80677,79126,79126,24.9,24.94,18500,2300,1353264256,18.99,41.64,0.11514693,28.784,32.8934,1.0,0.039872408,EUR,2137143424,0.041890003,26192634,54087300,0.51528,0.11765,90.904,0.2752354,1672444800,1703980800,1688083200,-0.879,492300000,9.1,4.79,-0.09,0.182,4.937,GER,EQUITY,SZG.DE,SZG.DE,SALZGITTER AG O.N.,Salzgitter AG,910598400,Europe/Berlin,CEST,7200000,25.02,45.0,19.6,27.03,26.0,3.0,hold,14,927600000,17.136,432900000,1700400000,0.98,1.93,11752500224,34.486,217.136,0.00829,0.102919996,4163800000,78737504,961800000,-0.879,-0.132,0.31216,0.03683,0.012519999,EUR,
5,EisenhUettenstrasse 99,Salzgitter,38239,Germany,49 5341 21 01,49 5341 21 2727,https://www.salzgitter-ag.com,Steel,Basic Materials,"Salzgitter AG, together with its subsidiaries, engages in steel and technology businesses worldwide. It operates through four segments: Steel Production, Steel Processing, Trading, and Technology. The Steel Production segment manufactures steel and special steels, such as hot-rolled wide strip, steel sheet, sections, tailored blanks, as well as scrap trading. The Steel Processing segment produces various high-grade heavy plates; and manufactures line pipes, HFI-welded tubes, and precision and stainless-steel tubes. The Trading segment operates a European sales network, as well as trading companies and agencies worldwide. The Technology segment engages in the provision of machinery and plants for the filling and packaging of beverages, as well as special machinery engineering for shoe manufacturing and elastomer production. The company also provides IT, facility management, logistics, automotive engineering, and research and development services, as well as supplies raw materials. Salzgitter AG was founded in 1858 and is headquartered in Salzgitter, Germany.",23855,"{'maxAge': 1, 'name': 'Dr. Sebastian  Bross', 'title': 'Head of Trading Bus. Unit & Member of the Group Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,1,1,4,1693526400,1640908800,86400,2,25.08,25.38,24.84,25.62,25.08,25.38,24.84,25.62,1.0,0.0399,1685059200,0.1099,2.154654,2.7494504,5.223382,131116,131116,80677,79126,79126,24.9,24.94,18500,2300,1353264256,18.99,41.64,0.11514693,28.784,32.8934,1.0,0.039872408,EUR,2137143424,0.041890003,26192634,54087300,0.51528,0.11765,90.904,0.2752354,1672444800,1703980800,1688083200,-0.879,492300000,9.1,4.79,-0.09,0.182,4.937,GER,EQUITY,SZG.DE,SZG.DE,SALZGITTER AG O.N.,Salzgitter AG,910598400,Europe/Berlin,CEST,7200000,25.02,45.0,19.6,27.03,26.0,3.0,hold,14,927600000,17.136,432900000,1700400000,0.98,1.93,11752500224,34.486,217.136,0.00829,0.102919996,4163800000,78737504,961800000,-0.879,-0.132,0.31216,0.03683,0.012519999,EUR,
6,EisenhUettenstrasse 99,Salzgitter,38239,Germany,49 5341 21 01,49 5341 21 2727,https://www.salzgitter-ag.com,Steel,Basic Materials,"Salzgitter AG, together with its subsidiaries, engages in steel and technology businesses worldwide. It operates through four segments: Steel Production, Steel Processing, Trading, and Technology. The Steel Production segment manufactures steel and special steels, such as hot-rolled wide strip, steel sheet, sections, tailored blanks, as well as scrap trading. The Steel Processing segment produces various high-grade heavy plates; and manufactures line pipes, HFI-welded tubes, and precision and stainless-steel tubes. The Trading segment operates a European sales network, as well as trading companies and agencies worldwide. The Technology segment engages in the provision of machinery and plants for the filling and packaging of beverages, as well as special machinery engineering for shoe manufacturing and elastomer production. The company also provides IT, facility management, logistics, automotive engineering, and research and development services, as well as supplies raw materials. Salzgitter AG was founded in 1858 and is headquartered in Salzgitter, Germany.",23855,"{'maxAge': 1, 'name': 'Mr. Uwe  Kruse', 'title': 'CIO & Head of IT Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,1,1,4,1693526400,1640908800,86400,2,25.08,25.38,24.84,25.62,25.08,25.38,24.84,25.62,1.0,0.0399,1685059200,0.1099,2.154654,2.7494504,5.223382,131116,131116,80677,79126,79126,24.9,24.94,18500,2300,1353264256,18.99,41.64,0.11514693,28.784,32.8934,1.0,0.039872408,EUR,2137143424,0.041890003,26192634,54087300,0.51528,0.11765,90.904,0.2752354,1672444800,1703980800,1688083200,-0.879,492300000,9.1,4.79,-0.09,0.182,4.937,GER,EQUITY,SZG.DE,SZG.DE,SALZGITTER AG O.N.,Salzgitter AG,910598400,Europe/Berlin,CEST,7200000,25.02,45.0,19.6,27.03,26.0,3.0,hold,14,927600000,17.136,432900000,1700400000,0.98,1.93,11752500224,34.486,217.136,0.00829,0.102919996,4163800000,78737504,961800000,-0.879,-0.132,0.31216,0.03683,0.012519999,EUR,
7,EisenhUettenstrasse 99,Salzgitter,38239,Germany,49 5341 21 01,49 5341 21 2727,https://www.salzgitter-ag.com,Steel,Basic Materials,"Salzgitter AG, together with its subsidiaries, engages in steel and technology businesses worldwide. It operates through four segments: Steel Production, Steel Processing, Trading, and Technology. The Steel Production segment manufactures steel and special steels, such as hot-rolled wide strip, steel sheet, sections, tailored blanks, as well as scrap trading. The Steel Processing segment produces various high-grade heavy plates; and manufactures line pipes, HFI-welded tubes, and precision and stainless-steel tubes. The Trading segment operates a European sales network, as well as trading companies and agencies worldwide. The Technology segment engages in the provision of machinery and plants for the filling and packaging of beverages, as well as special machinery engineering for shoe manufacturing and elastomer production. The company also provides IT, facility management, logistics, automotive engineering, and research and development services, as well as supplies raw materials. Salzgitter AG was founded in 1858 and is headquartered in Salzgitter, Germany.",23855,"{'maxAge': 1, 'name': 'Mr. Markus  Heidler', 'title': 'Head of Investor Relations & Corp. Communication', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,1,1,4,1693526400,1640908800,86400,2,25.08,25.38,24.84,25.62,25.08,25.38,24.84,25.62,1.0,0.0399,1685059200,0.1099,2.154654,2.7494504,5.223382,131116,131116,80677,79126,79126,24.9,24.94,18500,2300,1353264256,18.99,41.64,0.11514693,28.784,32.8934,1.0,0.039872408,EUR,2137143424,0.041890003,26192634,54087300,0.51528,0.11765,90.904,0.2752354,1672444800,1703980800,1688083200,-0.879,492300000,9.1,4.79,-0.09,0.182,4.937,GER,EQUITY,SZG.DE,SZG.DE,SALZGITTER AG O.N.,Salzgitter AG,910598400,Europe/Berlin,CEST,7200000,25.02,45.0,19.6,27.03,26.0,3.0,hold,14,927600000,17.136,432900000,1700400000,0.98,1.93,11752500224,34.486,217.136,0.00829,0.102919996,4163800000,78737504,961800000,-0.879,-0.132,0.31216,0.03683,0.012519999,EUR,
8,EisenhUettenstrasse 99,Salzgitter,38239,Germany,49 5341 21 01,49 5341 21 2727,https://www.salzgitter-ag.com,Steel,Basic Materials,"Salzgitter AG, together with its subsidiaries, engages in steel and technology businesses worldwide. It operates through four segments: Steel Production, Steel Processing, Trading, and Technology. The Steel Production segment manufactures steel and special steels, such as hot-rolled wide strip, steel sheet, sections, tailored blanks, as well as scrap trading. The Steel Processing segment produces various high-grade heavy plates; and manufactures line pipes, HFI-welded tubes, and precision and stainless-steel tubes. The Trading segment operates a European sales network, as well as trading companies and agencies worldwide. The Technology segment engages in the provision of machinery and plants for the filling and packaging of beverages, as well as special machinery engineering for shoe manufacturing and elastomer production. The company also provides IT, facility management, logistics, automotive engineering, and research and development services, as well as supplies raw materials. Salzgitter AG was founded in 1858 and is headquartered in Salzgitter, Germany.",23855,"{'maxAge': 1, 'name': 'Mr. Jan Mathias Lesemann', 'title': 'Sr. Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,1,1,4,1693526400,1640908800,86400,2,25.08,25.38,24.84,25.62,25.08,25.38,24.84,25.62,1.0,0.0399,1685059200,0.1099,2.154654,2.7494504,5.223382,131116,131116,80677,79126,79126,24.9,24.94,18500,2300,1353264256,18.99,41.64,0.11514693,28.784,32.8934,1.0,0.039872408,EUR,2137143424,0.041890003,26192634,54087300,0.51528,0.11765,90.904,0.2752354,1672444800,1703980800,1688083200,-0.879,492300000,9.1,4.79,-0.09,0.182,4.937,GER,EQUITY,SZG.DE,SZG.DE,SALZGITTER AG O.N.,Salzgitter AG,910598400,Europe/Berlin,CEST,7200000,25.02,45.0,19.6,27.03,26.0,3.0,hold,14,927600000,17.136,432900000,1700400000,0.98,1.93,11752500224,34.486,217.136,0.00829,0.102919996,4163800000,78737504,961800000,-0.879,-0.132,0.31216,0.03683,0.012519999,EUR,
