,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Mr. Stephen D. Lebovitz', 'age': 61, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 2166722, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
1,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Mr. Michael I. Lebovitz', 'age': 58, 'title': 'Pres', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 804752, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
2,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Ms. Kathryn A. Reinsmidt', 'age': 43, 'title': 'Exec. VP & COO', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 674484, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
3,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Mr. Jeffery V. Curry', 'age': 61, 'title': 'Chief Legal Officer & Sec.', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 650668, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
4,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Mr. Benjamin W. Jaenicke', 'age': 38, 'title': 'Exec. VP, Treasurer & CFO', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
5,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Mr. Andrew F. Cobb', 'age': 53, 'title': 'Exec. VP of Accounting', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
6,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Ms. Stacey  Keating', 'title': 'VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
7,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Ms. Mary Lynn Morse', 'title': 'Sr. VP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
8,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Mr. Benjamin  Staples', 'title': 'Sr. VP of People & Culture', 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
9,"CBL Center, 2030 Hamilton Place Blvd.",Suite 500,Chattanooga,TN,37421-6000,United States,423 855 0001,423 490 8390,https://www.cblproperties.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Headquartered in Chattanooga, TN, CBL Properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. CBL's owned and managed portfolio is comprised of 94 properties totaling 58.5 million square feet across 22 states, including 56 high-quality enclosed malls, outlet centers and lifestyle retail centers as well as more than 30 open-air centers and other assets. CBL seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",395,"{'maxAge': 1, 'name': 'Mr. Howard B. Grody', 'age': 61, 'title': 'Exec. VP of Leasing', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,4,9,4,1693526400,1672444800,86400,2,21.59,21.58,21.17,21.91,21.59,21.58,21.17,21.91,1.38,0.064899996,1694649600,-54.487183,447565,447565,74080,126130,126130,8.44,22.97,1200,3000,681155968,20.85,31.025,1.2337167,21.8666,24.02065,1.25,0.057897173,USD,2600260864,-0.05416,15114621,32054400,1485288,1513491,1690761600,1693440000,0.0463,0.100839995,0.79779,32.08,0.0962,32054400,10.421,2.039152,1672444800,1703980800,1688083200,-32789000,-1.0,-0.39,4.71,8.34,-0.22132647,0.14113986,0.375,1694649600,NYQ,EQUITY,CBL,CBL,"CBL & Associates Properties, In","CBL & Associates Properties, Inc.",1635859800,America/New_York,EDT,b85d82a8-5b2f-34d5-a4e0-2a6506d061a4,finmb_327735,-14400000,21.25,2.0,buy,24919000,0.777,311784000,1942049024,0.303,0.728,552116992,597.368,17.722,0.015579999,-0.08805,371281000,151492000,204380992,-0.052,0.64773005,0.56471,0.118540004,USD,
