,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Mr. Adam M. Aron', 'age': 67, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 7522106, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
1,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Mr. Sean D. Goodman', 'age': 57, 'title': 'Exec. VP of International Operations, CFO & Treasurer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 2865554, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
2,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Mr. Daniel E. Ellis J.D.', 'age': 53, 'title': 'Exec. VP & Chief Operations and Devel. Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1295104, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
3,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Mr. Kevin M. Connor Esq.', 'age': 59, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1963, 'fiscalYear': 2011, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
4,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Ms. Elizabeth Furst Frank', 'age': 53, 'title': 'Exec. VP of Worldwide Programming & Chief Content Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1300956, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
5,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Mr. Chris A. Cox', 'age': 56, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
6,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Mr. John C. Merriwether', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
7,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Ms. Ellen  Copaken', 'title': 'Sr. VP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
8,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Ms. Carla C. Chavarria CBP, CCP, PHR', 'age': 56, 'title': 'Sr. VP & Chief HR Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
9,One AMC Way,11500 Ash Street,Leawood,KS,66211,United States,913 213 2000,https://www.amctheatres.com,Entertainment,Entertainment,Communication Services,Communication Services,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",2787,"{'maxAge': 1, 'name': 'Mr. Mark Jonathan Way', 'title': 'Pres of AMC Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,8,6,8,1693526400,1672444800,86400,2,8.14,8.09,7.88,8.54,8.14,8.09,7.88,8.54,1583452800,0.0,2.045297,-4.5189185,24006442,24006442,12537791,38083430,38083430,8.32,8.36,1100,4000,1323864448,7.05,93.5,0.31064963,33.1774,47.29085,0.0,0.0,USD,10394677248,-0.17399,157913616,158356992,23211862,15615697,1690761600,1693440000,0.1466,1.75,0.1526,158356992,-16.307,1672444800,1703980800,1688083200,-741500032,-5.89,-1.85,0.01,1:10,1692835200,2.439,63.771,-0.90893245,0.14113986,0.03,1583452800,NYQ,EQUITY,AMC,AMC,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",1387377000,America/New_York,EDT,7c52ed5b-8820-37df-990b-5a784bac64b3,finmb_34874958,-14400000,8.36,39.71,4.41,15.8,11.84,3.6,underperform,6,435300000,2.748,163000000,9505800192,0.369,0.455,4261600000,26.907,-0.015369999,290500000,-194337504,-460200000,0.156,0.10735,0.03825,-0.053340003,USD,
