,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,The Bellezza,"Gapura Prima Office Tower Lt. 20 Jl. Let. Jend. Soepeno No. 34, Arteri Permata Hijau",Jakarta Selatan,12210,Indonesia,62 21 2567 5717,62 21 3048 5593,https://www.tirtamahakam.com,Lumber & Wood Production,Basic Materials,"PT Tirta Mahakam Resources Tbk manufactures and sells plywood and related wood products in Indonesia. The company floorbase, general plywood, concrete panel, structure panel, barecore, blockboard, polyester plywood, and polyester blockboard. It also exports its products to Japan, Taiwan, India, and internationally. The company was formerly known as PT Tirta Mahakam Plywood Industry. The company was founded in 1981 and is headquartered in Jakarta Selatan, Indonesia. PT Tirta Mahakam Resources Tbk is a subsidiary of PT Harita Guna Dharma Bhakti.",55,"{'maxAge': 1, 'name': 'Mr. Djohan Surja Putra', 'age': 65, 'title': 'Pres Director & Corp. Sec.', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1121817600,0.0,-0.062832,300,300,17177,2620,2620,0.0,50.0,0,0,50588499968,50.0,66.0,520.6915,50.0,50.36,0.0,0.0,IDR,867896655872,0.0,219271824,1011769984,0.78328,0.0,-591.573,1672444800,1703980800,1688083200,-43977572352,-43.46,8932.987,-68.163,JKT,EQUITY,TIRT.JK,TIRT.JK,Tirta Mahakam Resources Tbk,PT Tirta Mahakam Resources Tbk,958442400,Asia/Jakarta,WIB,25200000,50.0,none,1514001152,1.496,-12732681216,818821857280,3.799,106.746,97156368,0.096,-0.08181,-27211636932,-2345350400,-14894981120,-0.914,0.0,0.0,-341.57343,IDR,
1,The Bellezza,"Gapura Prima Office Tower Lt. 20 Jl. Let. Jend. Soepeno No. 34, Arteri Permata Hijau",Jakarta Selatan,12210,Indonesia,62 21 2567 5717,62 21 3048 5593,https://www.tirtamahakam.com,Lumber & Wood Production,Basic Materials,"PT Tirta Mahakam Resources Tbk manufactures and sells plywood and related wood products in Indonesia. The company floorbase, general plywood, concrete panel, structure panel, barecore, blockboard, polyester plywood, and polyester blockboard. It also exports its products to Japan, Taiwan, India, and internationally. The company was formerly known as PT Tirta Mahakam Plywood Industry. The company was founded in 1981 and is headquartered in Jakarta Selatan, Indonesia. PT Tirta Mahakam Resources Tbk is a subsidiary of PT Harita Guna Dharma Bhakti.",55,"{'maxAge': 1, 'name': 'Mr. Eddy  Sofyan', 'title': 'Head of Internal Audit', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1121817600,0.0,-0.062832,300,300,17177,2620,2620,0.0,50.0,0,0,50588499968,50.0,66.0,520.6915,50.0,50.36,0.0,0.0,IDR,867896655872,0.0,219271824,1011769984,0.78328,0.0,-591.573,1672444800,1703980800,1688083200,-43977572352,-43.46,8932.987,-68.163,JKT,EQUITY,TIRT.JK,TIRT.JK,Tirta Mahakam Resources Tbk,PT Tirta Mahakam Resources Tbk,958442400,Asia/Jakarta,WIB,25200000,50.0,none,1514001152,1.496,-12732681216,818821857280,3.799,106.746,97156368,0.096,-0.08181,-27211636932,-2345350400,-14894981120,-0.914,0.0,0.0,-341.57343,IDR,
