,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Mr. Michael Colin Connolly', 'age': 45, 'title': 'Pres, CEO & Director', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1743846, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
1,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Mr. Gregg D. Adzema', 'age': 57, 'title': 'Exec. VP & CFO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1038356, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
2,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Mr. Richard G. Hickson IV', 'age': 48, 'title': 'Exec. VP of Operations', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 861495, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
3,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Ms. Jane Kennedy Hicks', 'age': 37, 'title': 'Chief Investment Officer, Exec. VP & MD of Atlanta', 'yearBorn': 1985, 'fiscalYear': 2022, 'totalPay': 838798, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
4,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Mr. John S. McColl', 'age': 59, 'title': 'Exec. VP of Devel.', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 838873, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
5,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Mr. Jeffrey D. Symes', 'age': 57, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
6,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Mr. Brandon Van Orden', 'title': 'Sr. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
7,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Ms. Roni  Imbeaux', 'title': 'VP of Fin. & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
8,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Ms. Pamela F. Roper Esq.', 'age': 48, 'title': 'Exec. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1974, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
9,3344 Peachtree Road NE,Suite 1800,Atlanta,GA,30326-4802,United States,404 407 1000,404 407 1002,https://www.cousins.com,REIT—Office,Real Estate,"Cousins Properties is a fully integrated, self-administered and self-managed real estate investment trust (REIT). The Company, based in Atlanta, GA and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets and opportunistic investments.",286,"{'maxAge': 1, 'name': 'Ms. Melissa  McNamara', 'title': 'VP & Head of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,3,1,1693526400,1672444800,86400,2,22.59,22.65,22.44,22.88,22.59,22.65,22.44,22.88,1.28,0.056700002,1688515200,1.3061,3.77,1.143845,23.214285,50.555557,2843265,2843265,1494409,1946540,1946540,22.72,22.75,800,1200,3453427456,18.06,28.66,4.319446,23.2682,23.09935,1.28,0.05666224,USD,5920564224,0.18708,150730260,151774000,4551755,5560935,1690761600,1693440000,0.03,0.0064600003,1.06567,2.99,0.049000002,30.185,0.7536856,1672444800,1703980800,1688083200,-0.336,149574000,0.98,0.45,1:4,1560729600,7.405,11.869,NYQ,EQUITY,CUZ,CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,322151400,America/New_York,EDT,-14400000,22.75,29.0,19.0,25.4,26.5,2.5,buy,10,8031000,0.053,498844992,2477082880,0.898,0.967,799507008,53.799,5.276,0.01568,0.0326,507060000,378981376,368548000,-0.349,0.1,0.6628,0.62394,0.23492001,USD,
