,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,530 Seventh Avenue,Suite 407,New York,NY,10018-3030,United States,914 948 1300,914 948 1327,https://www.presrealty.com,REIT—Diversified,Real Estate,"Presidential Realty Corporation (Presidential or the Company) is operated as a self-administrated, self-managed Real Estate Investment Trust (REIT). The Company is engaged principally in the ownership of income producing real estate. Presidential operates in a single business segment, investments in real estate related assets.",4,"{'maxAge': 1, 'name': 'Mr. Nickolas W. Jekogian III', 'age': 52, 'title': 'Chairman & CEO', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 47880, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,1321401600,0.0,47.6065,Infinity,0.2090909,20,20,6,0,0,0.0,0.0,0,0,200024,0.02,0.75,0.17782061,0.1736,0.44315,0.0,0.0,USD,1397478,0.0110599995,2638081,442533,4013,4013,1194566400,1197331200,0.001,0.52054,0.0,22.29,-0.196,1672444800,1703980800,1688083200,12446,0.0,0.11,1.242,7.376,PNK,EQUITY,PDNLA,PDNLA,PRESIDENTIAL REALTY CORP,Presidential Realty Corporation,322151400,America/New_York,EDT,-14400000,0.023,none,152781,0.029,189459,1430920,0.294,0.622,1124864,0.217,0.06711,138504,150901,0.026,0.41196,0.16843,0.09897,USD,
1,530 Seventh Avenue,Suite 407,New York,NY,10018-3030,United States,914 948 1300,914 948 1327,https://www.presrealty.com,REIT—Diversified,Real Estate,"Presidential Realty Corporation (Presidential or the Company) is operated as a self-administrated, self-managed Real Estate Investment Trust (REIT). The Company is engaged principally in the ownership of income producing real estate. Presidential operates in a single business segment, investments in real estate related assets.",4,"{'maxAge': 1, 'name': 'Mr. Alexander  Ludwig', 'age': 51, 'title': 'Pres, Principal Financial Officer, COO, Sec. & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 16800, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,1321401600,0.0,47.6065,Infinity,0.2090909,20,20,6,0,0,0.0,0.0,0,0,200024,0.02,0.75,0.17782061,0.1736,0.44315,0.0,0.0,USD,1397478,0.0110599995,2638081,442533,4013,4013,1194566400,1197331200,0.001,0.52054,0.0,22.29,-0.196,1672444800,1703980800,1688083200,12446,0.0,0.11,1.242,7.376,PNK,EQUITY,PDNLA,PDNLA,PRESIDENTIAL REALTY CORP,Presidential Realty Corporation,322151400,America/New_York,EDT,-14400000,0.023,none,152781,0.029,189459,1430920,0.294,0.622,1124864,0.217,0.06711,138504,150901,0.026,0.41196,0.16843,0.09897,USD,
