,address1,city,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Zinkstraat 1,Balen,2490,Belgium,https://www.nyrstarnv.be,Other Industrial Metals & Mining,Basic Materials,"Nyrstar NV does not have significant operations. Previously, it was engaged in the mining, smelting, and producing of zinc, lead, and other base and precious metals primarily in Europe, Australia, Canada, and the United States. Nyrstar NV was founded in 2007 and is based in Balen, Belgium.","{'maxAge': 1, 'name': 'Mr. Martyn  Konig', 'age': 64, 'title': 'Exec. Chairman', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 200000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.135,0.136,0.13,0.1375,0.135,0.136,0.13,0.1375,1376006400,0.0,5.000375,0.2172131,74596,74596,46711,24758,24758,0.0,0.0,0,0,16316182,0.11,0.225,0.14218,0.14186,0.0,0.0,EUR,7487038,0.0,73243540,109873000,0.39515,0.0,-0.023,1672444800,1703980800,1640908800,-848294,-0.01,0.61,1:10,1465430400,BRU,EQUITY,NYR.BR,NYR.BR,NYRSTAR,Nyrstar NV,1193644800,Europe/Brussels,CEST,7200000,0.1325,none,15457819,0.141,8386685,1.801,1.801,-0.14369,0.0,0.0,0.0,EUR,
1,Zinkstraat 1,Balen,2490,Belgium,https://www.nyrstarnv.be,Other Industrial Metals & Mining,Basic Materials,"Nyrstar NV does not have significant operations. Previously, it was engaged in the mining, smelting, and producing of zinc, lead, and other base and precious metals primarily in Europe, Australia, Canada, and the United States. Nyrstar NV was founded in 2007 and is based in Balen, Belgium.","{'maxAge': 1, 'name': 'Anthony  Simms', 'title': 'Head of Legal & External Affairs, Head of IR, Insured Risk & Communications and Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.135,0.136,0.13,0.1375,0.135,0.136,0.13,0.1375,1376006400,0.0,5.000375,0.2172131,74596,74596,46711,24758,24758,0.0,0.0,0,0,16316182,0.11,0.225,0.14218,0.14186,0.0,0.0,EUR,7487038,0.0,73243540,109873000,0.39515,0.0,-0.023,1672444800,1703980800,1640908800,-848294,-0.01,0.61,1:10,1465430400,BRU,EQUITY,NYR.BR,NYR.BR,NYRSTAR,Nyrstar NV,1193644800,Europe/Brussels,CEST,7200000,0.1325,none,15457819,0.141,8386685,1.801,1.801,-0.14369,0.0,0.0,0.0,EUR,
