,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,144 – 4thAvenue SW,Suite 2100,Calgary,AB,T2P 3N4,Canada,403-266-6364,https://www.juraenergy.com,Oil & Gas E&P,Energy,"Jura Energy Corporation engages in the exploration, extraction, and production of oil and gas properties in Pakistan and Canada. The company was incorporated in 2002 and is headquartered in Calgary, Canada. Jura Energy Corporation is a subsidiary of JS Energy Limited.","{'maxAge': 1, 'name': 'Mr. Nadeem  Farooq', 'title': 'CEO & Director', 'fiscalYear': 2022, 'totalPay': 313710, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,3.135908,217,217,3,0,0,0.0,0.0,0,0,3057468,0.04,0.154,0.38280547,0.097,0.13975,0.0,0.0,USD,9934273,-0.63636,14755394,69076304,0.75988996,1.0000001e-05,0.121,0.3305785,1672444800,1703980800,1688083200,-5082578,-0.08,1.244,5.557,PNK,EQUITY,JECFF,JECFF,JURA ENERGY CORP,Jura Energy Corporation,849018600,America/New_York,EDT,-14400000,0.04,none,222589,0.003,1787600,7393809,0.312,0.495,7987002,88.134,0.116,-0.03741,-0.45813,1019283,4227106,-0.547,0.11938,0.22381,-0.26678,USD,
1,144 – 4thAvenue SW,Suite 2100,Calgary,AB,T2P 3N4,Canada,403-266-6364,https://www.juraenergy.com,Oil & Gas E&P,Energy,"Jura Energy Corporation engages in the exploration, extraction, and production of oil and gas properties in Pakistan and Canada. The company was incorporated in 2002 and is headquartered in Calgary, Canada. Jura Energy Corporation is a subsidiary of JS Energy Limited.","{'maxAge': 1, 'name': 'Mr. Muhammad Arif Siddiq', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 189548, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,3.135908,217,217,3,0,0,0.0,0.0,0,0,3057468,0.04,0.154,0.38280547,0.097,0.13975,0.0,0.0,USD,9934273,-0.63636,14755394,69076304,0.75988996,1.0000001e-05,0.121,0.3305785,1672444800,1703980800,1688083200,-5082578,-0.08,1.244,5.557,PNK,EQUITY,JECFF,JECFF,JURA ENERGY CORP,Jura Energy Corporation,849018600,America/New_York,EDT,-14400000,0.04,none,222589,0.003,1787600,7393809,0.312,0.495,7987002,88.134,0.116,-0.03741,-0.45813,1019283,4227106,-0.547,0.11938,0.22381,-0.26678,USD,
