,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,totalRevenue,debtToEquity,revenuePerShare,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Ms. Shweta  Agrawal', 'title': 'Whole Time Company Sec. & Compliance Officer', 'fiscalYear': 2023, 'totalPay': 2747000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
1,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Mr. Mahendra  Lodha', 'age': 56, 'title': 'Director of Fin., CFO & Exec. Director', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
2,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Mr. Ashish  Nigam', 'age': 51, 'title': 'CIO & CTO', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
3,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Mr. Abhinav  Goyal', 'age': 41, 'title': 'VP of Investor Relations & Treasury', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
4,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Mr. Sitesh Kumar Sinha', 'age': 46, 'title': 'Exec. VP', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
5,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Mr. Devesh  Singh', 'age': 43, 'title': 'Chief Risk Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
6,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Ms. Nidhi  Dahiya', 'title': 'Mang. & BR head', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
7,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Mr. S. Siva Kumar', 'title': 'Exec. Director of Credit', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
8,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Shray Kumar Shikhar', 'age': 42, 'title': 'Exec. Officer', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
9,Telephone Exchange Building,7th Floor 8 Bhikaji Cama Place,New Delhi,110066,India,91 11 2673 7300,91 11 2673 7373,https://www.ptcfinancial.com,Credit Services,Financial Services,"PTC India Financial Services Limited, a non-banking finance company, provides various financing solutions. It offers fund based/non-fund based financial assistance in the form of debt or structured debt instruments, such as term debt or project debt, corporate debt, bridge debt, and bills discounting, as well as letters of comfort, credit enhancement schemes, and deferred payment guarantees. The company acts as underwriter, lead FI, syndicator, security and facility agent, project appraiser, and DPR consultant/preparer. In addition, it invests in green-field and brown-field projects, logistics, road project, and other infrastructure. The company was incorporated in 2006 and is based in New Delhi, India. PTC India Financial Services Limited is a subsidiary of PTC India Limited.",44,"{'maxAge': 1, 'name': 'Ankur  Bansal', 'age': 40, 'title': 'VP of Bus. Devel.', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,28.1,28.25,28.0,28.65,28.1,28.25,28.0,28.65,1.0,0.0355,1693872000,0.0,1.105718,10.273723,4.6528926,1779726,1779726,4153090,5320902,5320902,0.0,0.0,0,0,18080266240,12.25,31.4,7.126068,24.864,18.35525,0.0,0.0,INR,63371341824,0.63852,225728813,642283008,7e-05,0.68671,38.242,0.7361016,1680220800,1711843200,1688083200,-0.273,1620057984,2.74,6.05,24.977,NSI,EQUITY,PFS.NS,PFS.NS,PTC INDIA FINANCIA,PTC India Financial Services Limited,1301456700,Asia/Kolkata,IST,19800000,28.15,none,6001801216,9.306,51217580032,2537200896,209.673,3.947,2741259000,-0.278,-0.299,0.90895,0.0,0.80587995,INR,
