,address1,city,zip,country,phone,fax,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5 rue du Helder,Paris,75009,France,33 1 47 70 57 53,33 1 42 46 53 05,Household & Personal Products,Consumer Defensive,"Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme engages in ceramics business. The company provides bathroom fixtures and tiling, traditional and contemporary earthenware dishes, ceramic lighting fixtures, and hotel porcelain. It also exports its products. The company is headquartered in Paris, France.",3,"{'maxAge': 1, 'name': 'Mr. Alain-Jean  Candelier', 'age': 77, 'title': 'CEO, CFO, Member of the Exec. Board & Company Sec.', 'yearBorn': 1945, 'fiscalYear': 2021, 'totalPay': 168425, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1004918400,0.0,-0.13551,1,1,0,0,0,34.5,46.35,2000,1500,4411220,15.2,22.4,20.0,20.038,0.0,0.0,EUR,482820,0.0,113691,23.652,0.84559447,1648684800,1680220800,1648684800,-507000,-1.9,PAR,EQUITY,FAYE.PA,FAYE.PA,FAYENC.SARREGUEMINES DIGOIN,"Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme",947145600,Europe/Paris,CEST,7200000,20.0,none,1791000,15.753,0,14.59,14.604,-0.1142,-0.1723,-191000,-395000,-562000,0.0,0.0,0.0,EUR,
1,5 rue du Helder,Paris,75009,France,33 1 47 70 57 53,33 1 42 46 53 05,Household & Personal Products,Consumer Defensive,"Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme engages in ceramics business. The company provides bathroom fixtures and tiling, traditional and contemporary earthenware dishes, ceramic lighting fixtures, and hotel porcelain. It also exports its products. The company is headquartered in Paris, France.",3,"{'maxAge': 1, 'name': 'Ms. Karine  Fenal', 'age': 50, 'title': 'Chairman of the Exec. Board', 'yearBorn': 1972, 'fiscalYear': 2021, 'totalPay': 60000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1004918400,0.0,-0.13551,1,1,0,0,0,34.5,46.35,2000,1500,4411220,15.2,22.4,20.0,20.038,0.0,0.0,EUR,482820,0.0,113691,23.652,0.84559447,1648684800,1680220800,1648684800,-507000,-1.9,PAR,EQUITY,FAYE.PA,FAYE.PA,FAYENC.SARREGUEMINES DIGOIN,"Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme",947145600,Europe/Paris,CEST,7200000,20.0,none,1791000,15.753,0,14.59,14.604,-0.1142,-0.1723,-191000,-395000,-562000,0.0,0.0,0.0,EUR,
