,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"st. Kozlovskaya, 14",Volgograd,400001,Russia,7 8442 26 26 26,7 8442 94 63 56,https://www.energosale34.ru,Utilities—Regulated Electric,Utilities,"Volgogradenergosbyt Public Joint-Stock Company purchases and sells electricity in the retail market for industrial and other consumers in Volgograd. The company was founded in 2005 and is based in Volgograd, Russia.","{'maxAge': 1, 'name': 'Mr. Dmitry Mikhailovich Kaul', 'age': 52, 'title': 'Gen. Director', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.795,1.8,1.765,1.8,1.795,1.8,1.765,1.8,1337904000,0.0,2.5285714,8000,8000,0,0,0,1.74,1.78,200000,600000,1230227840,1.765,1.945,1.945,1.945,0.0,0.0,RUB,0.0,80499104,-19.497,1672444800,1703980800,1672444800,0.7,MCX,EQUITY,VGSBP.ME,VGSBP.ME,VOLGOGRADENERGOSBY,Volgogradenergosbyt Public Joint-Stock Company,1267597800,Europe/Moscow,MSK,10800000,1.77,none,0.0,0.0,0.0,RUB,
1,"st. Kozlovskaya, 14",Volgograd,400001,Russia,7 8442 26 26 26,7 8442 94 63 56,https://www.energosale34.ru,Utilities—Regulated Electric,Utilities,"Volgogradenergosbyt Public Joint-Stock Company purchases and sells electricity in the retail market for industrial and other consumers in Volgograd. The company was founded in 2005 and is based in Volgograd, Russia.","{'maxAge': 1, 'name': 'Ms. Elena Ivanovna Lapushkina', 'title': 'Chief Accountant', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.795,1.8,1.765,1.8,1.795,1.8,1.765,1.8,1337904000,0.0,2.5285714,8000,8000,0,0,0,1.74,1.78,200000,600000,1230227840,1.765,1.945,1.945,1.945,0.0,0.0,RUB,0.0,80499104,-19.497,1672444800,1703980800,1672444800,0.7,MCX,EQUITY,VGSBP.ME,VGSBP.ME,VOLGOGRADENERGOSBY,Volgogradenergosbyt Public Joint-Stock Company,1267597800,Europe/Moscow,MSK,10800000,1.77,none,0.0,0.0,0.0,RUB,
