,address1,city,zip,country,phone,fax,website,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,23 St. Andrew Square,Edinburgh,EH2 1BB,United Kingdom,+44 0131 473 2200,+44 0131 473 2222,https://www.scottishoriental.com/uk/SOSCOT/Home/,"The Scottish Oriental Smaller Companies Trust plc is a closed-ended equity mutual fund launched and managed by First Sentier Investors (UK) Funds Limited. It is co-managed by First State Investment Management (UK) Limited. The fund invests in the public equity markets of Asia, excluding Japan and Australasia. It seeks to invest in stocks of companies operating across diversified sectors. The fund primarily invests in stocks of small-cap companies having market capitalizations below $1.5 billion. It benchmarks the performance of its portfolio against the MSCI AC Asia (ex Japan) Index. The Scottish Oriental Smaller Companies Trust plc was formed on March 29, 1995 and is domiciled in the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Angus J. Tulloch', 'title': 'Head of Asia Pacific (Ex-Japan) Equities and Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,13.1,13.12,13.1,13.1,13.1,13.12,13.1,13.1,0.374624,12.657005,930,930,930,930,930,13.1,13.12,13.1,13.1,0.13,0.009923664,USD,340002400,0.83962,0.087799996,0.77393997,13.898,0.9425817,1661904000,1693440000,1677542400,46468000,1.035,6.143,PNK,EQUITY,SCSHF,SCSHF,SCOTTISH ORIENTAL SMALLER COS T,The Scottish Oriental Smaller Companies Trust plc,1692106200,America/New_York,EDT,-14400000,13.1,none,13218000,0.535,29827000,55344000,8.694,2.202,0.0868,0.141,35691000,5175000,1.0,0.0,0.90678,GBP,
1,23 St. Andrew Square,Edinburgh,EH2 1BB,United Kingdom,+44 0131 473 2200,+44 0131 473 2222,https://www.scottishoriental.com/uk/SOSCOT/Home/,"The Scottish Oriental Smaller Companies Trust plc is a closed-ended equity mutual fund launched and managed by First Sentier Investors (UK) Funds Limited. It is co-managed by First State Investment Management (UK) Limited. The fund invests in the public equity markets of Asia, excluding Japan and Australasia. It seeks to invest in stocks of companies operating across diversified sectors. The fund primarily invests in stocks of small-cap companies having market capitalizations below $1.5 billion. It benchmarks the performance of its portfolio against the MSCI AC Asia (ex Japan) Index. The Scottish Oriental Smaller Companies Trust plc was formed on March 29, 1995 and is domiciled in the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Vinay  Agarwal', 'title': 'Interim lead portfolio manager', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,13.1,13.12,13.1,13.1,13.1,13.12,13.1,13.1,0.374624,12.657005,930,930,930,930,930,13.1,13.12,13.1,13.1,0.13,0.009923664,USD,340002400,0.83962,0.087799996,0.77393997,13.898,0.9425817,1661904000,1693440000,1677542400,46468000,1.035,6.143,PNK,EQUITY,SCSHF,SCSHF,SCOTTISH ORIENTAL SMALLER COS T,The Scottish Oriental Smaller Companies Trust plc,1692106200,America/New_York,EDT,-14400000,13.1,none,13218000,0.535,29827000,55344000,8.694,2.202,0.0868,0.141,35691000,5175000,1.0,0.0,0.90678,GBP,
