,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Sunfonda Automobile Center,Beichen Avenue No. 1555 Ouya 1st Road Chanba Ecological District,Xi'an,China,86 29 8610 1188,86 29 8610 1818,https://www.sunfonda.com.cn,Auto & Truck Dealerships,Consumer Cyclical,"Sunfonda Group Holdings Limited, an investment holding company, engages in the sale and service of motor vehicles in Mainland China. It sells imported and domestically manufactured luxury and ultra-luxury automobiles. The company also offers after-sales services, such as maintenance and repair services, sale of spare parts, and automobile detailing services; and other value-added services, including automobile insurance agency, automobile financing agency, automobile licensing, and automobile survey services. In addition, it provides logistics and storage services; technology development and internet services; and sale and service of second-hand cars. Further, the company is involved in the recycle and disassemble of motor vehicles; and commercial management business. The company was founded in 1997 and is headquartered in Xi'an, the People's Republic of China. Sunfonda Group Holdings Limited is a subsidiary of Top Wheel Limited.",3318,"{'maxAge': 1, 'name': 'Mr. Tak Lam  Wu', 'age': 60, 'title': 'Exec. Chairman', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 207534, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.75,0.75,0.74,0.75,0.75,0.75,0.74,0.75,0.06,0.08,1684800000,2.7194,6.47,1.072822,37.5,3000,3000,7253,600,600,0.55,0.75,0,0,450000000,0.7,1.46,0.04076671,0.9122,1.10855,0.016,0.021333335,HKD,2156295936,0.00105,181770000,600000000,0.73038,0.03692,4.103,0.18279307,1672444800,1703980800,1688083200,-0.895,11647000,0.02,0.195,7.971,HKG,EQUITY,1771.HK,1771.HK,SUNFONDA GP,Sunfonda Group Holdings Limited,1413423000,Asia/Hong_Kong,HKT,28800000,0.75,none,703291008,1.172,270503488,2409586944,0.364,1.135,11038418944,97.881,18.397,0.01059,0.00471,715734000,-0.895,0.022,0.051230002,0.024500001,0.00942,CNY,
1,Sunfonda Automobile Center,Beichen Avenue No. 1555 Ouya 1st Road Chanba Ecological District,Xi'an,China,86 29 8610 1188,86 29 8610 1818,https://www.sunfonda.com.cn,Auto & Truck Dealerships,Consumer Cyclical,"Sunfonda Group Holdings Limited, an investment holding company, engages in the sale and service of motor vehicles in Mainland China. It sells imported and domestically manufactured luxury and ultra-luxury automobiles. The company also offers after-sales services, such as maintenance and repair services, sale of spare parts, and automobile detailing services; and other value-added services, including automobile insurance agency, automobile financing agency, automobile licensing, and automobile survey services. In addition, it provides logistics and storage services; technology development and internet services; and sale and service of second-hand cars. Further, the company is involved in the recycle and disassemble of motor vehicles; and commercial management business. The company was founded in 1997 and is headquartered in Xi'an, the People's Republic of China. Sunfonda Group Holdings Limited is a subsidiary of Top Wheel Limited.",3318,"{'maxAge': 1, 'name': 'Ms. Man  Chiu', 'age': 58, 'title': 'CEO & Exec. Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 111326, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.75,0.75,0.74,0.75,0.75,0.75,0.74,0.75,0.06,0.08,1684800000,2.7194,6.47,1.072822,37.5,3000,3000,7253,600,600,0.55,0.75,0,0,450000000,0.7,1.46,0.04076671,0.9122,1.10855,0.016,0.021333335,HKD,2156295936,0.00105,181770000,600000000,0.73038,0.03692,4.103,0.18279307,1672444800,1703980800,1688083200,-0.895,11647000,0.02,0.195,7.971,HKG,EQUITY,1771.HK,1771.HK,SUNFONDA GP,Sunfonda Group Holdings Limited,1413423000,Asia/Hong_Kong,HKT,28800000,0.75,none,703291008,1.172,270503488,2409586944,0.364,1.135,11038418944,97.881,18.397,0.01059,0.00471,715734000,-0.895,0.022,0.051230002,0.024500001,0.00942,CNY,
2,Sunfonda Automobile Center,Beichen Avenue No. 1555 Ouya 1st Road Chanba Ecological District,Xi'an,China,86 29 8610 1188,86 29 8610 1818,https://www.sunfonda.com.cn,Auto & Truck Dealerships,Consumer Cyclical,"Sunfonda Group Holdings Limited, an investment holding company, engages in the sale and service of motor vehicles in Mainland China. It sells imported and domestically manufactured luxury and ultra-luxury automobiles. The company also offers after-sales services, such as maintenance and repair services, sale of spare parts, and automobile detailing services; and other value-added services, including automobile insurance agency, automobile financing agency, automobile licensing, and automobile survey services. In addition, it provides logistics and storage services; technology development and internet services; and sale and service of second-hand cars. Further, the company is involved in the recycle and disassemble of motor vehicles; and commercial management business. The company was founded in 1997 and is headquartered in Xi'an, the People's Republic of China. Sunfonda Group Holdings Limited is a subsidiary of Top Wheel Limited.",3318,"{'maxAge': 1, 'name': 'Ms. Wei  Chen', 'age': 47, 'title': 'Group Financial Controller & Exec. Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 75866, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.75,0.75,0.74,0.75,0.75,0.75,0.74,0.75,0.06,0.08,1684800000,2.7194,6.47,1.072822,37.5,3000,3000,7253,600,600,0.55,0.75,0,0,450000000,0.7,1.46,0.04076671,0.9122,1.10855,0.016,0.021333335,HKD,2156295936,0.00105,181770000,600000000,0.73038,0.03692,4.103,0.18279307,1672444800,1703980800,1688083200,-0.895,11647000,0.02,0.195,7.971,HKG,EQUITY,1771.HK,1771.HK,SUNFONDA GP,Sunfonda Group Holdings Limited,1413423000,Asia/Hong_Kong,HKT,28800000,0.75,none,703291008,1.172,270503488,2409586944,0.364,1.135,11038418944,97.881,18.397,0.01059,0.00471,715734000,-0.895,0.022,0.051230002,0.024500001,0.00942,CNY,
3,Sunfonda Automobile Center,Beichen Avenue No. 1555 Ouya 1st Road Chanba Ecological District,Xi'an,China,86 29 8610 1188,86 29 8610 1818,https://www.sunfonda.com.cn,Auto & Truck Dealerships,Consumer Cyclical,"Sunfonda Group Holdings Limited, an investment holding company, engages in the sale and service of motor vehicles in Mainland China. It sells imported and domestically manufactured luxury and ultra-luxury automobiles. The company also offers after-sales services, such as maintenance and repair services, sale of spare parts, and automobile detailing services; and other value-added services, including automobile insurance agency, automobile financing agency, automobile licensing, and automobile survey services. In addition, it provides logistics and storage services; technology development and internet services; and sale and service of second-hand cars. Further, the company is involved in the recycle and disassemble of motor vehicles; and commercial management business. The company was founded in 1997 and is headquartered in Xi'an, the People's Republic of China. Sunfonda Group Holdings Limited is a subsidiary of Top Wheel Limited.",3318,"{'maxAge': 1, 'name': 'Mr. Ning  Deng', 'age': 43, 'title': 'VP of Operations & Exec. Director', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 110364, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.75,0.75,0.74,0.75,0.75,0.75,0.74,0.75,0.06,0.08,1684800000,2.7194,6.47,1.072822,37.5,3000,3000,7253,600,600,0.55,0.75,0,0,450000000,0.7,1.46,0.04076671,0.9122,1.10855,0.016,0.021333335,HKD,2156295936,0.00105,181770000,600000000,0.73038,0.03692,4.103,0.18279307,1672444800,1703980800,1688083200,-0.895,11647000,0.02,0.195,7.971,HKG,EQUITY,1771.HK,1771.HK,SUNFONDA GP,Sunfonda Group Holdings Limited,1413423000,Asia/Hong_Kong,HKT,28800000,0.75,none,703291008,1.172,270503488,2409586944,0.364,1.135,11038418944,97.881,18.397,0.01059,0.00471,715734000,-0.895,0.022,0.051230002,0.024500001,0.00942,CNY,
4,Sunfonda Automobile Center,Beichen Avenue No. 1555 Ouya 1st Road Chanba Ecological District,Xi'an,China,86 29 8610 1188,86 29 8610 1818,https://www.sunfonda.com.cn,Auto & Truck Dealerships,Consumer Cyclical,"Sunfonda Group Holdings Limited, an investment holding company, engages in the sale and service of motor vehicles in Mainland China. It sells imported and domestically manufactured luxury and ultra-luxury automobiles. The company also offers after-sales services, such as maintenance and repair services, sale of spare parts, and automobile detailing services; and other value-added services, including automobile insurance agency, automobile financing agency, automobile licensing, and automobile survey services. In addition, it provides logistics and storage services; technology development and internet services; and sale and service of second-hand cars. Further, the company is involved in the recycle and disassemble of motor vehicles; and commercial management business. The company was founded in 1997 and is headquartered in Xi'an, the People's Republic of China. Sunfonda Group Holdings Limited is a subsidiary of Top Wheel Limited.",3318,"{'maxAge': 1, 'name': 'Ms. Sze Ting  Chan A.C.S.', 'age': 40, 'title': 'Company Sec.', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.75,0.75,0.74,0.75,0.75,0.75,0.74,0.75,0.06,0.08,1684800000,2.7194,6.47,1.072822,37.5,3000,3000,7253,600,600,0.55,0.75,0,0,450000000,0.7,1.46,0.04076671,0.9122,1.10855,0.016,0.021333335,HKD,2156295936,0.00105,181770000,600000000,0.73038,0.03692,4.103,0.18279307,1672444800,1703980800,1688083200,-0.895,11647000,0.02,0.195,7.971,HKG,EQUITY,1771.HK,1771.HK,SUNFONDA GP,Sunfonda Group Holdings Limited,1413423000,Asia/Hong_Kong,HKT,28800000,0.75,none,703291008,1.172,270503488,2409586944,0.364,1.135,11038418944,97.881,18.397,0.01059,0.00471,715734000,-0.895,0.022,0.051230002,0.024500001,0.00942,CNY,
