,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Mr. Jeffrey S. Olson', 'age': 54, 'title': 'Chairman & CEO', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 2677491, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
1,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Mr. Mark J. Langer CPA', 'age': 55, 'title': 'Exec. VP & CFO', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1301506, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
2,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Mr. Robert C. Milton III', 'age': 50, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 856873, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
3,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Mr. Jeffrey S. Mooallem', 'age': 53, 'title': 'Exec. VP & COO', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
4,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Ms. Andrea R. Drazin', 'title': 'Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
5,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Ms. Cecilia  Li', 'title': 'Sr. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
6,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Mr. Etan  Bluman', 'title': 'Sr. VP of Fin. & IR', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
7,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Ms. Judith  Knop', 'title': 'Sr. VP of Devel. & Construction', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
8,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Mr. Scott  Auster', 'title': 'Exec. VP & Head of Leasing', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
9,888 Seventh Avenue,6th Floor,New York,NY,10019-0601,United States,(212) 956-2556,https://www.uedge.com,REIT—Retail,Real Estate,"Urban Edge Properties is a NYSE listed real estate investment trust focused on owning, managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the Washington, D.C. to Boston corridor. Urban Edge owns 76 properties totaling 17.2 million square feet of gross leasable area.",115,"{'maxAge': 1, 'name': 'Mr. Paul  Schiffer', 'title': 'Sr. VP of Leasing', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,1,3,2,1693526400,1672444800,86400,2,16.82,16.77,16.65,16.805,16.82,16.77,16.65,16.805,0.64,0.0383,1702512000,4.9231,4.18,1.599585,128.46155,41.75,2270482,2270482,1047696,1162820,1162820,16.4,16.7,1400,1800,2047269760,12.91,17.68,5.138871,16.509,15.1867,0.64,0.03804994,USD,3712724480,0.04067,116524379,117640000,4876752,5093913,1690761600,1693440000,0.041500002,0.03312,1.04087,4.7,0.0657,7.92,2.1085858,1672444800,1703980800,1688083200,-0.117,16195000,0.13,0.4,19.56,9.319,17.391,NYQ,EQUITY,UE,UE,Urban Edge Properties,Urban Edge Properties,1421418600,America/New_York,EDT,-14400000,16.7,25.0,14.0,19.75,20.0,2.0,buy,4,48930000,0.416,213480992,1742307968,2.919,4.227,398388992,176.615,3.393,0.02497,0.01603,249280000,135746496,147091008,-0.118,0.012,0.63992,0.53586,0.29451,USD,
