,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Mr. James M. Taylor Jr.', 'age': 55, 'title': 'CEO, Pres & Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 3563732, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
1,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Ms. Angela M. Aman', 'age': 43, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 1505389, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
2,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Mr. Mark T. Horgan', 'age': 46, 'title': 'Exec. VP & Chief Investment Officer', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 1429604, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
3,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Mr. Steven F. Siegel', 'age': 62, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 1069903, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
4,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Mr. Brian T. Finnegan', 'age': 41, 'title': 'Exec. VP & Chief Revenue Officer', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 1440295, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
5,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Mr. Haig B. Buchakjian', 'title': 'Exec. VP of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
6,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Mr. Steven T. Gallagher', 'age': 40, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
7,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Ms. Stacy  Slater', 'title': 'Sr. VP of Investor Relations & Capital Markets', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
8,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Ms. Shea  Taylor', 'age': 49, 'title': 'Exec. VP & Chief Talent Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
9,450 Lexington Avenue,13th Floor,New York,NY,10017-3956,United States,212 869 3000,212 869 3989,https://www.brixmor.com,REIT—Retail,Real Estate,"Brixmor (NYSE: BRX) is a real estate investment trust (REIT) that owns and operates a high-quality, national portfolio of open-air shopping centers. Its 365 retail centers comprise approximately 65 million square feet of prime retail space in established trade areas. The Company strives to own and operate shopping centers that reflect Brixmor's vision ""to be the center of the communities we serve"" and are home to a diverse mix of thriving national, regional and local retailers. Brixmor is a proud real estate partner to over 5,000 retailers including The TJX Companies, The Kroger Co., Publix Super Markets and Ross Stores.",500,"{'maxAge': 1, 'name': 'Mr. David  Gerstenhaber', 'title': 'Sr. VP of National Accounts', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,1,1,1693526400,1672444800,86400,2,22.99,22.79,22.77,23.015,22.99,22.79,22.77,23.015,1.04,0.0454,1696204800,0.8718,5.17,1.558091,19.57265,26.022726,3492731,3492731,2098269,2694790,2694790,22.54,23.71,800,1400,6883579392,17.62,24.27,5.5757756,22.304,21.86525,1.02,0.044367116,USD,11809077248,0.288,298257235,300592992,7309288,6613662,1690761600,1693440000,0.024300002,0.00641,0.99741,3.68,0.033800002,9.568,2.3933947,1672444800,1703980800,1688083200,-0.357,354596000,1.17,0.88,-2.8,3:1,1288828800,9.565,15.014,NYQ,EQUITY,BRX,BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,1383139800,America/New_York,EDT,-14400000,22.9,30.0,22.0,25.5,25.0,2.2,buy,17,25343000,0.084,786520000,4950843904,0.693,0.696,1234551040,172.133,4.105,0.03328,0.12521,906283000,583995392,587206976,-0.356,0.012,0.74197,0.63708997,0.36196,USD,
