,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Level Two,"111 Harrington Street, Suite 212",The Rocks,NSW,2000,Australia,02 9247 9315,https://www.londoncity.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"London City Equities Limited is a publicly owned investment manager. The firm invests in the public equity markets of Australia. London City Equities Limited was founded in 1986 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Peter E. J. Murray B.A., F.C.A., BA, FCA, SA Finsia', 'title': 'Chairman & COO', 'fiscalYear': 2022, 'totalPay': 33000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,0.029000001,1696291200,2.5,0.01539,50.0,5,5,940,0,0,0.0,0.0,15522450,0.48,0.605,12.307254,0.4936,0.543975,0.015,0.03,AUD,15229103,0.13454,1059563,31044900,0.96002,0.0,31044900,0.563,0.88809943,1688083200,1719705600,1688083200,169687,0.01,1:1,951696000,12.075,-0.009900987,0.14113986,0.0145,1696204800,ASX,EQUITY,LCE.AX,LCE.AX,LOND CITY FPO,London City Equities Limited,973206000,Australia/Sydney,AEST,0c61cd7f-dba1-311e-9b31-02ad8ccb838f,finmb_9454155,36000000,0.5,none,293361,0.009,0,1.623,1.623,1261244,0.041,0.00505,0.00928,722982,113665,-48004,-0.702,0.57323,0.0,0.13954,AUD,
1,Level Two,"111 Harrington Street, Suite 212",The Rocks,NSW,2000,Australia,02 9247 9315,https://www.londoncity.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"London City Equities Limited is a publicly owned investment manager. The firm invests in the public equity markets of Australia. London City Equities Limited was founded in 1986 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Louis J. Joseph B.Com., BComm', 'title': 'Company Sec. & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,0.029000001,1696291200,2.5,0.01539,50.0,5,5,940,0,0,0.0,0.0,15522450,0.48,0.605,12.307254,0.4936,0.543975,0.015,0.03,AUD,15229103,0.13454,1059563,31044900,0.96002,0.0,31044900,0.563,0.88809943,1688083200,1719705600,1688083200,169687,0.01,1:1,951696000,12.075,-0.009900987,0.14113986,0.0145,1696204800,ASX,EQUITY,LCE.AX,LCE.AX,LOND CITY FPO,London City Equities Limited,973206000,Australia/Sydney,AEST,0c61cd7f-dba1-311e-9b31-02ad8ccb838f,finmb_9454155,36000000,0.5,none,293361,0.009,0,1.623,1.623,1261244,0.041,0.00505,0.00928,722982,113665,-48004,-0.702,0.57323,0.0,0.13954,AUD,
