,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,totalDebt,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,23 St. Andrew Square,Edinburgh,EH2 1BB,United Kingdom,+44 0131 473 2200,+44 0131 473 2222,https://www.scottishoriental.com/uk/SOSCOT/Home/,Asset Management,Financial Services,"The Scottish Oriental Smaller Companies Trust plc is a closed-ended equity mutual fund launched and managed by First Sentier Investors (UK) Funds Limited. It is co-managed by First State Investment Management (UK) Limited. The fund invests in the public equity markets of Asia, excluding Japan and Australasia. It seeks to invest in stocks of companies operating across diversified sectors. The fund primarily invests in stocks of small-cap companies having market capitalizations below $1.5 billion. It benchmarks the performance of its portfolio against the MSCI AC Asia (ex Japan) Index. The Scottish Oriental Smaller Companies Trust plc was formed on March 29, 1995 and is domiciled in the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Angus J. Tulloch', 'title': 'Head of Asia Pacific (Ex-Japan) Equities and Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,1305.0,1310.0,1305.0,1320.0,1305.0,1310.0,1305.0,1320.0,0.13,0.01,1669852800,0.0,1.15,0.374624,735.9551,21014,21014,22374,64434,64434,1305.0,1315.0,0,0,319114688,1080.0,1320.0,5.7660213,1257.25,1213.475,0.13,9.961685e-05,GBp,336299424,0.83962,24359900,0.087799996,0.77393997,13.898,94.25817,1661904000,1693440000,1677542400,46468000,1.78,6.077,LSE,EQUITY,SST.L,SST.L,SCOTTISH ORIENTAL SMALLER COMPA,The Scottish Oriental Smaller Companies Trust plc,793958400,Europe/London,BST,3600000,1310.0,2.0,buy,13218000,0.535,29827000,55344000,8.694,2.202,0.0868,0.141,35691000,5175000,1.0,0.0,0.90678,GBP,
1,23 St. Andrew Square,Edinburgh,EH2 1BB,United Kingdom,+44 0131 473 2200,+44 0131 473 2222,https://www.scottishoriental.com/uk/SOSCOT/Home/,Asset Management,Financial Services,"The Scottish Oriental Smaller Companies Trust plc is a closed-ended equity mutual fund launched and managed by First Sentier Investors (UK) Funds Limited. It is co-managed by First State Investment Management (UK) Limited. The fund invests in the public equity markets of Asia, excluding Japan and Australasia. It seeks to invest in stocks of companies operating across diversified sectors. The fund primarily invests in stocks of small-cap companies having market capitalizations below $1.5 billion. It benchmarks the performance of its portfolio against the MSCI AC Asia (ex Japan) Index. The Scottish Oriental Smaller Companies Trust plc was formed on March 29, 1995 and is domiciled in the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Vinay  Agarwal', 'title': 'Interim lead portfolio manager', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,1305.0,1310.0,1305.0,1320.0,1305.0,1310.0,1305.0,1320.0,0.13,0.01,1669852800,0.0,1.15,0.374624,735.9551,21014,21014,22374,64434,64434,1305.0,1315.0,0,0,319114688,1080.0,1320.0,5.7660213,1257.25,1213.475,0.13,9.961685e-05,GBp,336299424,0.83962,24359900,0.087799996,0.77393997,13.898,94.25817,1661904000,1693440000,1677542400,46468000,1.78,6.077,LSE,EQUITY,SST.L,SST.L,SCOTTISH ORIENTAL SMALLER COMPA,The Scottish Oriental Smaller Companies Trust plc,793958400,Europe/London,BST,3600000,1310.0,2.0,buy,13218000,0.535,29827000,55344000,8.694,2.202,0.0868,0.141,35691000,5175000,1.0,0.0,0.90678,GBP,
