,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Mr. Robert M. Lynch', 'age': 45, 'title': 'Pres, CEO & Director', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1035015, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
1,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Ms. Caroline Miller Oyler', 'age': 56, 'title': 'Chief Legal & Risk Officer and Corp. Sec.', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 482873, 'exercisedValue': 0, 'unexercisedValue': 926935}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
2,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Ms. Amanda M. Clark', 'age': 42, 'title': 'Chief International & Devel. Officer', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 479231, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
3,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Mr. Ravi  Thanawala', 'age': 38, 'title': 'CFO & Principal Accounting Officer', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
4,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Mr. Justin  Falciola', 'title': 'Chief Insights and Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
5,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Stacy  Frole', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
6,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Mr. Mark  Shambura', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
7,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Mr. Elias  Reyna', 'title': 'Chief People & Diversity Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
8,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Ms. Madeline  Chadwick', 'title': 'Chief Corp. Affairs Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
9,2002 Papa John’s Boulevard,Louisville,KY,40299-2367,United States,502 261 7272,https://www.papajohns.com,Restaurants,Consumer Cyclical,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally. It operates through four segments: Domestic Company-Owned Restaurants, North America Commissaries, North America Franchising, and International Operations. The company also operates dine-in and delivery restaurants under the Papa John's trademark internationally. The company was founded in 1984 and is based in Louisville, Kentucky.",12000,"{'maxAge': 1, 'name': 'Mr. Shane  Hutchins', 'title': 'Chief Supply Chain Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,72.0,73.0,72.5,73.0,72.0,73.0,72.5,73.0,1.7,0.0235,1691712000,0.8,1.5,1.138312,36.80203,21.137026,2,2,0,0,0,72.0,73.0,2373425152,63.5,90.0,1.1419895,71.42,73.395,1.68,0.023333333,EUR,3351158528,0.03464,32326669,32736900,0.0156,1.11303,-14.85,1671926400,1703462400,1687651200,-0.301,71813000,1.97,3.43,2.8,2:1,1388361600,1.612,16.888,FRA,EQUITY,PP1.F,PP1.F,"PAPA JOHN'S INTL  DL-,01","Papa John's International, Inc.",1305525600,Europe/Berlin,CEST,7200000,72.5,140.0,110.0,128.5,130.0,1.7,buy,16,43772000,1.337,198434000,1004924992,0.472,0.815,2078324992,60.612,0.107,629349000,74646496,165958000,-0.229,-0.016,0.30497998,0.09548,0.07043,USD,1.9024
