,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Mr. Hamid R. Moghadam', 'age': 65, 'title': 'Co-Founder, Chairman & CEO', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 1835001, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
1,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Mr. Timothy D. Arndt', 'age': 49, 'title': 'CFO, MD of Treasury & Financial Planning and Treasurer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 2894734, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
2,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Mr. Gary E. Anderson', 'age': 56, 'title': 'Chief Operating Officer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 4894601, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
3,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Mr. Edward S. Nekritz', 'age': 56, 'title': 'Chief Legal Officer, Gen. Counsel, Sec. & Head of Global Strategic Risk Mgmt. and ESG Dept.', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 4623307, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
4,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Mr. Thomas S. Olinger', 'age': 55, 'title': 'Advisor', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 3133545, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
5,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Mr. Daniel Stephen Letter', 'title': 'Pres', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
6,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Ms. Lori A. Palazzolo CPA', 'age': 58, 'title': 'MD, Chief Accounting Officer & Sr. VP', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
7,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Mr. Sineesh  Keshav', 'title': 'Chief Technical Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
8,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Mr. Charles E. Sullivan', 'age': 64, 'title': 'Chief Admin. Officer', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
9,"Pier 1, Bay 1",San Francisco,CA,94111,United States,415 394 9000,415 394 9001,https://www.prologis.com,REIT—Industrial,Real Estate,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At June 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment.",2466,"{'maxAge': 1, 'name': 'Ms. Tracy A. Ward', 'title': 'Sr. VP of Investor Relations & Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,10,9,9,1693526400,1672444800,86400,2,2143.0,0.0,2143.0,2143.0,2143.0,0.0,2143.0,2143.0,59.55,0.0278,1694736000,0.8973,2.4,0.991355,33.8975,2,2,88,1,1,2097.0,0.0,100,0,1979836268544,1982.31,2541.29,246.77687,2095.9246,2202.0156,3.32,0.0015492301,MXN,2012745170944,0.40925,921838742,923862016,0.00319,0.95456004,57.803,37.0742,1672444800,1703980800,1688083200,0.989,3277410048,63.22,250.879,350.752,MEX,EQUITY,PLD.MX,PLD.MX,PROLOGIS INC,"Prologis, Inc.",1337257800,America/Mexico_City,CDT,-18000000,2143.0,none,534039008,0.578,5738362880,28766773248,0.331,0.789,8022778880,49.531,9.143,0.02892,0.07153,4775470000,4890878976,4810387968,0.598,0.894,0.76602,0.71526,0.43875,USD,0.5831
