,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Mr. Michael J. Speakman', 'age': 58, 'title': 'CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 678000, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
1,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Mr. David Anthony Burke', 'age': 57, 'title': 'CFO & Exec. Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 456000, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
2,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Dr. Venu  Raju', 'age': 61, 'title': 'Engineering & Operations Director', 'yearBorn': 1961, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
3,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Ms. Katrina  Roche', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
4,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Caroline  Crampton', 'title': 'Group Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
5,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Ms. Kerry  Porritt', 'age': 51, 'title': 'Group Company Sec. & Legal Advisor', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
6,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Katie  Deeble', 'title': 'Head of Communications & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
7,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Mr. Craig  Scott', 'title': 'Group HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
8,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Mr. Peter  Wyton', 'title': 'Pres of AMEA', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
9,2 Kingdom Street,London,W2 6BD,United Kingdom,44 20 7616 7575,https://www.keller.com,Engineering & Construction,Industrials,"Keller Group plc provides specialist geotechnical services in North America, Europe, the Asia-Pacific, the Middle East, and Africa. The company offers ground improvement services, grouting, deep foundations, earth retention, marine, and instrumentation and monitoring services. It also provides solutions, such as bearing capacity improvement, low carbon construction, containment, excavation support, stabilization, marine structures, seepage control, slope stabilization, and monitoring. The company provides its services to the construction sector in commercial, industrial, infrastructure, institutional/public, power, and residential. Keller Group plc was founded in 1860 and is headquartered in London, the United Kingdom.",10000,"{'maxAge': 1, 'name': 'Mr. Eric  Drooff', 'title': 'Pres of North America', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,1,3,1693526400,1672444800,86400,2,767.0,770.0,733.299,781.0,767.0,770.0,733.299,781.0,0.38,0.050100002,1692230400,0.45700002,5.09,1.384384,921.68677,6.2627916,382973,382973,115599,100944,100944,720.0,775.0,0,0,556740992,589.0,887.0,0.1809069,797.74,746.44,0.384,0.0005006519,GBp,890841024,0.01979,71799212,72776600,0.04287,0.96446,6.631,115.36721,1672444800,1703980800,1688083200,0.814,60900000,0.83,122.15,2.72,0.289,4.339,LSE,EQUITY,KLR.L,KLR.L,KELLER GROUP PLC ORD 10P,Keller Group plc,767257200,Europe/London,BST,3600000,765.0,1340.0,1050.0,1171.5,1148.0,1.0,strong_buy,4,100400000,1.38,205300000,432000000,1.299,1.441,3077499904,89.054,42.273,0.04389,0.12347999,302200000,29625000,102800000,0.807,0.1,0.10655,0.06671,0.038310003,GBP,
