,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Via XXV Aprile 5,Pero,MI,20016,Italy,39 02 38 10 51,39 023 538546,https://www.filagroup.it,Business Equipment & Supplies,Industrials,"F.I.L.A. - Fabbrica Italiana Lapis ed Affini S.p.A. produces and markets colouring, designing, modelling, writing, and painting objects worldwide. It provides pencils, crayons, modelling clays, chalks, oil colors, acrylics, watercolors, paints, and paper products for the fine arts, school, and leisure sectors. The company offers its products under the GIOTTO, DAS, LYRA, Canson, Maimeri, Daler-Rowney Lukas, Ticonderoga, Pacon, Strathmore, Princeton, and Arches brands. It sells its products through a distribution network of commercial branches to wholesalers, office/school suppliers, supermarkets, retailers, distributors, promotional, B2B operators, and others. The company was founded in 1920 and is headquartered in Pero, Italy.",11779,"{'maxAge': 1, 'name': 'Dr. Massimo  Candela', 'age': 57, 'title': 'CEO & Exec. Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1994400, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.02,8.01,7.76,8.07,8.02,8.01,7.76,8.07,0.12,0.015,1684713600,0.2857,1.286786,18.92683,9.129412,83056,83056,48216,48491,48491,7.79,7.43,0,0,410021344,6.51,8.55,0.51727265,8.0238,7.51055,0.12,0.014962592,EUR,918714112,0.02727,31161280,42789600,0.27056998,0.34272,8.176,0.94911945,1672444800,1703980800,1688083200,0.122,21619000,0.41,0.85,1.159,7.389,MIL,EQUITY,FILA.MI,FILA.MI,FILA,F.I.L.A. - Fabbrica Italiana Lapis ed Affini S.p.A.,1387353600,Europe/Rome,CEST,7200000,7.76,11.3,10.0,10.6,10.6,1.5,strong_buy,6,69747000,1.371,124327000,563201024,0.89,1.939,792659968,126.166,15.582,0.04615,0.06379,294765000,62043500,107661000,0.456,0.056,0.39224,0.15685001,0.11873999,EUR,
1,Via XXV Aprile 5,Pero,MI,20016,Italy,39 02 38 10 51,39 023 538546,https://www.filagroup.it,Business Equipment & Supplies,Industrials,"F.I.L.A. - Fabbrica Italiana Lapis ed Affini S.p.A. produces and markets colouring, designing, modelling, writing, and painting objects worldwide. It provides pencils, crayons, modelling clays, chalks, oil colors, acrylics, watercolors, paints, and paper products for the fine arts, school, and leisure sectors. The company offers its products under the GIOTTO, DAS, LYRA, Canson, Maimeri, Daler-Rowney Lukas, Ticonderoga, Pacon, Strathmore, Princeton, and Arches brands. It sells its products through a distribution network of commercial branches to wholesalers, office/school suppliers, supermarkets, retailers, distributors, promotional, B2B operators, and others. The company was founded in 1920 and is headquartered in Pero, Italy.",11779,"{'maxAge': 1, 'name': 'Mr. Luca  Pelosin', 'age': 56, 'title': 'COO & Exec. Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 684800, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.02,8.01,7.76,8.07,8.02,8.01,7.76,8.07,0.12,0.015,1684713600,0.2857,1.286786,18.92683,9.129412,83056,83056,48216,48491,48491,7.79,7.43,0,0,410021344,6.51,8.55,0.51727265,8.0238,7.51055,0.12,0.014962592,EUR,918714112,0.02727,31161280,42789600,0.27056998,0.34272,8.176,0.94911945,1672444800,1703980800,1688083200,0.122,21619000,0.41,0.85,1.159,7.389,MIL,EQUITY,FILA.MI,FILA.MI,FILA,F.I.L.A. - Fabbrica Italiana Lapis ed Affini S.p.A.,1387353600,Europe/Rome,CEST,7200000,7.76,11.3,10.0,10.6,10.6,1.5,strong_buy,6,69747000,1.371,124327000,563201024,0.89,1.939,792659968,126.166,15.582,0.04615,0.06379,294765000,62043500,107661000,0.456,0.056,0.39224,0.15685001,0.11873999,EUR,
