,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3021 East 98th Street,Suite 140,Indianapolis,IN,46280,United States,317 204 2020,https://www.medinah-minerals.com,Other Industrial Metals & Mining,Basic Materials,"Medinah Minerals, Inc., through its subsidiaries, explores for and develops mineral properties. It principally holds an interest in the Altos de Lipangue claims covering an area of approximately 10,500 hectares located in Chile. The company was formerly known as Medinah Mining, Inc. and changed its name to Medinah Minerals, Inc. in 2008. Medinah Minerals, Inc. was founded in 1989 and is based in Indianapolis, Indiana.","{'maxAge': 1, 'name': 'Mr. Raul  Del Solar', 'title': 'Pres, CEO, CFO, Sec. & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.001,0.0009,0.0009,0.0009,0.001,0.0009,0.0009,0.0009,1.024896,51260,51260,829488,406190,406190,0.0,0.0,0,0,39538800,0.0009,0.003,188.47835,0.00132,0.00183,0.0,0.0,USD,3648226,-2.71233,1036639437,0,0.0,0.0,0.036,0.025,1451520000,1483142400,1459382400,-568991,-0.0,11:10,1332979200,17.391,PNK,EQUITY,MDMN,MDMN,MEDINAH MINERALS INC,"Medinah Minerals, Inc.",994858200,America/New_York,EDT,-14400000,0.0009,none,83277,0.0,2386991,34.94,41.856,209779,4.971,0.0,-0.00393,-0.0117999995,166969,-842971,-112329,2.346,0.94097,0.0,-1.5046401,USD,
1,3021 East 98th Street,Suite 140,Indianapolis,IN,46280,United States,317 204 2020,https://www.medinah-minerals.com,Other Industrial Metals & Mining,Basic Materials,"Medinah Minerals, Inc., through its subsidiaries, explores for and develops mineral properties. It principally holds an interest in the Altos de Lipangue claims covering an area of approximately 10,500 hectares located in Chile. The company was formerly known as Medinah Mining, Inc. and changed its name to Medinah Minerals, Inc. in 2008. Medinah Minerals, Inc. was founded in 1989 and is based in Indianapolis, Indiana.","{'maxAge': 1, 'name': 'Mr. Italo Volante Gomez', 'title': 'Treasurer & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.001,0.0009,0.0009,0.0009,0.001,0.0009,0.0009,0.0009,1.024896,51260,51260,829488,406190,406190,0.0,0.0,0,0,39538800,0.0009,0.003,188.47835,0.00132,0.00183,0.0,0.0,USD,3648226,-2.71233,1036639437,0,0.0,0.0,0.036,0.025,1451520000,1483142400,1459382400,-568991,-0.0,11:10,1332979200,17.391,PNK,EQUITY,MDMN,MDMN,MEDINAH MINERALS INC,"Medinah Minerals, Inc.",994858200,America/New_York,EDT,-14400000,0.0009,none,83277,0.0,2386991,34.94,41.856,209779,4.971,0.0,-0.00393,-0.0117999995,166969,-842971,-112329,2.346,0.94097,0.0,-1.5046401,USD,
