,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8875 Hidden River Parkway,Suite 300,Tampa,FL,33637,United States,813 975 7467,707 540 6220,https://cooltechnologiesinc.com,Industrial Distribution,Industrials,"Cool Technologies, Inc., together with its subsidiaries, develops and commercializes mobile power generation and heat dispersion technologies worldwide. The company's mobile power generation system enables work trucks to generate electric power by running an in-chassis generator. Its heat dispersion technology is based on proprietary composite heat structures and heat pipe architecture for use in various product platforms, such as electric motors, pumps, turbines, bearings, and vehicle components. The company was formerly known as HPEV, Inc. and changed its name to Cool Technologies, Inc. in August 2015. Cool Technologies, Inc. was incorporated in 2002 and is headquartered in Tampa, Florida.",2,"{'maxAge': 1, 'name': 'Mr. Timothy J. Hassett', 'age': 61, 'title': 'Co-Founder, Chairman & CEO', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 210000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0024,0.0035,0.00275,0.0035,0.0024,0.0035,0.00275,0.0035,0.0,-1.390733,126000,126000,3192786,344771,344771,0.0,0.0,0,0,2302773,0.001,0.02,0.0019348,0.0058366,0.0,0.0,USD,5786390,0.0,819743581,837372032,0.017690001,0.000120000004,-0.01,1672444800,1703980800,1688083200,-1584227,-0.0,6:1,1286841600,-5.233,PNK,EQUITY,WARM,WARM,COOL TECHNOLOGIES INC,"Cool Technologies, Inc.",1284643800,America/New_York,EDT,-14400000,0.00275,none,142,0.0,-1105778,3535142,0.0,0.068,-0.69901,65209,-227431,0.0,0.0,0.0,USD,
1,8875 Hidden River Parkway,Suite 300,Tampa,FL,33637,United States,813 975 7467,707 540 6220,https://cooltechnologiesinc.com,Industrial Distribution,Industrials,"Cool Technologies, Inc., together with its subsidiaries, develops and commercializes mobile power generation and heat dispersion technologies worldwide. The company's mobile power generation system enables work trucks to generate electric power by running an in-chassis generator. Its heat dispersion technology is based on proprietary composite heat structures and heat pipe architecture for use in various product platforms, such as electric motors, pumps, turbines, bearings, and vehicle components. The company was formerly known as HPEV, Inc. and changed its name to Cool Technologies, Inc. in August 2015. Cool Technologies, Inc. was incorporated in 2002 and is headquartered in Tampa, Florida.",2,"{'maxAge': 1, 'name': 'Mr. Judson William Bibb III', 'age': 65, 'title': 'VP, Sec. & Interim CFO and Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 120000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0024,0.0035,0.00275,0.0035,0.0024,0.0035,0.00275,0.0035,0.0,-1.390733,126000,126000,3192786,344771,344771,0.0,0.0,0,0,2302773,0.001,0.02,0.0019348,0.0058366,0.0,0.0,USD,5786390,0.0,819743581,837372032,0.017690001,0.000120000004,-0.01,1672444800,1703980800,1688083200,-1584227,-0.0,6:1,1286841600,-5.233,PNK,EQUITY,WARM,WARM,COOL TECHNOLOGIES INC,"Cool Technologies, Inc.",1284643800,America/New_York,EDT,-14400000,0.00275,none,142,0.0,-1105778,3535142,0.0,0.068,-0.69901,65209,-227431,0.0,0.0,0.0,USD,
