,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,822 Hays Circle,Longmont,CO,80504,United States,720 810 4228,https://sprouttinyhomes.com,Residential Construction,Consumer Cyclical,"Sprout Tiny Homes, Inc. designs, develops, and manufactures tiny homes. It manufactures tiny homes on wheels and homes on foundations. The company was formerly known as RG America, Inc. and changed its name to Sprout Tiny Homes, Inc. in April 2015. Sprout Tiny Homes, Inc. was founded in 1998 and is headquartered in Pueblo, Colorado.",36,"{'maxAge': 1, 'name': 'Mr. Rod  Stambaugh', 'age': 62, 'title': 'Chairman & Pres', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.0,-1.001728,34,34,10674,7916,7916,0.0,0.0,0,0,5096160,0.0156,0.0998,0.24936752,0.0411356,0.040502,0.0,0.0,USD,993481,-0.58119,99924704,-17.138,1167523200,1199059200,1175299200,-9856044,-0.01,1:150,1429574400,0.049,-0.15,PNK,EQUITY,STHI,STHI,SPROUT TINY HOMES DE INC,"Sprout Tiny Homes, Inc.",960816600,America/New_York,EDT,-14400000,0.051,none,699219,3.585,-6627840,1682755,0.041,0.79,20436342,94.578,-0.21802,-9.31897,4475171,10444680,-3434341,0.276,0.22288999,-0.32432,-0.33542,USD,
1,822 Hays Circle,Longmont,CO,80504,United States,720 810 4228,https://sprouttinyhomes.com,Residential Construction,Consumer Cyclical,"Sprout Tiny Homes, Inc. designs, develops, and manufactures tiny homes. It manufactures tiny homes on wheels and homes on foundations. The company was formerly known as RG America, Inc. and changed its name to Sprout Tiny Homes, Inc. in April 2015. Sprout Tiny Homes, Inc. was founded in 1998 and is headquartered in Pueblo, Colorado.",36,"{'maxAge': 1, 'name': 'Mr. Joseph  Johnson', 'title': 'Interim Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.0,-1.001728,34,34,10674,7916,7916,0.0,0.0,0,0,5096160,0.0156,0.0998,0.24936752,0.0411356,0.040502,0.0,0.0,USD,993481,-0.58119,99924704,-17.138,1167523200,1199059200,1175299200,-9856044,-0.01,1:150,1429574400,0.049,-0.15,PNK,EQUITY,STHI,STHI,SPROUT TINY HOMES DE INC,"Sprout Tiny Homes, Inc.",960816600,America/New_York,EDT,-14400000,0.051,none,699219,3.585,-6627840,1682755,0.041,0.79,20436342,94.578,-0.21802,-9.31897,4475171,10444680,-3434341,0.276,0.22288999,-0.32432,-0.33542,USD,
