,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Mr. Andreas N. Shiamishis', 'age': 56, 'title': 'CEO & Exec. Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1242168, 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
1,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Mr. Georgios  Alexopoulos', 'title': 'Deputy Chief Exec. Officer & Exec. Director', 'fiscalYear': 2022, 'totalPay': 774527, 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
2,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Mr. Vasileios G. Tsaitas', 'age': 45, 'title': 'Chief Financial Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
3,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Stefanos I. Papadimitriou', 'title': 'Accounting Director', 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
4,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Mr. N.  Skandalis', 'title': 'Chief Technical Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
5,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Mr. Leonidas  Kovaios', 'title': 'Gen. Mang. & Group Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
6,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Mr. Alexandros  Tzadimas', 'title': 'Gen. Mang. of Group HR & Admin. Services', 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
7,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Mr. Nikos  Katsenos C.F.A.', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
8,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Mr. Ioannis  Apsouris', 'title': 'Gen. Mang. of Group Legal Services', 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
9,8A Chimarras Street,Marousi,151 25,Greece,30 210 63 02 000,30 210 63 02 511,https://www.helpe.gr,Oil & Gas Integrated,Energy,"HELLENiQ ENERGY Holdings S.A., together with its subsidiaries, operates in the energy sector primarily in Greece, the South-eastern Europe, and the East Mediterranean. The company operates through: Refining, Supply and Trading; Marketing; Production and Trading of Petrochemicals; Electricity Generation & Trading and Natural Gas; Exploration and Production of Hydrocarbons; and Electromobility segments. It engages in the refining, supply, and trading of crude oil and petroleum products; marketing of fuels; wholesale trading of oil products; production and marketing of polypropylene, BOPP films, and solvents; trading of imported plastics and chemicals; and production, trading, and supply of power. The company is also involved in the wholesale trading and distribution of natural gas; generation of electricity through renewable resources; exploration and production of hydrocarbons; and provision of treasury, consulting, and engineering services, as well as IT services. In addition, it engages in the owning of vessels; leasing of other commercial properties, such as highway service stations; operation of petrol stations; production of lubricants; logistics & distribution of LPG; real estate activities; and operation of fuel storage facilities and various underground crude oil pipelines. The company was formerly known as Hellenic Petroleum Holdings Societe Anonyme and changed its name to HELLENiQ ENERGY Holdings S.A. in September 2022. HELLENiQ ENERGY Holdings S.A. was founded in 1998 and is based in Marousi, Greece.",3654,"{'maxAge': 1, 'name': 'Mr. Konstantinos  Panas', 'title': 'Gen. Mang. of Oil Supply & Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",10,6,9,6,9,1693526400,1672444800,86400,2,7.48,7.48,7.48,7.61,7.48,7.48,7.48,7.61,1.15,0.1537,1687910400,1.9167,7.52,0.781156,12.666666,7.3076925,182619,182619,84794,90503,90503,0.0,7.6,50700,14000,2322825984,6.03,8.68,0.16805132,7.953,7.7316,0.75,0.10026738,EUR,4076454912,0.013200001,53180522,305635008,0.80947,0.02406,8.722,0.87135977,1672444800,1703980800,1688083200,-0.987,182392000,0.6,1.04,-0.32,0.295,5.324,ATH,EQUITY,ELPE.AT,ELPE.AT,HELLENiQ ENERGY Hold.Soc.Anon.,HELLENiQ ENERGY Holdings S.A.,899191800,Europe/Athens,EEST,10800000,7.6,9.5,6.0,8.3,8.6,2.8,hold,6,737382016,2.413,765723008,2499620096,0.514,1.042,13822123008,91.543,45.224,0.037609998,0.06621,1950387000,906129024,923726976,-0.987,-0.251,0.08103,0.0554,0.036760002,EUR,
