,address1,city,zip,country,phone,fax,website,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Mr. Erich  Harsch', 'age': 61, 'title': 'Chairman of Management Board & CEO', 'yearBorn': 1961, 'fiscalYear': 2021, 'totalPay': 1634000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
1,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Ms. Karin  Dohm', 'age': 50, 'title': 'CFO & Member of Management Board', 'yearBorn': 1972, 'fiscalYear': 2021, 'totalPay': 569000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
2,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Ms. Susanne  Jäger', 'age': 57, 'title': 'Member of Management Board', 'yearBorn': 1965, 'fiscalYear': 2021, 'totalPay': 1092000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
3,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Mr. Ingo  Leiner', 'title': 'Member of Management Board', 'fiscalYear': 2021, 'totalPay': 1089000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
4,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Mr. Karsten  Kühn', 'age': 54, 'title': 'Marketing, Mark Research, Int Comm, PR, Org Dev, HR & Labor Director and Member of Management Board', 'yearBorn': 1968, 'fiscalYear': 2021, 'totalPay': 1095000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
5,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Dr. Andreas  Schobert', 'age': 49, 'title': 'CTO & Member of Management Board', 'yearBorn': 1973, 'fiscalYear': 2021, 'totalPay': 1081000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
6,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Mr. Christian  Garrecht', 'age': 52, 'title': 'Optv Head of Workplace Safety & Fire Prevention and Employee Representative Supervisory Board Member', 'yearBorn': 1970, 'fiscalYear': 2021, 'totalPay': 26000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
7,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Jan  Hornbach', 'title': 'Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
8,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Nils  Hornbach', 'title': 'Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
9,Hornbachstrasse 11,Bornheim,76879,Germany,49 63 48 60 00,49 63 48 60 40 00,https://www.hornbach.com,"HORNBACH Baumarkt AG operates as a do-it-yourself (DIY) retail company in Germany, Austria, the Czech Republic, Luxembourg, the Netherlands, Romania, Slovakia, Sweden, and Switzerland. It operates through Retail and Real Estate segments. The company offers various products in the hardware / electrical, paint / wallpaper / flooring, construction materials / timber / prefabricated components, sanitary / tiles, and garden hardware/plants divisions. It also owns and rents retail properties and logistics center. The company was founded in 1877 and is based in Bornheim, Germany. HORNBACH Baumarkt AG is a subsidiary of Hornbach Holding AG & Co. KGaA.",23114,"{'maxAge': 1, 'name': 'Christa  Theurer', 'title': 'Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,48.5,47.55,47.5,48.7,48.5,47.55,47.5,48.7,8.164983,23.77451,2570,2570,619,906,906,0.0,0.0,16900,16600,1542387328,33.2,48.7,0.26396948,47.602,39.47675,0.9,0.018556701,EUR,3137933312,0.018509999,2907142,31801800,0.90846,0.025,48.53,0.99938184,1677542400,1709078400,1646006400,108184000,5.94,2.04,2:1,1311897600,0.537,11.105,FRA,EQUITY,HBM.F,HBM.F,HORNBACH BAUMARKT AG O.N.,HORNBACH Baumarkt AG,946882800,Europe/Berlin,CEST,7200000,48.5,30.0,18.5,24.25,24.25,none,2,290268992,9.126,282580000,1885571968,0.409,1.476,5843052032,131.213,183.704,0.02755,0.07259,33238500,449297984,0.245,0.33980998,0.04836,0.03227,EUR,
