,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Mr. Glade M. Knight', 'age': 78, 'title': 'Exec. Chairman', 'yearBorn': 1944, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
1,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Mr. Justin G. Knight', 'age': 49, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 2602734, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
2,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Ms. Elizabeth S. Perkins', 'age': 39, 'title': 'Sr. VP & CFO', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 1217788, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
3,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Ms. Karen Catherine Gallagher', 'age': 44, 'title': 'Sr. VP & COO', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 1217999, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
4,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Mr. Nelson G. Knight', 'age': 40, 'title': 'Pres of Real Estate & Investments', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 1274088, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
5,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Ms. Rachel S. Labrecque', 'age': 43, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 933544, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
6,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Ms. Kristian M. Gathright CPA', 'age': 49, 'title': 'Exec. Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 69167, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
7,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Ms. Kelly Campbell Clarke', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
8,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Mr. Matthew P. Rash', 'age': 43, 'title': 'Sr. VP, Chief Legal Officer & Sec.', 'yearBorn': 1979, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
9,814 East Main Street,Richmond,VA,23219-3306,United States,804 344 8121,804 344 8129,https://www.applehospitalityreit.com,REIT—Hotel & Motel,REIT—Hotel & Motel,Real Estate,Real Estate,"Apple Hospitality REIT, Inc. (NYSE: APLE) is a publicly traded real estate investment trust (REIT) that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 220 hotels with more than 28,900 guest rooms located in 87 markets throughout 37 states as well as one property leased to third parties. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 97 Marriott-branded hotels, 119 Hilton-branded hotels and four Hyatt-branded hotels.",63,"{'maxAge': 1, 'name': 'Ms. Jeanette A. Clarke', 'age': 40, 'title': 'Sr. VP & Chief Capital Investment Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,2,2,1693526400,1672444800,86400,2,15.87,15.82,15.79,16.36,15.87,15.82,15.79,16.36,0.96,0.060500003,1693353600,1.3,4.86,1.188105,23.128572,18.609196,35171194,35171194,2354241,7598210,7598210,16.26,16.61,3000,3200,3704256000,13.66,18.22,2.820453,15.2378,15.6955,0.88,0.055450536,USD,5100047360,0.12157,212961619,228799008,4379284,4687948,1690761600,1693440000,0.0191,0.06917,0.83875,3.25,0.0242,228799008,13.846,1.1692908,1672444800,1703980800,1688083200,-0.001,159670000,0.7,0.87,3.883,11.781,0.019521356,0.14113986,0.08,1693353600,NYQ,EQUITY,APLE,APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",1431955800,America/New_York,EDT,2762e768-d9c0-35f2-9e9f-ac4770a3616a,finmb_38985277,-14400000,16.19,20.0,17.0,18.0,18.0,1.9,buy,7,42419000,0.185,432891008,1511425024,1.251,1.616,1313355008,47.708,5.734,0.032679997,0.04998,559785000,324996512,386800992,-0.001,0.071,0.45077,0.32961,0.19002001,USD,
