,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Clarendon House,2 Church Street,Hamilton,HM 11,Bermuda,https://www.oceanwilsons.bm,Marine Shipping,Industrials,"Ocean Wilsons Holdings Limited, an investment holding company, offers maritime and logistics services in Brazil. The company operates through two segments, Maritime Services and Investments. The Maritime Services segment provides towage, ship agency, port terminals, offshore, logistics, and shipyard services. The Investments segment holds a portfolio of international investments. The company is based in Hamilton, Bermuda.",3296,"{'maxAge': 1, 'name': 'Ms. Leslie J. Rans CPA, CPA', 'title': 'Chief Operating and Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,922.0,920.0,920.0,958.0,922.0,920.0,920.0,958.0,0.56,0.0602,1684368000,0.5313,5.19,0.844594,904.76196,805.0848,9868,9868,11175,12915,12915,920.0,958.0,0,0,356091328,795.0,1047.8,0.77615315,988.12,930.8675,0.7,0.00075921905,GBp,746251264,0.101330005,26603261,35363000,0.25278,0.42887002,15.983,59.438152,1672444800,1703980800,1688083200,46490000,1.05,1.18,1.627,4.584,LSE,EQUITY,OCN.L,OCN.L,OCEAN WILSONS (HOLDINGS) LD ORD,Ocean Wilsons Holdings Limited,583743600,Europe/London,BST,3600000,950.0,17.12,17.12,17.12,17.12,1.0,strong_buy,1,332043008,9.39,162795008,540747008,2.788,2.994,458790016,69.876,12.974,0.049200002,0.10615,280821000,56749000,116714000,0.089,0.63469005,0.35483003,0.23990999,USD,
1,Clarendon House,2 Church Street,Hamilton,HM 11,Bermuda,https://www.oceanwilsons.bm,Marine Shipping,Industrials,"Ocean Wilsons Holdings Limited, an investment holding company, offers maritime and logistics services in Brazil. The company operates through two segments, Maritime Services and Investments. The Maritime Services segment provides towage, ship agency, port terminals, offshore, logistics, and shipyard services. The Investments segment holds a portfolio of international investments. The company is based in Hamilton, Bermuda.",3296,"{'maxAge': 1, 'name': 'Mr. Fergus  McAleavey', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,922.0,920.0,920.0,958.0,922.0,920.0,920.0,958.0,0.56,0.0602,1684368000,0.5313,5.19,0.844594,904.76196,805.0848,9868,9868,11175,12915,12915,920.0,958.0,0,0,356091328,795.0,1047.8,0.77615315,988.12,930.8675,0.7,0.00075921905,GBp,746251264,0.101330005,26603261,35363000,0.25278,0.42887002,15.983,59.438152,1672444800,1703980800,1688083200,46490000,1.05,1.18,1.627,4.584,LSE,EQUITY,OCN.L,OCN.L,OCEAN WILSONS (HOLDINGS) LD ORD,Ocean Wilsons Holdings Limited,583743600,Europe/London,BST,3600000,950.0,17.12,17.12,17.12,17.12,1.0,strong_buy,1,332043008,9.39,162795008,540747008,2.788,2.994,458790016,69.876,12.974,0.049200002,0.10615,280821000,56749000,116714000,0.089,0.63469005,0.35483003,0.23990999,USD,
