,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Mr. Richard A. Agree', 'age': 78, 'title': 'Exec. Chairman', 'yearBorn': 1944, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
1,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Mr. Joel N. Agree', 'age': 43, 'title': 'Pres, CEO & Director', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 3989342, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
2,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Mr. Peter  Coughenour', 'age': 29, 'title': 'CFO, Sec. & Investor Relations Professional', 'yearBorn': 1993, 'fiscalYear': 2022, 'totalPay': 890657, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
3,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Mr. Craig  Erlich', 'age': 54, 'title': 'Chief Operating Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1059830, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
4,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Ms. Danielle M. Spehar', 'age': 54, 'title': 'Gen. Counsel', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 781179, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
5,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Ms. Nicole  Witteveen', 'age': 32, 'title': 'Exec. VP of People & Culture and Chief of Staff', 'yearBorn': 1990, 'fiscalYear': 2022, 'totalPay': 435748, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
6,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Mr. Stephen  Breslin', 'title': 'Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
7,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Mr. Brian Michael Hawthorne', 'title': 'Director of Corp. Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
8,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Mr. Larry  Kaufman', 'title': 'Chief Information Officer & VP of Continuous Improvement', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
9,32301 Woodward Avenue,Royal Oak,MI,48073,United States,248 737 4190,248 737 9110,https://www.agreerealty.com,REIT—Retail,REIT—Retail,Real Estate,Real Estate,"Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industry-leading, omni-channel retail tenants. As of June 30, 2023, the Company owned and operated a portfolio of 2,004 properties, located in 49 states and containing approximately 41.7 million square feet of gross leasable area. The Company's common stock is listed on the New York Stock Exchange under the symbol ""ADC"".",76,"{'maxAge': 1, 'name': 'Mr. Josh  Bratton', 'title': 'Director of Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,2,7,4,1693526400,1672444800,86400,2,60.08,60.03,59.18,60.35,60.08,60.03,59.18,60.35,2.92,0.049000002,1695859200,1.6313001,3.72,0.461964,33.789772,34.77778,1531784,1531784,1052345,723330,723330,59.27,60.39,800,900,5745783296,59.18,75.71,11.893225,63.4376,67.6503,2.871,0.047786284,USD,8045188096,0.33705002,94404978,96268896,2681651,3086695,1690761600,1693440000,0.0279,0.01613,1.05938,3.01,0.0421,96616496,49.983,1.1898046,1672444800,1703980800,1688083200,0.136,155023008,1.76,1.71,17.58,16.653,18.929,-0.18141776,0.14113986,0.243,1693353600,NYQ,EQUITY,ADC,ADC,Agree Realty Corporation,Agree Realty Corporation,766416600,America/New_York,EDT,72c1bba7-9e65-32c0-97bd-14bc00a68491,finmb_333332,-14400000,59.47,78.0,67.0,74.58,75.0,1.6,buy,13,11409000,0.119,425027008,2167174912,0.843,0.886,483113984,43.535,5.499,0.02207,0.036510002,377533000,314745824,395760000,-0.071,0.239,0.87661004,0.87977,0.48633,USD,
