,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,498 Albemarle Road,Suite 507,Charleston,SC,29407,United States,843 410 3931,https://www.charlestownepremiumbeverages.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Charlestowne Premium Beverages Inc. develops, produces, markets, and distributes alcoholic beverages worldwide. It offers vodkas, CBD infused vodkas, and whiskeys under the Papa, Crocodile Tears, and Proprietor's Reserve Whiskey names. The company was formerly known as 1st Prestige Wealth Management and changed its name to Charlestowne Premium Beverages Inc. in February 2020. Charlestowne Premium Beverages Inc. was incorporated in 1996 and is based in Charleston, South Carolina.","{'maxAge': 1, 'name': 'Mr. Bernard J. Walter', 'age': 74, 'title': 'Chairman, Pres, CFO, Principal Accounting Officer, Treasurer & Sec.', 'yearBorn': 1948, 'fiscalYear': 2005, 'exercisedValue': 0, 'unexercisedValue': 0}",1199059200,86400,4,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0,-5.839557,0.020000001,305,305,521,1569,1569,0.0,0.0,0,0,198270,0.0001,0.0406,8.460061,0.000836,0.0012735,0.0,0.0,USD,1288811,26.020859,40463300,-192.726,1170201600,1201737600,1309392000,609825,0.06,1:10000,1406764800,54.993,-0.833,PNK,EQUITY,FPWM,FPWM,CHARLESTOWNE PREM BEVERAGE INC,Charlestowne Premium Beverages Inc.,875799000,America/New_York,EDT,-14400000,0.0012,none,1208,0.075,-1546382,1290000,0.004,0.066,23436,85.534,1.574,-1.63836,-8027,-3850294,-857212,-0.32804,0.0,-67.84507,USD,
1,498 Albemarle Road,Suite 507,Charleston,SC,29407,United States,843 410 3931,https://www.charlestownepremiumbeverages.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Charlestowne Premium Beverages Inc. develops, produces, markets, and distributes alcoholic beverages worldwide. It offers vodkas, CBD infused vodkas, and whiskeys under the Papa, Crocodile Tears, and Proprietor's Reserve Whiskey names. The company was formerly known as 1st Prestige Wealth Management and changed its name to Charlestowne Premium Beverages Inc. in February 2020. Charlestowne Premium Beverages Inc. was incorporated in 1996 and is based in Charleston, South Carolina.","{'maxAge': 1, 'name': 'Mr. Joey  Jung M.A.Sc., P. Eng.', 'age': 50, 'title': 'Chief Technology Officer and VP', 'yearBorn': 1972, 'fiscalYear': 2007, 'totalPay': 60185, 'exercisedValue': 0, 'unexercisedValue': 0}",1199059200,86400,4,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0,-5.839557,0.020000001,305,305,521,1569,1569,0.0,0.0,0,0,198270,0.0001,0.0406,8.460061,0.000836,0.0012735,0.0,0.0,USD,1288811,26.020859,40463300,-192.726,1170201600,1201737600,1309392000,609825,0.06,1:10000,1406764800,54.993,-0.833,PNK,EQUITY,FPWM,FPWM,CHARLESTOWNE PREM BEVERAGE INC,Charlestowne Premium Beverages Inc.,875799000,America/New_York,EDT,-14400000,0.0012,none,1208,0.075,-1546382,1290000,0.004,0.066,23436,85.534,1.574,-1.63836,-8027,-3850294,-857212,-0.32804,0.0,-67.84507,USD,
2,498 Albemarle Road,Suite 507,Charleston,SC,29407,United States,843 410 3931,https://www.charlestownepremiumbeverages.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Charlestowne Premium Beverages Inc. develops, produces, markets, and distributes alcoholic beverages worldwide. It offers vodkas, CBD infused vodkas, and whiskeys under the Papa, Crocodile Tears, and Proprietor's Reserve Whiskey names. The company was formerly known as 1st Prestige Wealth Management and changed its name to Charlestowne Premium Beverages Inc. in February 2020. Charlestowne Premium Beverages Inc. was incorporated in 1996 and is based in Charleston, South Carolina.","{'maxAge': 1, 'name': 'Kara  Guire', 'title': 'Chief Exec. officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1199059200,86400,4,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0,-5.839557,0.020000001,305,305,521,1569,1569,0.0,0.0,0,0,198270,0.0001,0.0406,8.460061,0.000836,0.0012735,0.0,0.0,USD,1288811,26.020859,40463300,-192.726,1170201600,1201737600,1309392000,609825,0.06,1:10000,1406764800,54.993,-0.833,PNK,EQUITY,FPWM,FPWM,CHARLESTOWNE PREM BEVERAGE INC,Charlestowne Premium Beverages Inc.,875799000,America/New_York,EDT,-14400000,0.0012,none,1208,0.075,-1546382,1290000,0.004,0.066,23436,85.534,1.574,-1.63836,-8027,-3850294,-857212,-0.32804,0.0,-67.84507,USD,
