,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Mr. Hiroshi  Ide', 'age': 61, 'title': 'Pres & CEO, GM of Corp. Strategy Headquarters and Representative Director', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 649632, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
1,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Shin  Shimizu', 'title': 'Head of Accounting Group, Fin. & Accounting Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
2,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Nobuhiko  Kubota', 'title': 'Managing Exec. Officer and GM of Technology & Intelligence Integration', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
3,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Yoshikazu  Hamada', 'title': 'Exec. Officer & GM of Legal Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
4,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Kiyoshi  Nihei', 'title': 'Exec. Officer and GM of Global Marketing & Sales Headquarters', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
5,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Mr. Akihiro  Seo', 'age': 59, 'title': 'Managing Exec. Officer, GM of HR Division & Director', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
6,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Mr. Masataka  Ikeyama', 'age': 62, 'title': 'Exec. VP, Sr. Exec. Officer & Representative Director', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
7,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Mr. Takeshi  Kawakami', 'age': 58, 'title': 'Managing Exec. Officer, Pres of Social Infrastructure Bus. Area & Director', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
8,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Yoshinori  Komiya', 'title': 'Managing Exec. Officer & GM of Intelligent Information Management Headquarters', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
9,Toyosu IHI Building,"1-1, Toyosu 3-chome Koto-ku",Tokyo,135-8710,Japan,81 3 6204 7800,81 3 6204 8800,https://www.ihi.co.jp,Specialty Industrial Machinery,Industrials,"IHI Corporation operates in resources, energy, and environment; social infrastructure and offshore facilities; industrial systems and general-purpose machinery; aero engine, space, and defense; and other business areas in Japan and internationally. It provides carbon reduction solutions; gas turbines and engines, and diesel engines for land use, and high-speed ships and other marine vessels; LNG receiving terminals and storage tanks; and equipment for various plants. The company also constructs natural gas liquefaction, oil refining, petrochemicals, LPG, and other process plants; develops and constructs nuclear fuel cycle systems; provides components for boiling and pressurized water reactors; and constructs bridges and steel structures. It offers water gates for rivers and dams; environmental monitoring products; concrete construction materials; 3D laser radars, X-ray inspection systems, monitoring and disaster prevention equipment, oil leak monitors, and vibration control and seismic isolation floor systems; shield tunneling machines and automatic segment assembling systems; transportation systems; LPG/LEG storage tanks; floating LNG/LPG production, storage, and offloading units; and semi-submersible rigs, mega-float, and others. The company also leases and sells real estate properties; develops houses; and provides compressors, cryogenic products, logistics systems, steelmaking equipment, machinery for ships, turbochargers for vehicles, separators, lubricating systems, pulp and paper machinery, materials handling systems, agricultural machinery, parking systems, boilers, and life associated equipment. It offers factory, heat treatment and surface engineering solutions; aero engines; air traffic control systems; and rocket systems and space exploration solutions. The company was formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd and changed its name to IHI Corporation in 2007. IHI Corporation was founded in 1853 and is headquartered in Tokyo, Japan.",28486,"{'maxAge': 1, 'name': 'Kouji  Takeda', 'title': 'Managing Exec. Officer and Pres of Resources, Energy & Environment Bus. Area', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,1,1,5,1693526400,1703980800,86400,2,20.6,19.7,19.7,19.7,20.6,19.7,19.7,19.7,0.67,0.0341,1695859200,0.32700002,1.498498,11.193182,95,95,52,36,36,19.5,20.0,400000,400000,3032972800,19.3,28.6,0.0021865456,22.412,24.011,90.0,4.368932,EUR,503689510912,0.030030001,140131717,151288000,0.05431,0.37295,2918.235,0.006750656,1680220800,1711843200,1688083200,-0.34,41656999936,1.76,1:10,1506470400,0.363,3.345,FRA,EQUITY,IWJ.F,IWJ.F,IHI CORP.,IHI Corporation,946882800,Europe/Berlin,CEST,7200000,19.7,none,113351999488,749.216,150562996224,588708970496,0.553,1.299,1387107057664,126.099,9163.549,0.02585,0.10297,-72480374784,-89000000,-0.342,0.129,0.21,0.10854,0.05747,JPY,
