,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Nick  Grayston', 'title': 'Group Chief Exec. Officer', 'fiscalYear': 2022, 'totalPay': 1470371, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
1,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Jonathan  Oram', 'title': 'Group Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
2,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Edwin  Gear B.Sc, MBA', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
3,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Tanya  Henderson', 'title': 'Group PR Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
4,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Jonathan  Waecker', 'title': 'Chief Customer & Sales Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
5,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Richard  Parker', 'title': 'Chief Human Resource Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
6,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Ms. Tania M. Benyon', 'title': 'Chief Product Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
7,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. David  Benattar', 'title': 'Chief Sustainability Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
8,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Ms. Sarah  Kearney', 'title': 'Chief Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
9,26 The Warehouse Way,Northcote,Auckland,0627,New Zealand,64 9 489 7000,64 9 489 7444,https://www.thewarehousegroup.co.nz,Department Stores,Consumer Cyclical,"The Warehouse Group Limited, together with its subsidiaries, engages in the retail of general merchandise and apparel in New Zealand. The company also sells stationery products, technology and appliance products, and outdoor and sporting equipment. It operates 90 The Warehouse stores, 70 Warehouse Stationery stores, 71 Noel Leeming stores, and 21 Torpedo7 stores, as well as online stores. In addition, it is involved in the provision of property and investment services. The company was founded in 1982 and is based in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Ian  Carter', 'age': 64, 'title': 'Chief Store Operations Officer', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,7,5,5,1693526400,1672444800,86400,4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1649116800,1.0618,0.271021,6.8750005,5,5,0,0,0,384991200,1.1,2.11,0.11398585,1.1,1.54375,0.1,0.09090909,USD,1263044480,0.01843,98401749,346843008,0.71063006,0.02079,1.086,1.0128914,1659225600,1690761600,1674950400,-0.609,62236000,0.16,0.374,7.265,PNK,EQUITY,WHGPF,WHGPF,WAREHOUSE GROUP,The Warehouse Group Limited,1418740200,America/New_York,EDT,-14400000,1.1,none,32774000,0.095,173856992,915142016,0.125,0.897,3377534976,243.454,9.741,0.04176,0.14876,1164382000,-18479750,69602000,-0.612,0.048,0.34261,0.051469997,0.03876,NZD,
