,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Ms. Nompumelelo D. Zikalala', 'age': 43, 'title': 'CEO & Exec. Director', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 797957, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
1,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Bothwell Anesu Mazarura (CA)SA', 'age': 49, 'title': 'CFO & Exec. Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 417189, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
2,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Vijay  Kumar', 'title': 'Chief Operating Officer', 'fiscalYear': 2022, 'totalPay': 348223, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
3,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Glen  Mc Gavigan MEng(Mining), PrSciNat, GDE', 'age': 45, 'title': 'Exec. Head of Technical & Projects', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 294920, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
4,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Timo  Smit', 'age': 53, 'title': 'Exec. Head of Marketing & Seaborne Logistics', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1135032, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
5,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Ms. Simi  Ramgoolam', 'age': 44, 'title': 'Exec. Head of HR', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 157574, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
6,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Samuel  Martin B.Com., C.A.', 'age': 49, 'title': 'Exec. Head of Strategy & Bus. Devel.', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 266092, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
7,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Dr. Pranill  Ramchander M.A., M.Sc., Ph.D.', 'age': 52, 'title': 'Exec. Head of Corp. Affairs', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 249580, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
8,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Ms. Nandi  Sibanyoni', 'age': 41, 'title': 'Exec. Head of SHE', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 210771, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
9,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Ms. Fazila  Patel BA, LLB', 'age': 54, 'title': 'Company Sec.', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 180456, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,22.78,22.78,22.78,22.78,22.78,22.78,22.78,22.78,2.38,0.104399994,1692144000,1.1084,1.141622,10.694836,2,2,0,0,0,7312630784,22.78,29.1,0.10546962,22.78,25.168695,38.9,1.7076383,USD,8003627008,0.18831,53454726,321011008,0.69781,0.2199,144.413,0.15774204,1672444800,1703980800,1688083200,-0.165,13056000000,2.13,0.115,0.232,PNK,EQUITY,KUMBF,KUMBF,KUMBA IRON ORE LTD,Kumba Iron Ore Limited,1366896600,America/New_York,EDT,-14400000,22.78,none,14725999616,45.874,34475999232,966000000,1.851,2.794,69333999616,1.589,216.034,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
