,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Mr. Martin  Nemecek', 'age': 47, 'title': 'CEO, MD & Exec. Director', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
1,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Mr. David  Greenbaum', 'age': 45, 'title': 'Chief Financial Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
2,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Mr. Mathieu  Miklasz', 'title': 'Head of Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
3,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Mr. Wolfgang  Falk', 'title': 'Head of Technical Department & Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
4,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Mr. Martin  Matula', 'age': 42, 'title': 'Group Gen. Counsel', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
5,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Mr. Tomas  Salajka', 'age': 47, 'title': 'Director of Acquisitions, Asset Management & Sales and Exec. Director', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
6,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Ms. Barbora  Vesela', 'title': 'HR & Internal Communication Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
7,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Mr. Zdenek  Havelka', 'title': 'Exec. Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
8,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Mr. Oliver  Schlink', 'age': 52, 'title': 'Exec. Director', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
9,"40, rue de la Vallée",Luxembourg City,2661,Luxembourg,352 26 47 67 58,352 26 47 67 67,https://www.cpipg.com,Real Estate Services,Real Estate,"CPI Property Group operates as a property investor and developer in Central Europe. Its portfolio comprises real estate assets in the Czech and Slovak Republics, including residential, retail, hospitality, and industrial projects. CPI Property Group is headquartered in Luxembourg, Luxembourg.",4774,"{'maxAge': 1, 'name': 'Mr. Moritz  Mayer', 'title': 'Mang. of Capital Markets', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.0,-0.084459,200,200,202,20,20,0.88,0.895,25600,650000,7687686144,0.84,0.95,4.798805,0.8926,0.904825,0.0,0.0,EUR,18881785856,-0.16685,443985503,8637849600,0.9413,0.0,0.765,1.1633987,1672444800,1703980800,1688083200,-343300000,-0.03,11.786,28.867,GER,EQUITY,O5G.DE,O5G.DE,"CPI PROPERTY GRP  EO-,10",CPI Property Group,1150268400,Europe/Berlin,CEST,7200000,0.89,1.0,1.0,1.0,1.0,none,1,1167399936,0.135,654099968,11284400128,1.437,2.026,1602000000,121.24,0.184,0.01617,-0.024719998,152624992,713800000,0.425,0.5221,0.4083,0.37772,EUR,
