,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Deutsche Bank Place,Level 4 126 Phillip Street,Sydney,NSW,2000,Australia,61 8 9200 4473,https://www.jamesonresources.com.au,Coking Coal,Basic Materials,"Jameson Resources Limited engages in the exploration and development of coal projects in Western Canada. The company explores for coking and thermal coal. Its flagship project is the Crown Mountain project comprising ten granted coal licenses covering an area of 5,630 hectares located in the Elk Valley coal field in southeast British Columbia. The company was incorporated in 2007 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Michael John Gray BE (Civil), GAICD, MBA', 'age': 54, 'title': 'MD, CEO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 343202, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.051,0.053,0.051,0.053,0.051,0.053,0.051,0.053,0.0,0.893018,140094,140094,29942,0,0,0.04,0.05,0,0,19967062,0.049,0.155,13536.991,0.05284,0.072745,0.0,0.0,AUD,24575418,0.0,234910575,391511008,0.46027002,0.0664,0.088,0.57954544,1656547200,1688083200,1672444800,-1014841,-0.0,16661.3,-22.062,ASX,EQUITY,JAL.AX,JAL.AX,JAMESON FPO,Jameson Resources Limited,1197846000,Australia/Sydney,AEST,36000000,0.051,none,5089181,0.013,-1113907,0,18.543,18.718,1475,0.0,-0.01663,-0.02553,559,-3393952,-1027183,2.593,1.0,0.0,-757.06104,AUD,
1,Deutsche Bank Place,Level 4 126 Phillip Street,Sydney,NSW,2000,Australia,61 8 9200 4473,https://www.jamesonresources.com.au,Coking Coal,Basic Materials,"Jameson Resources Limited engages in the exploration and development of coal projects in Western Canada. The company explores for coking and thermal coal. Its flagship project is the Crown Mountain project comprising ten granted coal licenses covering an area of 5,630 hectares located in the Elk Valley coal field in southeast British Columbia. The company was incorporated in 2007 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Ms. Lisa Jane Dalton', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.051,0.053,0.051,0.053,0.051,0.053,0.051,0.053,0.0,0.893018,140094,140094,29942,0,0,0.04,0.05,0,0,19967062,0.049,0.155,13536.991,0.05284,0.072745,0.0,0.0,AUD,24575418,0.0,234910575,391511008,0.46027002,0.0664,0.088,0.57954544,1656547200,1688083200,1672444800,-1014841,-0.0,16661.3,-22.062,ASX,EQUITY,JAL.AX,JAL.AX,JAMESON FPO,Jameson Resources Limited,1197846000,Australia/Sydney,AEST,36000000,0.051,none,5089181,0.013,-1113907,0,18.543,18.718,1475,0.0,-0.01663,-0.02553,559,-3393952,-1027183,2.593,1.0,0.0,-757.06104,AUD,
