,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9429 8879,https://www.troyres.com.au,Gold,Basic Materials,"Troy Resources Limited engages in the exploration and production of gold in Australia and South America. It holds interest in the Karouni gold project located in Guyana. The company was incorporated in 1984 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Richard J. Beazley B.E., BE (Hons), FAICD, FAusIMM, M.A.I.C.D., M.B.A', 'age': 58, 'title': 'Interim CEO, MD & Director', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,1347235200,0.0,-0.225225,-0.005,5000,5000,80,0,0,0.0,0.0,0,0,426581,0.0002,0.024,0.011992045,0.0002,0.0002325,0.0,0.0,USD,13805562,-0.76875,408543007,2132909952,0.51429003,0.18431999,-0.036,1625011200,1656547200,1640908800,-27346000,-0.02,-0.04,0.388,-0.812,PNK,EQUITY,TRYRF,TRYRF,TROY RESOURCES LTD,Troy Resources Limited,1397741400,America/New_York,EDT,-14400000,0.0002,none,672000,0.001,-16996000,14315000,0.15,0.225,35572000,0.044,-0.52181,-25141000,260000,-1417000,-0.882,-0.54820997,-0.47779,-0.76199996,AUD,
1,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9429 8879,https://www.troyres.com.au,Gold,Basic Materials,"Troy Resources Limited engages in the exploration and production of gold in Australia and South America. It holds interest in the Karouni gold project located in Guyana. The company was incorporated in 1984 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Andrew  Barclay', 'title': 'Company Sec. & Non-Exec. Director', 'fiscalYear': 2022, 'totalPay': 50909, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,1347235200,0.0,-0.225225,-0.005,5000,5000,80,0,0,0.0,0.0,0,0,426581,0.0002,0.024,0.011992045,0.0002,0.0002325,0.0,0.0,USD,13805562,-0.76875,408543007,2132909952,0.51429003,0.18431999,-0.036,1625011200,1656547200,1640908800,-27346000,-0.02,-0.04,0.388,-0.812,PNK,EQUITY,TRYRF,TRYRF,TROY RESOURCES LTD,Troy Resources Limited,1397741400,America/New_York,EDT,-14400000,0.0002,none,672000,0.001,-16996000,14315000,0.15,0.225,35572000,0.044,-0.52181,-25141000,260000,-1417000,-0.882,-0.54820997,-0.47779,-0.76199996,AUD,
