,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3960 Howard Hughes Parkway,Suite 500,Las Vegas,NV,89109,United States,702 990 3687,https://www.smartmetric.com,Software—Infrastructure,Technology,"SmartMetric, Inc., a development stage company, operates in the technology industry. The company offers SmartMetric biometric cards comprising fingerprint sensor activated payments card and security card with a finger sensor that have a fingerprint reader embedded inside the card. It also offers built-in rechargeable battery for portable biometric identification and card activation. Smartmetric, Inc. was incorporated in 2002 and is headquartered in Las Vegas, Nevada.",1,"{'maxAge': 1, 'name': 'Ms. Chaya Coleena Hendrick', 'age': 66, 'title': 'Founder, Pres, Chairman & CEO', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 190000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0007,0.0008,0.0007,0.0008,0.0007,0.0008,0.0007,0.0008,0.0,-0.934301,1479999,1479999,8599163,2610582,2610582,0.0,0.0,0,0,1150589,0.0005,0.0051,0.000908,0.0012556,0.0,0.0,USD,1577727,0.0,1603540388,1643699968,0.03569,0.0,-0.002,1656547200,1688083200,1680220800,-1208991,-0.0,PNK,EQUITY,SMME,SMME,SMARTMETRIC INC,"SmartMetric, Inc.",1144416600,America/New_York,EDT,-14400000,0.0007,none,35522,0.0,446324,0.013,0.016,-1.42893,-410089,-587088,0.0,0.0,0.0,USD,
1,3960 Howard Hughes Parkway,Suite 500,Las Vegas,NV,89109,United States,702 990 3687,https://www.smartmetric.com,Software—Infrastructure,Technology,"SmartMetric, Inc., a development stage company, operates in the technology industry. The company offers SmartMetric biometric cards comprising fingerprint sensor activated payments card and security card with a finger sensor that have a fingerprint reader embedded inside the card. It also offers built-in rechargeable battery for portable biometric identification and card activation. Smartmetric, Inc. was incorporated in 2002 and is headquartered in Las Vegas, Nevada.",1,"{'maxAge': 1, 'name': 'Mr. Jay M. Needelman CPA, CPA', 'age': 54, 'title': 'CFO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 15000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0007,0.0008,0.0007,0.0008,0.0007,0.0008,0.0007,0.0008,0.0,-0.934301,1479999,1479999,8599163,2610582,2610582,0.0,0.0,0,0,1150589,0.0005,0.0051,0.000908,0.0012556,0.0,0.0,USD,1577727,0.0,1603540388,1643699968,0.03569,0.0,-0.002,1656547200,1688083200,1680220800,-1208991,-0.0,PNK,EQUITY,SMME,SMME,SMARTMETRIC INC,"SmartMetric, Inc.",1144416600,America/New_York,EDT,-14400000,0.0007,none,35522,0.0,446324,0.013,0.016,-1.42893,-410089,-587088,0.0,0.0,0.0,USD,
