,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Levinstein Tower,Menachem Begin 23,Tel Aviv,Israel,972 3 628 5300,972 3 510 0196,https://ybox.co.il,Real Estate—Development,Real Estate,"Ybox Real Estate Ltd., formerly known as Marathon Investments SA., is a real estate investment firm specializing investments in residential projects, commercial and office buildings. The firm prefers to invest in Israel. Earlier, it operated as a a venture capital and private equity firm. Ybox Real Estate Ltd. was founded in 1993 and is based in Ashdod, Israel with additional office in Tel Aviv, Israel.",30,"{'maxAge': 1, 'name': 'Mr. Yehuda  Gorsd', 'age': 41, 'title': 'Chief Exec. Officer', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 953000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,82.2,82.2,81.1,83.9,82.2,82.2,81.1,83.9,1343260800,0.0,811.0,86221,86221,178709,51156,51156,81.1,81.8,245600,693200,21796839424,47.7,121.0,977.39294,83.458,76.7415,0.0,0.0,ILA,983024768,1.10296,77090748,268764992,0.7334,0.0,1.177,68.90399,1672444800,1703980800,1688083200,24597000,0.1,44.08,-56.678,TLV,EQUITY,YBOX.TA,YBOX.TA,YBOX,Ybox Real Estate Ltd.,949390200,Asia/Jerusalem,IDT,10800000,81.1,none,20532000,0.067,-17344000,750051968,0.208,0.648,22301000,206.631,0.086,-0.00953,0.07062,11416000,-110143000,-31796000,0.388,0.25232,-0.77772003,-0.79337,ILS,
1,Levinstein Tower,Menachem Begin 23,Tel Aviv,Israel,972 3 628 5300,972 3 510 0196,https://ybox.co.il,Real Estate—Development,Real Estate,"Ybox Real Estate Ltd., formerly known as Marathon Investments SA., is a real estate investment firm specializing investments in residential projects, commercial and office buildings. The firm prefers to invest in Israel. Earlier, it operated as a a venture capital and private equity firm. Ybox Real Estate Ltd. was founded in 1993 and is based in Ashdod, Israel with additional office in Tel Aviv, Israel.",30,"{'maxAge': 1, 'name': 'Mr. Eldad  Arotchas', 'age': 43, 'title': 'Chief Financial Officer', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 786000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,82.2,82.2,81.1,83.9,82.2,82.2,81.1,83.9,1343260800,0.0,811.0,86221,86221,178709,51156,51156,81.1,81.8,245600,693200,21796839424,47.7,121.0,977.39294,83.458,76.7415,0.0,0.0,ILA,983024768,1.10296,77090748,268764992,0.7334,0.0,1.177,68.90399,1672444800,1703980800,1688083200,24597000,0.1,44.08,-56.678,TLV,EQUITY,YBOX.TA,YBOX.TA,YBOX,Ybox Real Estate Ltd.,949390200,Asia/Jerusalem,IDT,10800000,81.1,none,20532000,0.067,-17344000,750051968,0.208,0.648,22301000,206.631,0.086,-0.00953,0.07062,11416000,-110143000,-31796000,0.388,0.25232,-0.77772003,-0.79337,ILS,
