,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': 'Mr. Thomas J. Nimbley', 'age': 71, 'title': 'Exec. Chairman', 'yearBorn': 1951, 'fiscalYear': 2022, 'totalPay': 6329725, 'exercisedValue': 1007000, 'unexercisedValue': 22157024}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
1,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': 'Mr. Matthew C. Lucey', 'age': 49, 'title': 'Pres, CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 3062854, 'exercisedValue': 822400, 'unexercisedValue': 11132238}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
2,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': 'Ms. Karen Berriman Davis CPA, CPA', 'age': 65, 'title': 'Sr. VP & CFO', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 155000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
3,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': 'Ms. Trecia M. Canty', 'age': 52, 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 2878464, 'exercisedValue': 0, 'unexercisedValue': 5844639}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
4,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': 'Mr. Timothy Paul Davis', 'age': 60, 'title': 'Sr. VP of Supply, Trading & Optimization', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 2889464, 'exercisedValue': 3951085, 'unexercisedValue': 5405709}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
5,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': ""Mr. Thomas L. O'Connor"", 'age': 49, 'title': 'Sr. VP of Commodity Risk & Strategy', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 2878464, 'exercisedValue': 2113165, 'unexercisedValue': 6273009}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
6,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': 'Mr. Colin  Murray', 'title': 'Sr. Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
7,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': 'Ms. Wendy  Ho Tai', 'age': 55, 'title': 'Sr. VP of HR', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
8,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': 'Mr. Steven G. Steach', 'age': 65, 'title': 'Sr. VP of Refining', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
9,One Sylvan Way,Second Floor,Parsippany,NJ,07054,United States,973 455 7500,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products. The company operates in two segments, Refining and Logistics. It produces gasoline, ultra-low-sulfur diesel, heating oil, diesel fuel, jet fuel, lubricants, petrochemicals, and asphalt, as well as unbranded transportation fuels, petrochemical feedstocks, blending components, and other petroleum products from crude oil. The company sells its products in Northeast, Midwest, Gulf Coast, and West Coast of the United States, as well as in other regions of the United States, Canada, and Mexico. It also offers various rail, truck, and marine terminaling services, as well as pipeline transportation and storage services. PBF Energy Inc. was founded in 2008 and is based in Parsippany, New Jersey.",3616,"{'maxAge': 1, 'name': 'Mr. James E. Fedena', 'age': 57, 'title': 'Sr. VP of Logistics, Renewable Fuels & Strategic Assets', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,4,3,1693526400,1672444800,86400,2,54.82,54.34,53.08,54.46,54.82,54.34,53.08,54.46,0.8,0.0148,1692144000,0.0251,1.931535,2.2515671,8.053812,3513176,3513176,2254277,2735740,2735740,54.11,53.88,800,900,6659298816,27.0,55.43,0.15831538,46.823,41.46625,0.6,0.010944911,USD,7520912384,0.07362,109212477,123595000,12562245,10238817,1690761600,1693440000,0.1016,0.11094,0.84647006,5.49,0.1155,48.748,1.1052761,1672444800,1703980800,1688083200,-0.152,3096699904,23.93,6.69,0.179,2.138,NYQ,EQUITY,PBF,PBF,PBF Energy Inc.,PBF Energy Inc.,1355409000,America/New_York,EDT,-14400000,53.88,64.0,36.0,51.6,54.0,2.6,hold,10,1516899968,12.273,3518400000,2240100096,0.667,1.465,42063499264,36.228,334.716,0.1428,0.63323003,5182200000,812049984,3008699904,-0.184,-0.349,0.09934,0.08364,0.076069996,USD,
