,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Mr. Stephen J. R. Smith', 'age': 70, 'title': 'Co-Founder & Exec. Chairman', 'yearBorn': 1952, 'fiscalYear': 2022, 'totalPay': 763792, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
1,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Mr. Jason  Ellis', 'age': 51, 'title': 'CEO, Pres & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1360505, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
2,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Mr. Moray  Tawse', 'age': 65, 'title': 'Co-Founder, Exec. VP, Sec. & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 763962, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
3,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Mr. Robert A. Inglis', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 755881, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
4,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Mr. Jeremy  Wedgbury', 'title': 'Sr. VP of Commercial Mortgages', 'fiscalYear': 2022, 'totalPay': 992440, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
5,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Mr. Scott C. McKenzie', 'title': 'Sr. VP of Residential Mortgages', 'fiscalYear': 2022, 'totalPay': 819244, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
6,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Ms. Hilda  Wong', 'title': 'Sr. VP & Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
7,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Ms. Wendy Kim Burkin', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
8,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Mr. Thomas  Kim', 'title': 'Sr. VP & MD of Capital Markets', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
9,16 York Street,Suite 1900,Toronto,ON,M5J 0E6,Canada,416 593 1900,https://www.firstnational.ca,Mortgage Finance,Financial Services,"First National Financial Corporation, together with its subsidiaries, originates, underwrites, and services commercial and residential mortgages in Canada. The company operates in two segments, Residential and Commercial segments. It offers single-family and multi-unit residential, and commercial mortgages. The company provides its services through mortgage broker distribution channel, as well as online. First National Financial Corporation was founded in 1988 and is headquartered in Toronto, Canada.",1632,"{'maxAge': 1, 'name': 'Mr. Ernie  Stapleton', 'title': 'Pres of Fundamental', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,37.9,37.8,37.3,38.06,37.9,37.8,37.3,38.06,2.4,0.0642,1693353600,0.6989,5.73,1.073915,10.9706745,9.399497,68786,68786,22769,20800,20800,37.31,37.57,2243380480,32.72,41.8,3.3313591,38.2276,38.1456,2.383,0.062875986,CAD,43672326144,0.3085,17119502,59967400,589037,631143,1690761600,1693440000,0.0098,0.71457,0.036310002,19.92,10.978,3.4077246,1672444800,1703980800,1688083200,0.455,204207008,3.41,3.98,0.62,64.852,TOR,EQUITY,FN.TO,FN.TO,FIRST NATIONAL FINANCIAL CORP.,First National Financial Corporation,1216906200,America/Toronto,EDT,-14400000,37.41,44.0,42.0,42.83,43.0,3.0,hold,6,3894797056,64.949,45226348544,8.019,8.224,673412992,5984.553,11.23,0.00465,0.28428,525699000,266784992,0.457,0.028,0.79947996,0.0,0.42039,CAD,
