,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,earningsGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,355 Burrard Street,Suite 1000,Vancouver,BC,V6C 2G8,Canada,778 881 5544,https://northstar-electronics.com,Aerospace & Defense,Industrials,"Northstar Electronics, Inc. engages in the research and development of single engine aircraft for business use. The company was incorporated in 1998 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Piers  VanZiffle', 'age': 74, 'title': 'Chairman, Controller & Sec.', 'yearBorn': 1948, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,-0.679806,2000,2000,0,0,0,0.0,0.0,0,0,127,1e-06,0.005,0.005,0.005,0.0,0.0,USD,1777384,0.0,111857174,127838000,0.12501,0.0,-0.045,1609372800,1640908800,1617148800,-0.976,-261445,-0.0,PNK,EQUITY,NEIK,NEIK,NORTHSTAR ELECTRONICS INC,"Northstar Electronics, Inc.",938179800,America/New_York,EDT,-14400000,1e-06,none,19210,0.0,1392168,0.004,0.004,-0.43808997,-713282,-13994,-0.977,0.0,0.0,0.0,USD,
1,355 Burrard Street,Suite 1000,Vancouver,BC,V6C 2G8,Canada,778 881 5544,https://northstar-electronics.com,Aerospace & Defense,Industrials,"Northstar Electronics, Inc. engages in the research and development of single engine aircraft for business use. The company was incorporated in 1998 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Howard D. Nash', 'age': 68, 'title': 'Pres, CEO & CFO', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,-0.679806,2000,2000,0,0,0,0.0,0.0,0,0,127,1e-06,0.005,0.005,0.005,0.0,0.0,USD,1777384,0.0,111857174,127838000,0.12501,0.0,-0.045,1609372800,1640908800,1617148800,-0.976,-261445,-0.0,PNK,EQUITY,NEIK,NEIK,NORTHSTAR ELECTRONICS INC,"Northstar Electronics, Inc.",938179800,America/New_York,EDT,-14400000,1e-06,none,19210,0.0,1392168,0.004,0.004,-0.43808997,-713282,-13994,-0.977,0.0,0.0,0.0,USD,
