,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,87 Colin Street,Level 2,West Perth,WA,6005,Australia,61 8 9226 0044,61 8 9322 6254,https://www.roxresources.com.au,Gold,Basic Materials,"Rox Resources Limited operates as a mineral exploration company in Australia. The company primarily explores for gold and nickel deposits. Its flagship project is the Youanmi Gold Project located to northeast of Perth. The company was incorporated in 2003 and is based in West Perth, Australia.",14,"{'maxAge': 1, 'name': 'Mr. Robert  Ryan', 'title': 'CEO, MD & Non-Exec. Director', 'fiscalYear': 2022, 'totalPay': 418, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.195,0.2,0.2,0.205,0.195,0.2,0.2,0.205,0.0,1.031156,37524,37524,390258,168183,168183,0.195,0.2,0,0,72006400,0.14,0.46,29.915413,0.2314,0.2614,0.0,0.0,AUD,34768852,0.0,156457930,360032000,0.49966,0.0,0.087,2.2988508,1656547200,1688083200,1672444800,-8983000,-0.05,1:15,1625011200,14.445,-3.978,ASX,EQUITY,RXL.AX,RXL.AX,ROX RES FPO,Rox Resources Limited,1083024000,Australia/Sydney,AEST,36000000,0.2,0.6,0.6,0.6,0.6,1.0,strong_buy,1,10533000,0.047,-8740000,431000,5.949,5.959,2407000,2.269,0.0,-0.22479999,-0.50924,-5954125,-9896000,119.85,1.0,-2.5857902,-3.70669,AUD,
1,87 Colin Street,Level 2,West Perth,WA,6005,Australia,61 8 9226 0044,61 8 9322 6254,https://www.roxresources.com.au,Gold,Basic Materials,"Rox Resources Limited operates as a mineral exploration company in Australia. The company primarily explores for gold and nickel deposits. Its flagship project is the Youanmi Gold Project located to northeast of Perth. The company was incorporated in 2003 and is based in West Perth, Australia.",14,"{'maxAge': 1, 'name': 'Mr. Christopher J. Hunt FCPA', 'age': 50, 'title': 'CFO & Company Sec.', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 327500, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.195,0.2,0.2,0.205,0.195,0.2,0.2,0.205,0.0,1.031156,37524,37524,390258,168183,168183,0.195,0.2,0,0,72006400,0.14,0.46,29.915413,0.2314,0.2614,0.0,0.0,AUD,34768852,0.0,156457930,360032000,0.49966,0.0,0.087,2.2988508,1656547200,1688083200,1672444800,-8983000,-0.05,1:15,1625011200,14.445,-3.978,ASX,EQUITY,RXL.AX,RXL.AX,ROX RES FPO,Rox Resources Limited,1083024000,Australia/Sydney,AEST,36000000,0.2,0.6,0.6,0.6,0.6,1.0,strong_buy,1,10533000,0.047,-8740000,431000,5.949,5.959,2407000,2.269,0.0,-0.22479999,-0.50924,-5954125,-9896000,119.85,1.0,-2.5857902,-3.70669,AUD,
2,87 Colin Street,Level 2,West Perth,WA,6005,Australia,61 8 9226 0044,61 8 9322 6254,https://www.roxresources.com.au,Gold,Basic Materials,"Rox Resources Limited operates as a mineral exploration company in Australia. The company primarily explores for gold and nickel deposits. Its flagship project is the Youanmi Gold Project located to northeast of Perth. The company was incorporated in 2003 and is based in West Perth, Australia.",14,"{'maxAge': 1, 'name': 'Mr. Travis  Craig', 'title': 'Exploration Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.195,0.2,0.2,0.205,0.195,0.2,0.2,0.205,0.0,1.031156,37524,37524,390258,168183,168183,0.195,0.2,0,0,72006400,0.14,0.46,29.915413,0.2314,0.2614,0.0,0.0,AUD,34768852,0.0,156457930,360032000,0.49966,0.0,0.087,2.2988508,1656547200,1688083200,1672444800,-8983000,-0.05,1:15,1625011200,14.445,-3.978,ASX,EQUITY,RXL.AX,RXL.AX,ROX RES FPO,Rox Resources Limited,1083024000,Australia/Sydney,AEST,36000000,0.2,0.6,0.6,0.6,0.6,1.0,strong_buy,1,10533000,0.047,-8740000,431000,5.949,5.959,2407000,2.269,0.0,-0.22479999,-0.50924,-5954125,-9896000,119.85,1.0,-2.5857902,-3.70669,AUD,
