,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Mr. R. J.M. Joosten', 'age': 58, 'title': 'Chairman of Exec. Board & CEO', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1490000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
1,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Mr. L. F. den Houter', 'age': 48, 'title': 'CFO & Member of Exec. Board', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 1070000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
2,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Mr. S.  Capper', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
3,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Mr. Joost  van Galen', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
4,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Mr. S. H. A. J. Beckers', 'title': 'Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
5,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Mr. Walter  Swinkels', 'age': 47, 'title': 'Director of Governance, Risk & Compliance', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
6,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Mr. Pim  Gillissen', 'title': 'Group Communications Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
7,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Ms. Sabine  van Hooijdonk-Verboom', 'title': 'Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
8,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Mr. Arno C. Pronk', 'title': 'Head of PR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
9,Runnenburg 9,Bunnik,3981 AZ,Netherlands,31 30 659 8988,https://www.bam.com,Engineering & Construction,Industrials,"Koninklijke BAM Groep nv, together with its subsidiaries, provides products and services in the construction and property, civil engineering, and public private partnerships (PPP) sectors worldwide. The company engages in civil engineering, residential construction projects and non-residential construction activities. It is also involved in rail infrastructure and facilities management activities. In addition, the company engages in roads, education, health care, and government building construction related businesses. Koninklijke BAM Groep nv was founded in 1869 and is headquartered in Bunnik, the Netherlands.",13439,"{'maxAge': 1, 'name': 'Ms. C. J. Bent', 'title': 'Head of Innovation', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.943,1.951,1.943,1.976,1.943,1.951,1.943,1.976,0.15,0.077199996,1681430400,0.0,1.671921,2.9892309,5.1131577,1895891,1895891,896633,610973,610973,0.0,0.0,0,0,523904672,1.734,2.85,0.083718,1.9971,2.10847,0.15,0.07720021,EUR,83202992,0.02463,272182172,268120000,0.0011999999,0.19767,3.096,0.627584,1672444800,1703980800,1688083200,-0.298,154144000,0.65,0.38,5:1,1147305600,0.013,0.657,AMS,EQUITY,BAMNB.AS,BAMNB.AS,Koninklijke BAM Groep N.V.,Koninklijke BAM Groep nv,977472000,Europe/Amsterdam,CEST,7200000,1.943,3.3,2.3,2.9,3.0,2.0,buy,3,660700032,2.421,126562000,215800000,0.774,0.954,6257969152,25.608,23.15,0.01444,0.19153,1737435000,-29333624,-142114000,-0.29,-0.108,0.26213,0.02022,0.014889999,EUR,
