,address1,address2,city,state,zip,country,phone,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10540 South Western Avenue,Suite 313,Chicago,IL,60643,United States,224-489-2310,Shell Companies,Financial Services,"Winchester Holding Group, a development stage company, focuses on acquiring and operating rental real estate properties. It intends to acquire single and multi-family real estate and real estate related-assets in the greater Chicago metropolitan area, including Northern Indiana. The company was founded in 2011 and is based in Chicago, Illinois.",2,"{'maxAge': 1, 'name': 'Mr. Ming Fat Simon Wu', 'title': 'Director & CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15.30567,Infinity,1,1,3,11,11,0.0,0.0,0,0,132103504,0.062,5.0,22954.562,2.6,1.81538,0.0,0.0,USD,132203896,0.0,26420700,-0.001,1356912000,1388448000,1372550400,-142409,0.0,22972.006,PNK,EQUITY,WCHS,WCHS,WINCHESTER HLDG GROUP,Winchester Holding Group,1361457000,America/New_York,EDT,-14400000,5.0,none,5908,0.0,106305,0.046,0.051,5755,0.0,-57620,1.0,0.0,-24.825201,USD,
1,10540 South Western Avenue,Suite 313,Chicago,IL,60643,United States,224-489-2310,Shell Companies,Financial Services,"Winchester Holding Group, a development stage company, focuses on acquiring and operating rental real estate properties. It intends to acquire single and multi-family real estate and real estate related-assets in the greater Chicago metropolitan area, including Northern Indiana. The company was founded in 2011 and is based in Chicago, Illinois.",2,"{'maxAge': 1, 'name': ""Mr. Thomas  O'Connor"", 'age': 54, 'title': 'Pres, Principal Financial Officer, Principal Accounting Officer & Director', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15.30567,Infinity,1,1,3,11,11,0.0,0.0,0,0,132103504,0.062,5.0,22954.562,2.6,1.81538,0.0,0.0,USD,132203896,0.0,26420700,-0.001,1356912000,1388448000,1372550400,-142409,0.0,22972.006,PNK,EQUITY,WCHS,WCHS,WINCHESTER HLDG GROUP,Winchester Holding Group,1361457000,America/New_York,EDT,-14400000,5.0,none,5908,0.0,106305,0.046,0.051,5755,0.0,-57620,1.0,0.0,-24.825201,USD,
