,address1,city,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Mainzer Landstrasse 11-17,Frankfurt am Main,60329,Germany,+49 69 910 12371,https://fundsus.deutscheam.com/EN/products/central-eastern-europe-fund.jsp?core-key=2506#,Asset Management,Asset Management,Financial Services,Financial Services,"The Central and Eastern Europe Fund, Inc. is a closed ended equity mutual fund launched by Deutsche Investment Management Americas Inc. The fund is managed by Deutsche Asset Management International GmbH. It invests in the public equity markets across Central and Eastern Europe. The fund seeks to invest in stocks of companies operating across diversified sectors. It benchmarks the performance of its portfolio against the CECE, RTX, and ISE National 30. The fund was formerly known as The Central Europe And Russia Fund, Inc. The Central and Eastern Europe Fund, Inc. was formed on March 6, 1990 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Alyssa  Asbury', 'title': 'Assistant Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.0,8.835,8.835,8.9,9.0,8.835,8.835,8.9,0.24,0.026800001,1672272000,0.2567,5.22,1.273167,9.569892,1295,1295,19696,21700,21700,8.71,8.99,1200,800,56073468,6.1,10.32,32.41507,9.0772,8.74445,0.24,0.026666665,USD,56022884,3.3726099,6300390,141,3088,1690761600,1693440000,0.0,0.097950004,0.21867001,0.01,0.0,6300390,7.984,1.1147294,1667174400,1698710400,1682812800,5834137,0.93,32.386,0.05952382,0.14113986,0.239,1672272000,NYQ,EQUITY,CEE,CEE,The Central and Eastern Europe ,"The Central and Eastern Europe Fund, Inc.",636215400,America/New_York,EDT,98a499ca-ca61-3859-a435-72bac085eb2d,finmb_8444682,-14400000,8.9,none,50606,0.008,0,0.74,0.994,1729858,0.275,0.01159,0.122150004,3268990,-0.845,1.0,0.0,0.52557,USD,
1,Mainzer Landstrasse 11-17,Frankfurt am Main,60329,Germany,+49 69 910 12371,https://fundsus.deutscheam.com/EN/products/central-eastern-europe-fund.jsp?core-key=2506#,Asset Management,Asset Management,Financial Services,Financial Services,"The Central and Eastern Europe Fund, Inc. is a closed ended equity mutual fund launched by Deutsche Investment Management Americas Inc. The fund is managed by Deutsche Asset Management International GmbH. It invests in the public equity markets across Central and Eastern Europe. The fund seeks to invest in stocks of companies operating across diversified sectors. It benchmarks the performance of its portfolio against the CECE, RTX, and ISE National 30. The fund was formerly known as The Central Europe And Russia Fund, Inc. The Central and Eastern Europe Fund, Inc. was formed on March 6, 1990 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Sylwia  Szczepek', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.0,8.835,8.835,8.9,9.0,8.835,8.835,8.9,0.24,0.026800001,1672272000,0.2567,5.22,1.273167,9.569892,1295,1295,19696,21700,21700,8.71,8.99,1200,800,56073468,6.1,10.32,32.41507,9.0772,8.74445,0.24,0.026666665,USD,56022884,3.3726099,6300390,141,3088,1690761600,1693440000,0.0,0.097950004,0.21867001,0.01,0.0,6300390,7.984,1.1147294,1667174400,1698710400,1682812800,5834137,0.93,32.386,0.05952382,0.14113986,0.239,1672272000,NYQ,EQUITY,CEE,CEE,The Central and Eastern Europe ,"The Central and Eastern Europe Fund, Inc.",636215400,America/New_York,EDT,98a499ca-ca61-3859-a435-72bac085eb2d,finmb_8444682,-14400000,8.9,none,50606,0.008,0,0.74,0.994,1729858,0.275,0.01159,0.122150004,3268990,-0.845,1.0,0.0,0.52557,USD,
