,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,200 Berkeley Street,Boston,MA,02116,United States,617 572 7149,https://www.jhinvestments.com/Fund/Overview.aspx?ProductType=ClosedEnd&FundID=34300&ClassCode=CE&BackToFundTableType=Price,Asset Management,Financial Services,"John Hancock Preferred Income Fund III is a closed ended fixed income mutual fund launched and managed by John Hancock Investment Management LLC. It is co-managed by John Hancock Asset Management. The fund invests in the fixed income markets of the United States. It seeks to invest in securities of companies operating across diversified sectors. The fund primarily invests in preferred securities or other fixed-income securities rated investment grade or higher by Moody's or Standard & Poor's. It benchmarks the performance of its portfolio against the Bank of America Merrill Lynch Hybrid Preferred Securities Index and Barclays U.S. Aggregate Bond Index. John Hancock Preferred Income Fund III was formed on June 19, 2003 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Joseph H. Bozoyan C.F.A., CFA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,13.81,13.79,13.7126,13.83,13.81,13.79,13.7126,13.83,1.32,0.0956,1694131200,8.03,0.865491,22655,22655,49716,36310,36310,13.73,13.74,1400,1800,437301856,12.94,16.0,9.081623,13.942,14.27755,1.32,0.09558291,USD,714027648,-0.70535004,31850100,158491,123704,1690761600,1693440000,0.005,0.00034000003,0.10682,3.18,15.374,0.8930662,1659225600,1690761600,1675123200,-33964252,-0.82,14.828,NYQ,EQUITY,HPS,HPS,John Hancock Preferred Income F,John Hancock Preferred Income Fund III,1055856600,America/New_York,EDT,-14400000,13.73,none,122422,0.004,274300000,0.959,1.112,48152392,56.019,1.514,0.03174,-0.06239,48152390,31437248,32526468,1.0,0.0,0.86573,USD,
1,200 Berkeley Street,Boston,MA,02116,United States,617 572 7149,https://www.jhinvestments.com/Fund/Overview.aspx?ProductType=ClosedEnd&FundID=34300&ClassCode=CE&BackToFundTableType=Price,Asset Management,Financial Services,"John Hancock Preferred Income Fund III is a closed ended fixed income mutual fund launched and managed by John Hancock Investment Management LLC. It is co-managed by John Hancock Asset Management. The fund invests in the fixed income markets of the United States. It seeks to invest in securities of companies operating across diversified sectors. The fund primarily invests in preferred securities or other fixed-income securities rated investment grade or higher by Moody's or Standard & Poor's. It benchmarks the performance of its portfolio against the Bank of America Merrill Lynch Hybrid Preferred Securities Index and Barclays U.S. Aggregate Bond Index. John Hancock Preferred Income Fund III was formed on June 19, 2003 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Bradley  Lutz CFA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,13.81,13.79,13.7126,13.83,13.81,13.79,13.7126,13.83,1.32,0.0956,1694131200,8.03,0.865491,22655,22655,49716,36310,36310,13.73,13.74,1400,1800,437301856,12.94,16.0,9.081623,13.942,14.27755,1.32,0.09558291,USD,714027648,-0.70535004,31850100,158491,123704,1690761600,1693440000,0.005,0.00034000003,0.10682,3.18,15.374,0.8930662,1659225600,1690761600,1675123200,-33964252,-0.82,14.828,NYQ,EQUITY,HPS,HPS,John Hancock Preferred Income F,John Hancock Preferred Income Fund III,1055856600,America/New_York,EDT,-14400000,13.73,none,122422,0.004,274300000,0.959,1.112,48152392,56.019,1.514,0.03174,-0.06239,48152390,31437248,32526468,1.0,0.0,0.86573,USD,
