,address1,address2,city,zip,country,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': 'Mr. Anthony  Gurnee CFA', 'age': 62, 'title': 'Founder, Pres, CEO & Director', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
1,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': 'Mr. Bart B. Kelleher', 'age': 47, 'title': 'Sec. & CFO', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
2,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': 'Mr. Mark  Cameron', 'age': 56, 'title': 'Exec. VP & COO', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
3,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': ""Mr. Barry  O'Neill"", 'title': 'Director of Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
4,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': 'Suraj  Batra', 'title': 'Technical Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
5,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': 'Nadia  Mather', 'title': 'Director of Legal', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
6,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': 'Ms. Jacqueline  Kelly', 'title': 'Mang. of HR & Corp. Services', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
7,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': 'Mr. Gernot  Ruppelt', 'age': 41, 'title': 'Sr. VP & Chief Commercial Officer', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
8,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': 'Ms. Holly S. Cummings', 'title': 'Head of Commercial (West) Americas', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
9,Belvedere Building,Ground Floor 69 Pitts Bay Road,Pembroke,HM08,Bermuda,https://ardmoreshipping.com,Marine Shipping,Marine Shipping,Industrials,Industrials,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of March 15, 2023, the company operated a fleet of 22 owned vessels including 21 Eco-design and 1 Eco-mod vessel, and five chartered-in vessels. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Pembroke, Bermuda.",56,"{'maxAge': 1, 'name': 'Ashish  Malik', 'title': 'Managing Director of Anglo Ardmore Joint Venture', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.65,12.63,12.48,12.74,12.65,12.63,12.48,12.74,0.8,0.063200004,1685404800,0.177,0.607883,2.7676992,4.8677044,388374,388374,605838,520720,520720,12.54,12.6,800,900,516607968,8.75,19.41,1.0642757,12.9144,14.12155,0.99,0.078260876,USD,633687424,0.37980998,34979813,41295600,1479211,1311496,1690761600,1693440000,0.0358,0.09738,0.74692,2.59,0.0358,41295600,12.199,1.0254939,1672444800,1703980800,1688083200,-0.174,180964000,4.52,2.57,0.11,1.305,2.823,0.1982758,0.14113986,0.19,1693353600,NYQ,EQUITY,ASC,ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation,1375363800,America/New_York,EDT,c6e421ea-ad14-3c1b-81a3-9980502df80c,finmb_139764409,-14400000,12.51,23.0,18.0,19.4,19.0,1.5,strong_buy,5,51175000,1.239,224483008,131212000,2.958,3.497,485408000,24.262,12.033,0.17162001,0.40342,212837000,172712368,214232992,-0.296,-0.142,0.51488996,0.46245998,0.40424,USD,
