,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Ms. Li Yuen  Yong', 'age': 52, 'title': 'Exec. Chairman', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
1,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Han Keong  Yong', 'age': 48, 'title': 'MD & Exec. Director', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
2,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Kin Sen  Yong', 'age': 80, 'title': 'Co-Founder & Advisor', 'yearBorn': 1942, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
3,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Koon Chin  Yong', 'age': 84, 'title': 'Advisor', 'yearBorn': 1938, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
4,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Poon Miew  Yong', 'age': 75, 'title': 'Advisor', 'yearBorn': 1947, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
5,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Han Lim  Yong', 'age': 47, 'title': 'Exec. Director', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
6,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Chee Boon  Loh', 'title': 'Financial Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
7,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Ms. Yoen Har  Wong', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
8,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Jude Bennit Bennett', 'age': 62, 'title': 'Sr. Project Mang.', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
9,4 Gul Way,Singapore,629192,Singapore,65 6257 5388,65 6758 8134,https://www.namlee.com.sg,Metal Fabrication,Industrials,"Nam Lee Pressed Metal Industries Limited, together with its subsidiaries, engages in the design, fabrication, supply, and installation of steel and aluminum products in Singapore and Malaysia. It operates in four segments: Aluminium, Mild Steel, Stainless Steel, and Unplasticised polyvinyl chloride. The company's steel and aluminum products include gates, door frames, railings, laundry racks, letter boxes, sliding windows and doors, curtain walls, and cladding systems for building and infrastructure projects. It also manufactures aluminum frames for container refrigeration units, aluminum industrial products, grilles, hopper, sun breakers and shades, trellis, perforated panels, mainframes, parapet, shower screens, skylights, canopies, curtain walling system, shop front panels, safety railings, prefabricated bathroom unit, metal fabricated products, and other metal and steel-based products. In addition, the company is involved in the fabrication, installation, and supply of building materials and products. The company was incorporated in 1975 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Bee Kin Tan', 'age': 62, 'title': 'Project Director', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.01,0.049200002,1674691200,4.22,0.227102,6.2,100400,100400,19214,23200,23200,0.305,0.305,0,0,75037360,0.3,0.36,0.39586896,0.3066,0.323525,0.015,0.048387095,SGD,89241480,-0.01054,83690994,242056000,0.64972,0.05523,0.631,0.49128368,1664496000,1696032000,1680220800,-1997000,-0.01,0.05,1:2,1226448000,0.471,10.278,SES,EQUITY,G0I.SI,G0I.SI,Nam Lee Metal,Nam Lee Pressed Metal Industries Limited,946861200,Asia/Singapore,SGT,28800000,0.31,none,24179000,0.1,8683000,38383000,1.346,2.992,189551008,25.118,0.783,0.01007,-0.0126600005,29306000,11935875,13407000,-0.354,0.08796,0.04581,0.01936,SGD,
