,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Mr. James Robert Abrahamson', 'age': 67, 'title': 'Interim Pres, CEO & Director', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 98522, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
1,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Mr. Jonathan M. Gottsegen Esq.', 'age': 55, 'title': 'Exec. VP, Chief Legal Officer & Corp. Sec.', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 726727, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
2,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Ms. Amanda Marie Orders', 'age': 44, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 467868, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
3,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Mr. Thomas C. Donnelly ASLA', 'age': 68, 'title': 'Pres of Devel. Services & Landscape Devel.', 'yearBorn': 1954, 'fiscalYear': 2022, 'totalPay': 690740, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
4,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Mr. Brett  Urban', 'age': 39, 'title': 'Exec. VP, CFO & Principal Accounting Officer', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
5,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Mr. Brian  Jackson', 'age': 37, 'title': 'VP, Chief Accounting Officer & Corp. Controller', 'yearBorn': 1985, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
6,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Mr. Brian  Bruce', 'title': 'Exec. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
7,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Ms. Faten  Freiha', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
8,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Mr. Fred  Jacobs', 'title': 'VP of Communications & Public Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
9,980 Jolly Road,Suite 300,Blue Bell,PA,19422,United States,484 567 7204,https://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services, including mowing, gardening, mulching and snow removal, water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. Its customers' properties include corporate and commercial properties, homeowners associations, public parks, hotels and resorts, airport authorities, municipalities, hospitals and other healthcare facilities, educational institutions, restaurants and retail, and golf courses. This segment's customer base includes approximately 9,500 office parks and corporate campuses, 7,500 residential communities, and 550 educational institutions. The Development Services segment offers landscape architecture and development services for new facilities and redesign projects. Its services include project design and management services, landscape architecture and installation, irrigation installation, tree moving and installation, pool and water features, sports field, and other services. BrightView Holdings, Inc. also operates as official field consultant to various league baseball. The company was founded in 1939 and is headquartered in Blue Bell, Pennsylvania.",20300,"{'maxAge': 1, 'name': 'Mr. Michael Joe Dozier', 'age': 60, 'title': 'Pres of Maintenance Services- Evergreen East Division', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,5,9,1693526400,1672444800,86400,2,8.71,8.66,8.51,8.72,8.71,8.66,8.51,8.72,0.0,1.330567,10.506173,331614,331614,309400,362710,362710,8.53,8.56,900,800,795037440,5.16,9.32,0.28437868,8.0714,6.9417,0.0,0.0,USD,2224534016,-0.00315,40359074,93423904,1165292,1151027,1690761600,1693440000,0.0125,0.028499998,0.96422994,3.61,0.0279,13.066,0.6513088,1664496000,1696032000,1688083200,0.556,-8800000,-0.11,0.81,0.82,0.796,8.51,NYQ,EQUITY,BV,BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc.",1530192600,America/New_York,EDT,-14400000,8.51,13.0,8.0,9.3,8.5,3.0,hold,5,9600000,0.103,261400000,1439299968,1.157,1.33,2795699968,117.937,30.747,0.020079998,-0.00728,674800000,73237504,130500000,0.551,0.025,0.24391001,0.0935,0.03813,USD,
