,address1,address2,city,state,zip,country,phone,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3033 Shepherd of the Hills Expressway,Suite 300,Branson,MO,65616,United States,407-504-7079,"Strategic Global Investments, Inc. operates as a cryptocurrency/blockchain ICO company. The company was founded in 1985 and is based in Branson, Missouri.",2,"{'maxAge': 1, 'name': 'Mr. Garland E. Harris', 'title': 'Pres & CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,20.45064,1330,1330,1674,2035,2035,0.0,0.0,0,0,4706,1e-06,0.05,0.0016745484,0.0016745484,0.0,0.0,USD,-102672,0.0,47064800,-0.0,1483142400,1514678400,1419984000,-1406687,-0.144,PNK,EQUITY,STBV,STBV,STRATEGIC GLOBAL INVESTMENTS IN,"Strategic Global Investments, Inc.",1669732200,America/New_York,EDT,-14400000,0.0001,none,109490,0.002,0,0.422,0.422,-0.21902001,-1.6294,-143234,-435801,0.0,0.0,0.0,USD,
1,3033 Shepherd of the Hills Expressway,Suite 300,Branson,MO,65616,United States,407-504-7079,"Strategic Global Investments, Inc. operates as a cryptocurrency/blockchain ICO company. The company was founded in 1985 and is based in Branson, Missouri.",2,"{'maxAge': 1, 'name': 'Mr. Harold  Rice', 'age': 79, 'title': 'Chief Financial Officer', 'yearBorn': 1943, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,20.45064,1330,1330,1674,2035,2035,0.0,0.0,0,0,4706,1e-06,0.05,0.0016745484,0.0016745484,0.0,0.0,USD,-102672,0.0,47064800,-0.0,1483142400,1514678400,1419984000,-1406687,-0.144,PNK,EQUITY,STBV,STBV,STRATEGIC GLOBAL INVESTMENTS IN,"Strategic Global Investments, Inc.",1669732200,America/New_York,EDT,-14400000,0.0001,none,109490,0.002,0,0.422,0.422,-0.21902001,-1.6294,-143234,-435801,0.0,0.0,0.0,USD,
