,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Bijan  Mossavar-Rahmani', 'age': 70, 'title': 'Exec. Chairman', 'yearBorn': 1952, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
1,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Christopher  Spencer', 'title': 'MD & COO', 'fiscalYear': 2022, 'totalPay': 750100, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
2,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Haakon  Sandborg', 'age': 64, 'title': 'Chief Financial Officer', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 523300, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
3,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Geir Arne Skau', 'title': 'Chief HR & Corp. Services Officer', 'fiscalYear': 2022, 'totalPay': 503400, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
4,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Bjorn  Dale', 'title': 'Exec. Officer', 'fiscalYear': 2022, 'totalPay': 998700, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
5,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Orjan  Gjerde', 'age': 52, 'title': 'Gen. Mang. DNO North Sea', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 488400, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
6,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Sameh  Hanna', 'title': 'Gen. Mang. of Kurdistan Region of Iraq', 'fiscalYear': 2022, 'totalPay': 260500, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
7,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Jostein  Løvås', 'title': 'Communication Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
8,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Mr. Kenneth  Myhrvold', 'title': 'Chief Petroleum Engineer & Petroleum Technology Department Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
9,Dokkveien 1,Aker Brygge,Oslo,0250,Norway,47 23 23 84 80,47 23 23 84 81,https://www.dno.no,Oil & Gas E&P,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East, the North Sea, and West Africa. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. The company was founded in 1971 and is headquartered in Oslo, Norway.",1449,"{'maxAge': 1, 'name': 'Ms. Tonje Pareli Gormley', 'title': 'Gen. Counsel of Middle East', 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,9,1,10,1693526400,1672444800,86400,4,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.0994,1692835200,0.4039,2.047297,4.0,19230,19230,1546,2160,2160,0.0,0.0,0,0,970435200,0.83,1.29,0.9663764,1.0158,1.06,0.097,0.101041675,USD,767900032,0.23999001,294879000,975000000,0.45769,0.16674,1.35,0.71111107,1672444800,1703980800,1688083200,241000000,0.24,0.765,1.168,PNK,EQUITY,DTNOF,DTNOF,DNO ASA,DNO ASA,1276090200,America/New_York,EDT,-14400000,0.96,none,742899968,0.762,657500032,574800000,2.637,2.835,1004200000,43.684,1.012,0.0572,0.19334999,916100000,132237504,547400000,-0.838,0.57797,0.65475,0.24876,USD,
